t,xdot,beta,history,asymptotic
0,1,0.01,False,False
0.0925901639344278,0.771048510892306,0.01,False,False
0.322950819672133,0.40635248230099,0.01,False,False
0.585495081967215,0.190535215128892,0.01,False,False
0.832852459016396,0.0896391145295462,0.01,False,False
1.07900327868852,0.0446893898842234,0.01,False,False
1.31635409836066,0.0215670731304521,0.01,False,False
1.57130491803279,0.0102348706535284,0.01,False,False
1.82625573770492,0.00482851412321927,0.01,False,False
2.08120655737705,0.00231177015977322,0.01,False,False
2.3191606557377,0.00113153256677005,0.01,False,False
2.57411147540983,0.000539359342172255,0.01,False,False
2.81206557377049,0.000262833434351352,0.01,False,False
3.06701639344262,0.000125098400654415,0.01,False,False
3.32196721311475,5.91919850936493E-05,0.01,False,False
3.57691803278688,2.80487849345993E-05,0.01,False,False
3.81487213114754,1.37289226083538E-05,0.01,False,False
3.95644891122278,8.9716687980212E-06,0.01,False,False
0,1,1,False,False
0.188904918032788,0.91489498578195,1,False,False
0.551501639344264,0.591141026867477,1,False,False
0.993416393442624,0.398276874883288,1,False,False
1.38434098360656,0.27249441922157,1,False,False
1.82625573770492,0.167290257210641,1,False,False
2.31066229508197,0.100568665288699,1,False,False
2.71008524590164,0.0689597095419859,1,False,False
3.05001967213115,0.0515508234410696,1,False,False
3.54292459016393,0.0294598071463546,1,False,False
3.97269882903981,0.0202596495710473,1,False,False
4.47774426229508,0.0117058157195058,1,False,False
4.82747068676724,0.00816775308863001,1,False,False
5.2256,0.00557063876569178,1,False,False
5.65051803278688,0.00363006208200835,1,False,False
6.09243278688524,0.00235726301119951,1,False,False
6.51735081967213,0.00153824892690221,1,False,False
6.94226885245901,0.000998876662941387,1,False,False
7.3671868852459,0.000655033903960659,1,False,False
7.79210491803278,0.000425352534728787,1,False,False
8.21702295081967,0.000277761703046094,1,False,False
8.64194098360655,0.000182916486304206,1,False,False
9.06685901639344,0.000118778571036912,1,False,False
9.49177704918032,7.78914894898718E-05,1,False,False
9.9166950819672,5.07929955168426E-05,1,False,False
10.3416131147541,3.31686020081357E-05,1,False,False
10.766531147541,2.17204868778244E-05,1,False,False
11.1914491803279,1.41242151919198E-05,1,False,False
11.608040201005,9.1149412968029E-06,1,False,False
0,1,5,False,False
0.127186885245904,1.01354539113403,5,False,False
0.619488524590166,0.880087949169651,5,False,False
1.11239344262295,0.770681376422565,5,False,False
1.58830163934426,0.676758873444287,5,False,False
2.03871475409836,0.618191167403234,5,False,False
2.54436721311475,0.508841946108559,5,False,False
3.05001967213115,0.454434804190711,5,False,False
3.54292459016393,0.396548732572248,5,False,False
4.03582950819672,0.347496246631433,5,False,False
4.51173770491803,0.305147075809786,5,False,False
4.98764590163934,0.267958974457714,5,False,False
5.48055081967213,0.233826262255152,5,False,False
5.97345573770491,0.204902302853076,5,False,False
6.44936393442623,0.179930975221796,5,False,False
6.94226885245901,0.157342193381549,5,False,False
7.4351737704918,0.138169770953467,5,False,False
7.91108196721311,0.11930478059698,5,False,False
8.40459016393442,0.104024137419987,5,False,False
8.79491147540983,0.0939208612369526,5,False,False
9.16883934426229,0.0849553151371393,5,False,False
9.54276721311475,0.0798481044882792,5,False,False
9.93308852459016,0.0739128483637954,5,False,False
10.3416131147541,0.0632946739814076,5,False,False
10.8175213114754,0.0539061906143445,5,False,False
11.2934295081967,0.0486500679729856,5,False,False
11.7766220140515,0.0429017358295973,5,False,False
12.2962360655738,0.0365810730964207,5,False,False
12.7721442622951,0.0321229584306742,5,False,False
13.2650491803279,0.0281296498167873,5,False,False
13.7409573770492,0.0247709388829149,5,False,False
14.233862295082,0.0215701498676714,5,False,False
14.7097704918033,0.0189414079165003,5,False,False
0,1,0.01,True,False
0.0162150819672156,0.600400618855339,0.01,True,False
0.0491803278688541,0.397000204634732,0.01,True,False
0.109586885245903,0.273231298416674,0.01,True,False
0.188524590163937,0.18961590161872,0.01,True,False
0.313547540983608,0.137732161760301,0.01,True,False
0.45081967213115,0.102938439945359,0.01,True,False
0.636485245901641,0.0794996324047193,0.01,True,False
0.819672131147542,0.0635171170465987,0.01,True,False
1.0104131147541,0.0525041744103122,0.01,True,False
1.19672131147541,0.0451789969932789,0.01,True,False
1.38434098360656,0.0393290500255955,0.01,True,False
1.57377049180328,0.034996082306332,0.01,True,False
1.75826885245902,0.0310817745571949,0.01,True,False
2.13219672131147,0.0255712937535473,0.01,True,False
2.50612459016393,0.0215512429962047,0.01,True,False
2.88005245901639,0.0185567124073223,0.01,True,False
3.25398032786885,0.0161937687159998,0.01,True,False
3.62790819672131,0.0143223080102455,0.01,True,False
4.00183606557377,0.0128724111972742,0.01,True,False
4.37576393442623,0.0116314557375443,0.01,True,False
4.74969180327869,0.010398092937482,0.01,True,False
5.12361967213115,0.00959924228980069,0.01,True,False
5.4975475409836,0.00886176466130071,0.01,True,False
5.87147540983606,0.00815905451514715,0.01,True,False
6.24540327868852,0.00757269327437806,0.01,True,False
6.61933114754098,0.00708519499352335,0.01,True,False
6.99325901639344,0.00661134181531126,0.01,True,False
7.3671868852459,0.00618573131554203,0.01,True,False
7.74111475409836,0.0058186169178901,0.01,True,False
8.11504262295081,0.00548797488333013,0.01,True,False
8.48897049180327,0.00519000888300444,0.01,True,False
