t,xdot,beta,history
0.0,1.0,0.01,False
0.01,0.971016552194985,0.01,False
0.02,0.9428731442497291,0.01,False
0.03,0.9155454292000127,0.01,False
0.04,0.8890097649357268,0.01,False
0.05,0.8632431955247971,0.01,False
0.06,0.838223430347636,0.01,False
0.07,0.8139288243466211,0.01,False
0.08,0.7903383603249683,0.01,False
0.09,0.7674316295886234,0.01,False
0.1,0.7451888149846642,0.01,False
0.11,0.7235906737413708,0.01,False
0.12,0.7026185210380379,0.01,False
0.13,0.6822542136467814,0.01,False
0.14,0.6624801342726383,0.01,False
0.15,0.6432791762443983,0.01,False
0.16,0.6246347284813906,0.01,False
0.17,0.6065306610247675,0.01,False
0.18,0.5889513122837908,0.01,False
0.19,0.5718814732549717,0.01,False
0.2,0.5553063771037277,0.01,False
0.21,0.5392116842610225,0.01,False
0.22,0.5235834709484707,0.01,False
0.23,0.508408217435565,0.01,False
0.24,0.4936727948859712,0.01,False
0.25,0.4793644559173272,0.01,False
0.26,0.46547082188935623,0.01,False
0.27,0.45197987313060617,0.01,False
0.28,0.43887993887276944,0.01,False
0.29,0.42615968552849504,0.01,False
0.3,0.41380810918740857,0.01,False
0.31,0.4018145239204673,0.01,False
0.32,0.39016855413620005,0.01,False
0.33,0.3788601247906689,0.01,False
0.34,0.36787945253389437,0.01,False
0.35000000000000003,0.35721703830493295,0.01,False
0.36,0.346863657359446,0.01,False
0.37,0.3368103532661254,0.01,False
0.38,0.327048428455984,0.01,False
0.39,0.31756943785021824,0.01,False
0.4,0.3083651811794544,0.01,False
0.41000000000000003,0.2994276953977818,0.01,False
0.42,0.2907492489812698,0.01,False
0.43,0.28232233365351156,0.01,False
0.44,0.2741396595199087,0.01,False
0.45,0.26619414741348113,0.01,False
0.46,0.25847892363126446,0.01,False
0.47000000000000003,0.2509873137320133,0.01,False
0.48,0.24371283634541752,0.01,False
0.49,0.23664919859006756,0.01,False
0.5,0.22979028920462286,0.01,False
0.51,0.22313017479879052,0.01,False
0.52,0.21666309334495298,0.01,False
0.53,0.21038345024654034,0.01,False
0.54,0.2042858128612488,0.01,False
0.55,0.19836490592394554,0.01,False
0.56,0.19261560745965645,0.01,False
0.5700000000000001,0.187032943310691,0.01,False
0.58,0.1816120841627619,0.01,False
0.59,0.17634834006278463,0.01,False
0.6,0.17123715749591828,0.01,False
0.61,0.16627411455862157,0.01,False
0.62,0.16145491769882098,0.01,False
0.63,0.15677539783611077,0.01,False
0.64,0.15223150648075445,0.01,False
0.65,0.14781931289277525,0.01,False
0.66,0.14353499975528042,0.01,False
