t,xdot,beta
2.29,0.04793816312320515,0.01
2.3000000000000003,0.04762586300187482,0.01
2.31,0.0473169390888152,0.01
2.32,0.04701134050485487,0.01
2.33,0.04670901735240999,0.01
2.34,0.04640992069243751,0.01
2.35,0.046114002522025146,0.01
2.36,0.045821215752598086,0.01
2.37,0.045531514188722505,0.01
2.38,0.04524485250748763,0.01
2.39,0.04496118623844772,0.01
2.4,0.044680471744107,0.01
2.41,0.04440266620092998,0.01
2.42,0.04412772758086178,0.01
2.43,0.04385561463334182,0.01
2.44,0.04358628686779647,0.01
2.45,0.04331970453659554,0.01
2.46,0.04305582861845872,0.01
2.47,0.04279462080229815,0.01
2.48,0.04253604347148425,0.01
2.49,0.04228005968852158,0.01
2.5,0.042026633180123014,0.01
2.51,0.041775728322669826,0.01
2.52,0.04152731012804656,0.01
2.53,0.04128134422983948,0.01
2.54,0.04103779686988777,0.01
2.5500000000000003,0.04079663488517723,0.01
2.56,0.040557825695066586,0.01
2.57,0.04032133728883624,0.01
2.58,0.04008713821355071,0.01
2.59,0.03985519756222525,0.01
2.6,0.03962548496228795,0.01
2.61,0.03939797056432913,0.01
2.62,0.039172625031129255,0.01
2.63,0.03894941952695816,0.01
2.64,0.038728325707137065,0.01
2.65,0.038509315707856796,0.01
2.66,0.038292362136244165,0.01
2.67,0.038077438060670314,0.01
2.68,0.03786451700129366,0.01
2.69,0.03765357292083125,0.01
2.7,0.03744458021555197,0.01
2.71,0.037237513706485835,0.01
2.72,0.03703234863084281,0.01
2.73,0.036829060633636015,0.01
2.74,0.036627625759503415,0.01
2.75,0.036428020444722556,0.01
2.76,0.036230221509413255,0.01
2.77,0.036034206149923115,0.01
2.78,0.035839951931390834,0.01
2.79,0.03564743678048272,0.01
2.8000000000000003,0.035456638978297546,0.01
2.81,0.03526753715343554,0.01
2.82,0.0350801102752268,0.01
2.83,0.034894337647115296,0.01
2.84,0.034710198900194,0.01
2.85,0.03452767398688742,0.01
2.86,0.0343467431747776,0.01
2.87,0.03416738704056971,0.01
2.88,0.03398958646419388,0.01
2.89,0.03381332262303943,0.01
2.9,0.03363857698631833,0.01
2.91,0.03346533130955434,0.01
2.92,0.03329356762919483,0.01
2.93,0.033123268257341985,0.01
2.94,0.032954415776600354,0.01
2.95,0.03278699303503792,0.01
