t,x,z,u_bar,w_bar,history
0.0,0.0,0.0,,,False
0.005,0.004998945972836697,-0.00015087142252186064,,,False
0.01,0.009991463122575822,-0.0005807149424310756,,,False
0.015,0.014970973298756383,-0.001258838400706337,,,False
0.02,0.019930491288799493,-0.0021700200527906164,,,False
0.025,0.024863313237364397,-0.003295344896684687,,,False
0.03,0.029762480908598024,-0.004623996800366269,,,False
0.035,0.03462125430565029,-0.006145014938925292,,,False
0.04,0.03943281805558028,-0.007851022011729238,,,False
0.045,0.04419052999394234,-0.009735019141886684,,,False
0.05,0.04888778039386916,-0.011791546787264354,,,False
0.055,0.053518111412328456,-0.014015432780990286,,,False
0.06,0.05807515667495498,-0.016402125682985783,,,False
0.065,0.06255269762329349,-0.018947193257907377,,,False
0.07,0.0669446413087849,-0.02164640008548271,,,False
0.075,0.07124504835048721,-0.02449550067298287,,,False
0.08,0.07544812781121694,-0.027490246736464302,,,False
0.085,0.07954825295764728,-0.030626300121372275,,,False
0.09,0.08353996340801689,-0.03389922645104157,,,False
0.095,0.08741797572734317,-0.03730445899227796,,,False
0.1,0.09117718846225352,-0.04083729381863,,,False
0.105,0.09481269045359747,-0.04449287650191036,,,False
0.11,0.09831976682125337,-0.04826620143330439,,,False
0.115,0.10169390610076824,-0.0521521093503787,,,False
0.12,0.104930806310135,-0.056145290247362305,,,False
0.125,0.10802638129318154,-0.06024028637161207,,,False
0.13,0.11097676646253878,-0.06443149768364054,,,False
0.135,0.11377832445260393,-0.06871318779643466,,,False
0.14,0.1164276503348688,-0.07307949114294353,,,False
0.145,0.11892157658328768,-0.07752442060479366,,,False
0.15,0.12125717764952774,-0.08204187581279083,,,False
0.155,0.12343177421336836,-0.08662565180765144,,,False
0.16,0.1254429370495945,-0.09126944810141963,,,False
0.165,0.12728849053142263,-0.09596687800262393,,,False
0.17,0.12896651574431464,-0.1007114781963403,,,False
0.17500000000000002,0.13047535321433645,-0.10549671851134078,,,False
0.18,0.13181360523842817,-0.11031601185386351,,,False
0.185,0.13298013781585802,-0.1151627242686213,,,False
0.19,0.13397408217436252,-0.12003018510555521,,,False
0.195,0.13479483588940872,-0.12491169726516343,,,False
0.2,0.13544206359333683,-0.1298005475021938,,,False
0.20500000000000002,0.13591569727343403,-0.13469001676602188,,,False
0.21,0.13621593615781571,-0.13957339055885642,,,False
0.215,0.1363432461892783,-0.1444439692926994,,,False
0.22,0.13629835908765578,-0.1492950786272081,,,False
0.225,0.13608227100211365,-0.15412007977072556,,,False
0.23,0.13569624075536957,-0.15891237972733926,,,False
0.23500000000000001,0.13514178768257792,-0.1636654414730241,,,False
0.24,0.13442068906823,-0.16837279404427877,,,False
0.245,0.13353497718510032,-0.173028042522884,,,False
0.25,0.13248693593989558,-0.17762487790068576,,,False
0.255,0.1312790971309038,-0.182157086808544,,,False
0.26,0.12991423632355828,-0.18661856109385758,,,False
0.265,0.1283953683504453,-0.1910033072313413,,,False
0.27,0.1267257424428831,-0.19530545555202256,,,False
0.275,0.12490883700178873,-0.19951926927573027,,,False
0.28,0.12294835401612418,-0.2036391533326756,,,False
0.28500000000000003,0.12084821313777513,-0.2076596629600702,,,False
0.29,0.11861254542226321,-0.21157551206009712,,,False
0.295,0.11624568674522362,-0.2153815813059391,,,False
0.3,0.11375217090509691,-0.2190729259829803,,,False
0.305,0.11113672242298099,-0.22264478355273046,,,False
0.31,0.10840424905107157,-0.22609258092747242,,,False
0.315,0.10555983400157967,-0.22941194144410945,,,False
0.32,0.10260872790845946,-0.2325986915261779,,,False
0.325,0.0995563405346998,-0.23564886702350463,,,False
0.33,0.09640823223833701,-0.23855871921951483,,,False
0.335,0.09317010521072341,-0.24132472049674275,,,False
0.34,0.0898477945009471,-0.24394356965165687,,,False
0.34500000000000003,0.08644725884063015,-0.24641219685048868,,,False
0.35000000000000003,0.08297457128364712,-0.2487277682183416,,,False
0.355,0.07943590967559087,-0.2508876900544599,,,False
0.36,0.07583754696807767,-0.25288961266715004,,,False
0.365,0.07218584139322183,-0.2547314338224719,,,False
0.37,0.06848722651382334,-0.25641130180144894,,,False
0.375,0.06474820116499973,-0.2579276180611909,,,False
0.38,0.060975319303156715,-0.25927903949596753,,,False
0.385,0.057175179778327215,-0.2604644802949308,,,False
0.39,0.05335441604601844,-0.2614831133938395,,,False
0.395,0.04951968583479118,-0.2623343715188052,,,False
0.4,0.045677660785851455,-0.2630179478207442,,,False
0.405,0.04183501608096571,-0.2635337960998882,,,False
0.41000000000000003,0.03799842007501484,-0.2638821306203724,,,False
0.41500000000000004,0.03417452394947905,-0.26406342551558976,,,False
0.42,0.030369951403096892,-0.26407841378566266,,,False
0.425,0.026591288395866712,-0.2639280858890467,,,False
0.43,0.022845072962455446,-0.263613687930939,,,False
0.435,0.019137785110953997,-0.2631367194518158,,,False
0.44,0.015475836822763324,-0.2624989308200712,,,False
0.445,0.011865562169217083,-0.26170232023336626,,,False
0.45,0.008313207560341972,-0.26074913033393,,,False
0.455,0.004824922140928847,-0.2596418444436726,,,False
0.46,0.0014067483488334307,-0.2583831824255827,,,False
0.465,-0.0019353873498515728,-0.2569760961784782,,,False
0.47000000000000003,-0.005195683534411086,-0.25542376477276574,,,False
0.47500000000000003,-0.008368472697891541,-0.253729589235437,,,False
0.48,-0.011448229896581948,-0.2518971869930859,,,False
0.485,-0.014429581167287299,-0.24993038598227393,,,False
0.49,-0.017307311699478568,-0.247833218437095,,,False
0.495,-0.020076373749811766,-0.24560991436429985,,,False
0.5,-0.022731894286937223,-0.24326489471682933,,,False
0.505,-0.02526918235496798,-0.24080276427707548,,,False
0.51,-0.027683736144440536,-0.23822830426164127,,,False
0.515,-0.029971249760085167,-0.2355464646597975,,,False
0.52,-0.03212761967522069,-0.2327623563182457,,,False
0.525,-0.0341489508631045,-0.2298812427851794,,,False
0.53,-0.0360315625960965,-0.22690853192700136,,,False
0.535,-0.03777199390403965,-0.22384976733139236,,,False
0.54,-0.039367008683814514,-0.22071061951074342,,,False
0.545,-0.040813600452593364,-0.21749687692025318,,,False
0.55,-0.04210899673789666,-0.21421443680525953,,,False
0.555,-0.043250663098143544,-0.21086929589261197,,,False
0.56,-0.044236306767983694,-0.20746754094110867,,,False
0.5650000000000001,-0.045063879923302956,-0.20401533916620657,,,False
0.5700000000000001,-0.04573158256140537,-0.20051892855437722,,,False
0.5750000000000001,-0.04623786499249121,-0.19698460808261312,,,False
0.58,-0.04658142993917135,-0.19341872785869782,,,False
0.585,-0.0467612342413826,-0.18982767919793456,,,False
0.59,-0.04677649016469541,-0.18621788465207892,,,False
0.595,-0.04662666631063347,-0.1825957880062503,,,False
0.6,-0.04631148812825237,-0.17896784425959383,,,False
0.605,-0.0458309380268524,-0.17534050960543915,,,False
0.61,-0.04518525509032519,-0.17172023142664625,,,False
0.615,-0.04437493439425683,-0.1681134383217502,,,False
0.62,-0.04340072592752786,-0.16452653017740915,,,False
0.625,-0.04226363312076413,-0.1609658683025288,,,False
0.63,-0.040964910984599395,-0.1574377656392794,,,False
0.635,-0.03950606386131115,-0.15394847706604156,,,False
