x_p0,z_p0,u_d,w_d,t,v_x_drift,v_y_drift,history
0.02783732734331519,-0.27188030232963495,0.011737945562240792,-0.013242459974740831,1.3869083968074567,0.009135630631774392,-0.013505669375573152,False
0.09106221435481782,-0.3559376826793831,0.009962266439032983,-0.013244816381545706,2.184425073459047,0.0077219541591212575,-0.013468104317262048,False
0.14478159377915756,-0.43988074314173903,0.00847722552186061,-0.013246695366926575,2.980744139501152,0.0065285269799569105,-0.013436391855151655,False
0.19050400153160027,-0.523728117985332,0.007224376129602894,-0.01324831746896701,3.776058102797837,0.0055206002251220725,-0.013409608621469034,False
0.22950137357589506,-0.6074948979228539,0.006168354998659163,-0.013249693727113276,4.570525072032233,0.004669037888850356,-0.013386980396810567,False
0.26280280143417234,-0.6911943080240764,0.005272140215139352,-0.013250934099764567,5.364278779971877,0.003949362647123618,-0.013367856755055545,False
0.29129504116096566,-0.7748367159048347,0.004514209648570354,-0.013252007153720198,6.157427685126171,0.0033409974327738134,-0.013351690910045332,False
0.3157097010656156,-0.8584312189914027,0.003870668713042728,-0.013252964773754945,6.95006504970235,0.002826616430645975,-0.013338022469837939,False
0.33667298908873206,-0.9419850478878415,0.003325320150160675,-0.013253800193272358,7.7422668068213145,0.0023916242341653136,-0.013326463596544248,False
0.35468849662792606,-1.0255048361266548,0.002859058982588866,-0.013254580825358306,8.534099175170354,0.0020237114044612636,-0.013316687196378728,False
0.37019729378862565,-1.108995835085847,0.002462222698195913,-0.01325527896214367,9.32561690850564,0.001712494632104404,-0.013308417357821508,False
0.38357024214512414,-1.1924624877467402,0.0021238492153699716,-0.013255908871976795,10.116866230907144,0.0014492089434048265,-0.013301421172739705,False
0.3951201094592701,-1.2759085556814265,0.0018348449323621163,-0.013256480850475054,10.907886282009683,0.0012264523277351973,-0.013295501950471607,False
0.4051113392446965,-1.3593372235206629,0.0015876288355737565,-0.013257002553207125,11.698710267840843,0.001037971553998159,-0.013290493526413542,False
0.4137680010662053,-1.4427511863146485,0.0013758550241170907,-0.013257479864405525,12.489366396760103,0.0008784822768885543,-0.01328625548177567,False
0.42128031008617395,-1.526152723323924,0.0011941934947607966,-0.013257917463829856,13.279878652342507,0.000743517764819464,-0.01328266912388977,False
0.42781000782226175,-1.6095437606951124,0.0010381549333622904,-0.013258319197018064,14.070267438394602,0.0006293015693770313,-0.01327963410270574,False
0.4334948269748212,-1.6929259248342525,0.0009039492565749263,-0.013258688317507681,14.860550121045918,0.0005326402568765492,-0.013277065560390192,False
0.4384522128791253,-1.7763005878928486,0.000788370403486923,-0.013259027645805027,15.650741486378143,0.00045083297624073026,-0.013274891728309935,False
0.44278243693644664,-1.8596689065197574,0.0006887018064849159,-0.013259339674326014,16.44085412780195,0.0003815951739932991,-0.013273051899941088,False
0.4465712094483093,-1.9430318548462933,0.0006026383414902426,-0.013259626637372911,17.230898774477215,0.00032299420958256377,-0.013271494720000868,False
0.44989187800555264,-2.026390252530164,0.0005282215454426722,-0.013259890558530229,18.02088456997896,0.0002733949903778722,-0.01327017673982814,False
0.4528072811595798,-2.109744788569157,0.0004637856106536209,-0.013260133283519625,18.81081930883697,0.0002314140496154841,-0.01326906119711508,False
0.45537380052566945,-2.1930960483434006,0.0004083075459808194,-0.013260351268918634,19.600710014034167,0.00019588074086748845,-0.013268116984743348,False
0.4576362237587444,-2.2764445715392356,0.00035994622702413553,-0.013260554441707524,20.39056268365113,0.0001658044302328538,-0.013267317778995336,False
0.4596328902477541,-2.359790777613163,0.00031767832839105513,-0.013260744129798939,21.180382096931375,0.00014034680675542523,-0.013266641303769998,False
0.46139806068782774,-2.4431350105128944,0.0002808566429228891,-0.013260918565022874,21.970172422580422,0.00011879841733451923,-0.013266068707054438,False
0.4629612632643581,-2.526477557183394,0.0002487295339240976,-0.013261078954598333,22.759937216977384,0.00010055883623760135,-0.01326558403397631,False
0.4643486332114855,-2.6098186656727576,0.00022075810377397231,-0.013261225035634483,23.549679683359376,8.511989350019944e-05,-0.013265173781138825,False
0.4655836031314871,-2.69315860882557,0.00019651292559832596,-0.01326135623460047,24.339403293909392,7.205148177168254e-05,-0.013264826519471737,False
0.46668275012945737,-2.7764975520673914,0.00017490403907029258,-0.013261481686946179,25.129109958751105,6.098957827527411e-05,-0.013264532575943703,False
0.46766261174419227,-2.8598356323350616,0.00015592547607570719,-0.013261596990395037,25.91880158012314,5.162607328531833e-05,-0.013264283763278463,False
0.46853753700200174,-2.9431729617969484,0.0001392293100318854,-0.0132617029595518,26.708479776975484,4.3700178299429486e-05,-0.013264073151647675,False
0.46932076080374985,-3.0265096609011355,0.00012463844298144094,-0.013261798730293449,27.498146298100085,3.6991153296599134e-05,-0.013263894875415232,False
0.4700234892788502,-3.1098458860924834,0.0001118301771605793,-0.013261885859558698,28.28780314060817,3.1312154147066484e-05,-0.013263743969646953,False
0.47065376114688334,-3.193181674339522,0.00010030079481750902,-0.01326196871836556,29.077450909194603,2.6505036116977574e-05,-0.013263616232026218,False
0.47121986031108204,-3.2765170727245976,9.008935755488781e-05,-0.013262044844597164,29.867090450964632,2.243593602765834e-05,-0.013263508105460425,False
0.4717290294045451,-3.3598521175845883,8.103024332474557e-05,-0.013262114785004562,30.656722478625092,1.8991544819045908e-05,-0.013263416579033337,False
0.4721886786428796,-3.4431869246703095,7.31500998807894e-05,-0.01326217679366693,31.446348561287007,1.607594823275941e-05,-0.013263339104053815,False
0.47260348011287856,-3.526521535839743,6.601332491428549e-05,-0.01326223545868196,32.235969294700446,1.3607961611784755e-05,-0.013263273523234493,False
