St,deep_z,deep_h,deep_z/h,amplitude,wavelength,intermediate_z,intermediate_h,intermediate_z/h,shallow_z,shallow_h,shallow_z/h,deep_u_d_0.01,intermediate_u_d_0.01,shallow_u_d_0.01,deep_u_d_history_0.01,intermediate_u_d_history_0.01,shallow_u_d_history_0.01,deep_u_d_0.1,intermediate_u_d_0.1,shallow_u_d_0.1,deep_u_d_history_0.1,intermediate_u_d_history_0.1,shallow_u_d_history_0.1,deep_u_d_1,intermediate_u_d_1,shallow_u_d_1,deep_u_d_history_1,intermediate_u_d_history_1,shallow_u_d_history_1,deep_u_d_10,intermediate_u_d_10,shallow_u_d_10,deep_u_d_history_10,intermediate_u_d_history_10,shallow_u_d_history_10
0.01,0.0,8.0,0.0,0.02,10.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0005198942371518,1.038356416972075,1.3629766618955452,1.0005198942371518,1.038356416972075,1.3629766618955452,1.0005198942371518,1.038356416972075,1.3629766618955452,1.0005198942371518,1.038356416972075,1.3629766618955452,1.0005198942371518,1.038356416972075,1.3629766618955452,1.0005198942371518,1.038356416972075,1.3629766618955452,1.0005198942371518,1.038356416972075,1.3629766618955452,1.0005198942371518,1.038356416972075,1.3629766618955452
0.1,-0.8,,-0.1,,,-0.2,,-0.1,-0.1,,-0.1,0.20188533534564274,0.6961426010092413,1.1256658666134562,0.20188533534564274,0.6961426010092413,1.1256658666134562,0.20188533534564274,0.6961426010092413,1.1256658666134562,0.20188533534564274,0.6961426010092413,1.1256658666134562,0.20188533534564274,0.6961426010092413,1.1256658666134562,0.20188533534564274,0.6961426010092413,1.1256658666134562,0.20188533534564274,0.6961426010092413,1.1256658666134562,0.20188533534564274,0.6961426010092413,1.1256658666134562
1.0,-1.6,,-0.2,,,-0.4,,-0.2,-0.2,,-0.2,0.04073985662871388,0.4670389818140154,0.9335824178937369,0.04073985662871388,0.4670389818140154,0.9335824178937369,0.04073985662871388,0.4670389818140154,0.9335824178937369,0.04073985662871388,0.4670389818140154,0.9335824178937369,0.04073985662871388,0.4670389818140154,0.9335824178937369,0.04073985662871388,0.4670389818140154,0.9335824178937369,0.04073985662871388,0.4670389818140154,0.9335824178937369,0.04073985662871388,0.4670389818140154,0.9335824178937369
10.0,-2.4000000000000004,,-0.30000000000000004,,,-0.6000000000000001,,-0.30000000000000004,-0.30000000000000004,,-0.30000000000000004,0.008218409633632729,0.3136882507178157,0.7790056231952075,0.008218409633632729,0.3136882507178157,0.7790056231952075,0.008218409633632729,0.3136882507178157,0.7790056231952075,0.008218409633632729,0.3136882507178157,0.7790056231952075,0.008218409633632729,0.3136882507178157,0.7790056231952075,0.008218409633632729,0.3136882507178157,0.7790056231952075,0.008218409633632729,0.3136882507178157,0.7790056231952075,0.008218409633632729,0.3136882507178157,0.7790056231952075
,-3.2,,-0.4,,,-0.8,,-0.4,-0.4,,-0.4,0.0016563526908052015,0.21121331706639015,0.6557225080557543,0.0016563526908052015,0.21121331706639015,0.6557225080557543,0.0016563526908052015,0.21121331706639015,0.6557225080557543,0.0016563526908052015,0.21121331706639015,0.6557225080557543,0.0016563526908052015,0.21121331706639015,0.6557225080557543,0.0016563526908052015,0.21121331706639015,0.6557225080557543,0.0016563526908052015,0.21121331706639015,0.6557225080557543,0.0016563526908052015,0.21121331706639015,0.6557225080557543
,-4.0,,-0.5,,,-1.0,,-0.5,-0.5,,-0.5,0.00033311267580583,0.1429922257917449,0.5587781968759062,0.00033311267580583,0.1429922257917449,0.5587781968759062,0.00033311267580583,0.1429922257917449,0.5587781968759062,0.00033311267580583,0.1429922257917449,0.5587781968759062,0.00033311267580583,0.1429922257917449,0.5587781968759062,0.00033311267580583,0.1429922257917449,0.5587781968759062,0.00033311267580583,0.1429922257917449,0.5587781968759062,0.00033311267580583,0.1429922257917449,0.5587781968759062
,-4.800000000000001,,-0.6000000000000001,,,-1.2000000000000002,,-0.6000000000000001,-0.6000000000000001,,-0.6000000000000001,6.66703617838719e-05,0.09796025071995261,0.48427669074204877,6.66703617838719e-05,0.09796025071995261,0.48427669074204877,6.66703617838719e-05,0.09796025071995261,0.48427669074204877,6.66703617838719e-05,0.09796025071995261,0.48427669074204877,6.66703617838719e-05,0.09796025071995261,0.48427669074204877,6.66703617838719e-05,0.09796025071995261,0.48427669074204877,6.66703617838719e-05,0.09796025071995261,0.48427669074204877,6.66703617838719e-05,0.09796025071995261,0.48427669074204877
,-5.6000000000000005,,-0.7000000000000001,,,-1.4000000000000001,,-0.7000000000000001,-0.7000000000000001,,-0.7000000000000001,1.319618929192348e-05,0.06881423691921403,0.429224152372821,1.319618929192348e-05,0.06881423691921403,0.429224152372821,1.319618929192348e-05,0.06881423691921403,0.429224152372821,1.319618929192348e-05,0.06881423691921403,0.429224152372821,1.319618929192348e-05,0.06881423691921403,0.429224152372821,1.319618929192348e-05,0.06881423691921403,0.429224152372821,1.319618929192348e-05,0.06881423691921403,0.429224152372821,1.319618929192348e-05,0.06881423691921403,0.429224152372821
,-6.4,,-0.8,,,-1.6,,-0.8,-0.8,,-0.8,2.543188961393254e-06,0.050827618142317316,0.391408453697081,2.543188961393254e-06,0.050827618142317316,0.391408453697081,2.543188961393254e-06,0.050827618142317316,0.391408453697081,2.543188961393254e-06,0.050827618142317316,0.391408453697081,2.543188961393254e-06,0.050827618142317316,0.391408453697081,2.543188961393254e-06,0.050827618142317316,0.391408453697081,2.543188961393254e-06,0.050827618142317316,0.391408453697081,2.543188961393254e-06,0.050827618142317316,0.391408453697081
,-7.2,,-0.9,,,-1.8,,-0.9,-0.9,,-0.9,4.648213730852432e-07,0.04108363160626989,0.3693101651844624,4.648213730852432e-07,0.04108363160626989,0.3693101651844624,4.648213730852432e-07,0.04108363160626989,0.3693101651844624,4.648213730852432e-07,0.04108363160626989,0.3693101651844624,4.648213730852432e-07,0.04108363160626989,0.3693101651844624,4.648213730852432e-07,0.04108363160626989,0.3693101651844624,4.648213730852432e-07,0.04108363160626989,0.3693101651844624,4.648213730852432e-07,0.04108363160626989,0.3693101651844624
