deep_u_d,deep_z/h,intermediate_u_d,intermediate_z/h,shallow_u_d,shallow_z/h
0.00019921994824722233,0.0,0.00020884281428087313,0.0,0.0002374332305138414,0.0
0.00017771297504808801,-0.00909090909090909,0.00020181423623660512,-0.009090909090909092,0.00023214060460544016,-0.00909090909090909
0.00015852780697079647,-0.01818181818181818,0.00019502272523078782,-0.018181818181818184,0.000226969168018269,-0.01818181818181818
0.00014141379140265398,-0.02727272727272727,0.0001884603034149266,-0.02727272727272727,0.00022191622099676015,-0.02727272727272727
0.0001261473351648813,-0.03636363636363636,0.00018211926204689328,-0.03636363636363637,0.0002169791256429861,-0.03636363636363636
0.00011252898328647383,-0.045454545454545456,0.00017599215243562486,-0.04545454545454546,0.0002121553045395419,-0.045454545454545456
0.00010038081314172801,-0.05454545454545454,0.00017007177719129945,-0.05454545454545454,0.00020744223940399978,-0.05454545454545454
8.954410990604724e-05,-0.06363636363636363,0.00016435118177071016,-0.06363636363636364,0.00020283746977423772,-0.06363636363636363
7.987729296006752e-05,-0.07272727272727272,0.00015882364630790576,-0.07272727272727274,0.00019833859172395073,-0.07272727272727272
7.125406615073023e-05,-0.08181818181818182,0.00015348267772050277,-0.08181818181818183,0.00019394325660767822,-0.08181818181818182
6.35617677426315e-05,-0.09090909090909091,0.00014832200208239404,-0.09090909090909093,0.00018964916983469046,-0.09090909090909091
5.669989850189258e-05,-0.1,0.00014333555725389745,-0.10000000000000002,0.00018545408967109432,-0.09999999999999999
5.057880868209362e-05,-0.10909090909090909,0.00013851748576068426,-0.10909090909090909,0.0001813558260695329,-0.10909090909090909
4.5118526757851955e-05,-0.1181818181818182,0.00013386212791312505,-0.11818181818181818,0.00017735223952586868,-0.11818181818181818
4.0247714603547014e-05,-0.12727272727272726,0.00012936401515796787,-0.1272727272727273,0.00017344123996225163,-0.12727272727272726
3.5902735466688855e-05,-0.13636363636363638,0.00012501786365454133,-0.13636363636363638,0.000169620785635992,-0.13636363636363635
3.2026822559081166e-05,-0.14545454545454545,0.00012081856806793562,-0.14545454545454548,0.0001658888820736657,-0.14545454545454545
2.8569337403492834e-05,-0.15454545454545454,0.00011676119557187012,-0.15454545454545457,0.00016224358102989616,-0.15454545454545454
2.5485108246196668e-05,-0.16363636363636364,0.0001128409800542039,-0.16363636363636366,0.00015868297947027057,-0.16363636363636364
2.27338398917948e-05,-0.17272727272727273,0.00010905331651828184,-0.17272727272727273,0.00015520521857785794,-0.17272727272727273
2.0279587249867637e-05,-0.18181818181818182,0.00010539375567353906,-0.18181818181818185,0.0001518084827828116,-0.18181818181818182
1.809028571538129e-05,-0.19090909090909092,0.00010185799870901121,-0.19090909090909092,0.00014849099881454798,-0.1909090909090909
1.6137332247310496e-05,-0.2,9.844189224360951e-05,-0.20000000000000004,0.00014525103477600835,-0.19999999999999998
1.4395211672305243e-05,-0.20909090909090908,9.514142344722888e-05,-0.2090909090909091,0.00014208689923951977,-0.20909090909090908
1.2841163331090036e-05,-0.21818181818181817,9.195271532695925e-05,-0.21818181818181817,0.0001389969403637829,-0.21818181818181817
1.1454883712358195e-05,-0.2272727272727273,8.887202217286119e-05,-0.2272727272727273,0.00013597954503152595,-0.22727272727272727
1.0218261189098811e-05,-0.2363636363636364,8.589572515795794e-05,-0.23636363636363636,0.00013303313800737458,-0.23636363636363636
9.115139391707907e-06,-0.24545454545454545,8.302032808727318e-05,-0.24545454545454548,0.00013015618111549804,-0.24545454545454545
8.13110612637414e-06,-0.2545454545454545,8.024245329092278e-05,-0.2545454545454546,0.00012734717243660258,-0.2545454545454545
7.253305080974476e-06,-0.2636363636363636,7.755883765643547e-05,-0.26363636363636367,0.00012460464552385215,-0.2636363636363636
6.4702678584343405e-06,-0.27272727272727276,7.49663287956414e-05,-0.27272727272727276,0.00012192716863730815,-0.2727272727272727
5.771764143080938e-06,-0.28181818181818186,7.246188134162671e-05,-0.28181818181818186,0.00011931334399648721,-0.2818181818181818
5.148668042426729e-06,-0.2909090909090909,7.004255337140347e-05,-0.29090909090909095,0.00011676180705064833,-0.2909090909090909
4.592838858148976e-06,-0.3,6.770550295009318e-05,-0.3,0.0001142712257664272,-0.3
4.09701472854864e-06,-0.3090909090909091,6.544798479256417e-05,-0.30909090909090914,0.00011184029993244623,-0.3090909090909091
3.6547177529359968e-06,-0.31818181818181823,6.326734703860163e-05,-0.3181818181818182,0.0001094677604805375,-0.3181818181818182
3.2601693584011143e-06,-0.32727272727272727,6.116102813782195e-05,-0.3272727272727273,0.00010715236882322396,-0.32727272727272727
2.9082148032432505e-06,-0.33636363636363636,5.912655384067186e-05,-0.3363636363636364,0.00010489291620711332,-0.33636363636363636
2.5942558307025765e-06,-0.34545454545454546,5.716153429197856e-05,-0.34545454545454546,0.00010268822308186635,-0.34545454545454546
2.3141905931211404e-06,-0.35454545454545455,5.526366122363561e-05,-0.35454545454545455,0.00010053713848441124,-0.35454545454545455
2.064360061646966e-06,-0.36363636363636365,5.34307052431282e-05,-0.3636363636363637,9.843853943808167e-05,-0.36363636363636365
1.8415002213289242e-06,-0.37272727272727274,5.166051321471122e-05,-0.37272727272727274,9.639133036636537e-05,-0.3727272727272727
1.6426994270349478e-06,-0.38181818181818183,4.995100573016503e-05,-0.38181818181818183,9.439444252095676e-05,-0.3818181818181818
1.4653603630524774e-06,-0.39090909090909093,4.8300174666157373e-05,-0.39090909090909093,9.244683342381559e-05,-0.3909090909090909
1.3071661093763983e-06,-0.4,4.670608082534209e-05,-0.4000000000000001,9.054748632293975e-05,-0.39999999999999997
1.1660498713433957e-06,-0.40909090909090906,4.516685165842387e-05,-0.4090909090909091,8.86954096615685e-05,-0.40909090909090906
1.0401679771329317e-06,-0.41818181818181815,4.368067906451294e-05,-0.4181818181818182,8.688963656053893e-05,-0.41818181818181815
9.278757903494591e-07,-0.42727272727272725,4.224581726718624e-05,-0.4272727272727273,8.51292243135254e-05,-0.42727272727272725
8.277062229857774e-07,-0.43636363636363634,4.086058076375963e-05,-0.43636363636363634,8.341325389489828e-05,-0.43636363636363634
7.383505680412043e-07,-0.4454545454545455,3.952334234536246e-05,-0.4454545454545455,8.17408294799455e-05,-0.44545454545454544
6.586414013743136e-07,-0.4545454545454546,3.823253118548882e-05,-0.4545454545454546,8.011107797720596e-05,-0.45454545454545453
5.875373294043888e-07,-0.4636363636363637,3.698663099477988e-05,-0.4636363636363637,7.852314857267092e-05,-0.4636363636363636
5.241093833915898e-07,-0.4727272727272728,3.5784178239869866e-05,-0.4727272727272727,7.697621228561544e-05,-0.4727272727272727
4.675288825382399e-07,-0.4818181818181818,3.462376042420353e-05,-0.48181818181818187,7.546946153582784e-05,-0.4818181818181818
4.1705660734366814e-07,-0.4909090909090909,3.350401442880545e-05,-0.49090909090909096,7.400210972201124e-05,-0.4909090909090909
3.720331417634014e-07,-0.5,3.2423624911052177e-05,-0.5000000000000001,7.25733908111374e-05,-0.5
3.318702579938192e-07,-0.509090909090909,3.1381322759566195e-05,-0.5090909090909091,7.118255893853815e-05,-0.509090909090909
2.9604323132520963e-07,-0.5181818181818182,3.037588360341693e-05,-0.5181818181818182,6.98288880185255e-05,-0.5181818181818182
2.640839846574224e-07,-0.5272727272727272,2.9406126373877345e-05,-0.5272727272727273,6.851167136533794e-05,-0.5272727272727272
2.3557497311179318e-07,-0.5363636363636364,2.847091191704677e-05,-0.5363636363636364,6.72302213242138e-05,-0.5363636363636364
2.101437288423064e-07,-0.5454545454545455,2.7569141655710155e-05,-0.5454545454545455,6.598386891240048e-05,-0.5454545454545454
1.8745799477440783e-07,-0.5545454545454546,2.6699756298862065e-05,-0.5545454545454546,6.477196346991085e-05,-0.5545454545454546
1.6722138369417952e-07,-0.5636363636363637,2.5861734597379225e-05,-0.5636363636363637,6.35938723198454e-05,-0.5636363636363636
1.491695059742342e-07,-0.5727272727272728,2.505409214438018e-05,-0.5727272727272728,6.244898043810239e-05,-0.5727272727272728
1.3306651534539738e-07,-0.5818181818181818,2.4275880218862717e-05,-0.5818181818181819,6.133669013230368e-05,-0.5818181818181818
1.1870202758496988e-07,-0.5909090909090909,2.3526184671260856e-05,-0.5909090909090909,6.0256420729768625e-05,-0.5909090909090908
1.0588837186449497e-07,-0.6,2.280412484961204e-05,-0.6,5.920760827437299e-05,-0.6
9.445813884611602e-08,-0.6090909090909091,2.2108852565073433e-05,-0.6090909090909091,5.8189705232135054e-05,-0.609090909090909
8.426199349361104e-08,-0.6181818181818182,2.1439551095571876e-05,-0.6181818181818183,5.72021802053746e-05,-0.6181818181818182
7.516672402266268e-08,-0.6272727272727272,2.0795434226417244e-05,-0.6272727272727273,5.6244517655296116e-05,-0.6272727272727272
6.705350150006287e-08,-0.6363636363636365,2.0175745326752206e-05,-0.6363636363636364,5.531621763285101e-05,-0.6363636363636364
5.981632735366184e-08,-0.6454545454545455,1.9579756460753473e-05,-0.6454545454545455,5.441679551773854e-05,-0.6454545454545454
5.336064850990801e-08,-0.6545454545454545,1.900676753254056e-05,-0.6545454545454547,5.354578176540912e-05,-0.6545454545454545
4.760212206586844e-08,-0.6636363636363637,1.8456105463787545e-05,-0.6636363636363637,5.270272166193795e-05,-0.6636363636363636
4.2465513356272233e-08,-0.6727272727272727,1.7927123403071734e-05,-0.6727272727272728,5.188717508664097e-05,-0.6727272727272727
3.788371301891552e-08,-0.6818181818181819,1.741919996603065e-05,-0.6818181818181818,5.109871628230926e-05,-0.6818181818181818
3.3796860216469636e-08,-0.6909090909090909,1.6931738505434487e-05,-0.6909090909090909,5.033693363294195e-05,-0.6909090909090909
3.015156055965964e-08,-0.7,1.646416641031698e-05,-0.7000000000000001,4.960142944886141e-05,-0.7
2.690018851404413e-08,-0.7090909090909091,1.6015934433340975e-05,-0.7090909090909091,4.889181975909893e-05,-0.7090909090909091
2.4000265176400168e-08,-0.7181818181818181,1.5586516045608897e-05,-0.7181818181818183,4.8207734110942094e-05,-0.7181818181818181
2.1413903291413584e-08,-0.7272727272727273,1.517540681816006e-05,-0.7272727272727274,4.754881537653941e-05,-0.7272727272727273
1.9107312257864216e-08,-0.7363636363636364,1.4782123829428331e-05,-0.7363636363636364,4.691471956646127e-05,-0.7363636363636363
1.7050356657253543e-08,-0.7454545454545455,1.44062050979641e-05,-0.7454545454545455,4.630511565011978e-05,-0.7454545454545454
1.5216162537088167e-08,-0.7545454545454546,1.4047209039754105e-05,-0.7545454545454545,4.5719685382953774e-05,-0.7545454545454545
1.3580766304943277e-08,-0.7636363636363637,1.3704713949501831e-05,-0.7636363636363637,4.5158123140288816e-05,-0.7636363636363636
1.2122801646136414e-08,-0.7727272727272727,1.3378317505258914e-05,-0.7727272727272728,4.46201357577854e-05,-0.7727272727272727
1.0823220374617183e-08,-0.7818181818181819,1.3067636295825827e-05,-0.7818181818181819,4.4105442378392184e-05,-0.7818181818181817
9.665043570013296e-09,-0.7909090909090909,1.2772305370366611e-05,-0.790909090909091,4.361377430572405e-05,-0.7909090909090909
8.633139749459202e-09,-0.8,1.2491977809708627e-05,-0.8000000000000002,4.314487486378889e-05,-0.7999999999999999
7.714027176040825e-09,-0.8090909090909092,1.2226324318823741e-05,-0.8090909090909091,4.2698499262989515e-05,-0.8090909090909091
6.895697721033025e-09,-0.8181818181818181,1.1975032840012185e-05,-0.8181818181818182,4.227441447233091e-05,-0.8181818181818181
6.167459978704261e-09,-0.8272727272727274,1.1737808186334822e-05,-0.8272727272727273,4.1872399097766074e-05,-0.8272727272727273
5.519799583997081e-09,-0.8363636363636363,1.1514371694863092e-05,-0.8363636363636364,4.1492243266616996e-05,-0.8363636363636363
4.944254908146095e-09,-0.8454545454545455,1.1304460899339399e-05,-0.8454545454545456,4.113374851801028e-05,-0.8454545454545455
4.433306508207568e-09,-0.8545454545454545,1.1107829221863384e-05,-0.8545454545454546,4.079672769927041e-05,-0.8545454545454545
3.9802788861675966e-09,-0.8636363636363636,1.092424568324193e-05,-0.8636363636363638,4.0481004868216427e-05,-0.8636363636363636
3.579253274120233e-09,-0.8727272727272727,1.075349463166266e-05,-0.8727272727272727,4.0186415201311074e-05,-0.8727272727272727
3.2249903060608695e-09,-0.8818181818181818,1.0595375489372159e-05,-0.8818181818181818,3.9912804907614444e-05,-0.8818181818181817
2.9128615660086538e-09,-0.890909090909091,1.0449702517061427e-05,-0.890909090909091,3.9660031148497196e-05,-0.8909090909090909
2.6387891181396484e-09,-0.9,1.0316304595681718e-05,-0.9,3.942796196307146e-05,-0.9
