x,z,history
0.0,0.0,False
0.010341750568698061,-0.00048707231778468357,False
0.020527042097249485,-0.0019186851709079387,False
0.030581567233550544,-0.0042747853701015975,False
0.04038600792295446,-0.0075286420486056944,False
0.049860974429401454,-0.011634040730373394,False
0.0589292879228519,-0.01654954951444091,False
0.06751738714955483,-0.0222260169888075,False
0.07555597770365252,-0.02860942745779842,False
0.08298067850345636,-0.035640552213613085,False
0.08973258514660795,-0.04325550460849768,False
0.09575882501599647,-0.051386048679292716,False
0.10101303231859086,-0.05996010840440109,False
0.10545577729576962,-0.06890228518941778,False
0.10905492885280768,-0.07813444751290843,False
0.11178595651217202,-0.08757635447611822,False
0.11363216548667088,-0.09714631625406563,False
0.11458486457750688,-0.10676187830277509,False
0.11464346434354845,-0.11634052288893416,False
0.11381550443452061,-0.12580037910536904,False
0.11211660883653937,-0.13506093375892717,False
0.10957036839647272,-0.1440437353268768,False
0.10620815035812425,-0.15267308358411685,False
0.10206883521410354,-0.16087669772225505,False
0.09719848177004776,-0.16858635612943854,False
0.09164992202004586,-0.17573850135672717,False
0.08548228820860819,-0.18227480421197,False
0.07876047531275562,-0.1881426813763056,False
0.07155454309599928,-0.19329576143723623,False
0.0639390628427327,-0.1976942947700987,False
0.05599241484389823,-0.20130550327410965,False
0.04779604363504888,-0.204103866575137,False
0.03943367884404005,-0.2060713419400615,False
0.030990530245177627,-0.20719751580144596,False
0.022552466200224122,-0.20747968546036893,False
0.014205185061287283,-0.20692287021356937,False
0.006033389292922414,-0.2055397518322387,False
-0.0018800279707520302,-0.20335054499759314,False
-0.009454774482084682,-0.20038279896650754,False
-0.01661391956941871,-0.19667113239285244,False
-0.023284615635326862,-0.19225690386076247,False
-0.029398772941816934,-0.18718782128910552,False
-0.034893681071836435,-0.18151749393638453,False
-0.03971257143314548,-0.17530493126694055,False
-0.04380511617200668,-0.16861399342770467,False
-0.04712785985344705,-0.16151279852530212,False
-0.04964458121196526,-0.1540730922818948,False
-0.051326583159354684,-0.14636958598108243,False
-0.052152910041082176,-0.13847926888933804,False
