t,inertial,stokes_drag,history,velocity,R^2
0.41,-0.03810321925186777,-0.007609167996862839,0.019970987341513848,-0.7951249469771453,0.9229422287430148
0.415,-0.040732109452138746,-0.0067150475220582005,0.0214246531118965,-0.7919370112829598,0.9229422287430148
0.42,-0.04329778635128854,-0.005813938191736263,0.02284735405124867,-0.7873949417136528,0.9229422287430148
0.425,-0.04579626146243415,-0.004907225430447439,0.024236876086290323,-0.7815066355236995,0.9229422287430148
0.43,-0.0482236476021671,-0.003996303850929928,0.02559105470724769,-0.7742820576682281,0.9229422287430148
0.435,-0.050576164936496026,-0.003082575109288291,0.02690777833809365,-0.7657332240794996,0.9229422287430148
0.44,-0.05285014686478646,-0.0021674457484592764,0.028184991627602192,-0.7558741817963834,0.9229422287430148
0.445,-0.055042045732533754,-0.0012523250332856265,0.029420698656085414,-0.7447209859795496,0.9229422287430148
0.45,-0.0571484383640752,-0.0003386227805282681,0.030612966052814824,-0.7322916738498422,0.9229422287430148
0.455,-0.0591660314066194,0.000572252812843615,0.031759926019262114,-0.7186062355919918,0.9229422287430148
0.46,-0.06109166647724604,0.0014788973397366501,0.032859779253430414,-0.7036865822705329,0.9229422287430148
0.465,-0.06292232510483939,0.0023799123480491434,0.03391079777070258,-0.687556510809306,0.9229422287430148
0.47,-0.06465513345922896,0.003273907497482713,0.034911327616788106,-0.6702416660904034,0.9229422287430148
0.475,-0.06628736686012572,0.004159502704720644,0.03585979146850906,-0.6517695002328885,0.9229422287430148
0.48,-0.06781645405878597,0.005035330273665015,0.03675469111834002,-0.6321692291158525,0.9229422287430148
0.485,-0.06923998128568189,0.005900037007446207,0.037594609838793154,-0.6114717862145598,0.9229422287430148
0.49,-0.07055569605780482,0.00675228629894074,0.03837821462291725,-0.5897097738226227,0.9229422287430148
0.495,-0.07176151073960416,0.007590760196570781,0.039104258297372775,-0.5669174117370057,0.9229422287430148
0.5,-0.0728555058519385,0.008414161442190997,0.039771581504737925,-0.5431304834866095,0.9229422287430148
0.505,-0.07383593312379534,0.009221215477914484,0.04037911455189658,-0.51838628018881,0.9229422287430148
0.51,-0.07470121828193675,0.010010672418770747,0.04092587912156737,-0.4927235421220609,0.9229422287430148
0.515,-0.07544996357402366,0.01078130898814443,0.041410989844239,-0.46618239810601775,0.9229422287430148
0.52,-0.07608095002118431,0.011531930412999407,0.04183365572799238,-0.43880430278394816,0.9229422287430148
0.525,-0.07659313939640146,0.012261372275949745,0.042193181443904645,-0.4106319719054793,0.9229422287430148
0.53,-0.07698567592551844,0.012968502321308428,0.042488968464953196,-0.381709315710636,0.9229422287430148
0.535,-0.07725788770808767,0.013652222212314023,0.042720516056562255,-0.352081370518962,0.9229422287430148
0.54,-0.07740928785571415,0.014311469236806314,0.042887422117159436,-0.32179422863035395,0.9229422287430148
0.545,-0.07743957534598266,0.014945217958703662,0.04298938386734251,-0.2908949666466321,0.9229422287430148
