t_u,u,t_w,w,history
0.757229232986629,0.0933821195448979,6.716107195508635,-0.1053805512369967,False
0.7817290033912032,0.09247167683428067,6.735452001957853,-0.1053819854149671,False
0.8070214515262757,0.09156123412366346,6.755048246770769,-0.10538341959293751,False
0.8331322240805323,0.09065079141304623,6.77490179384654,-0.10538485377090791,False
0.8600877975283479,0.08974034870242902,6.795018705623932,-0.10538628794887832,False
0.8879155049771001,0.08882990599181179,6.815405251937042,-0.10538772212684872,False
0.9166435638830732,0.08791946328119457,6.836067919367605,-0.10538915630481913,False
0.9463011046641463,0.08700902057057734,6.857013421118311,-0.10539059048278952,False
0.9769182002381953,0.08609857785996013,6.878248707450296,-0.10539202466075992,False
1.0085258965171975,0.0851881351493429,6.8997809767180645,-0.10539345883873033,False
1.0411562438879818,0.08427769243872568,6.921617687043923,-0.10539489301670073,False
1.0748423297114975,0.08336724972810845,6.943766568681102,-0.10539632719467114,False
1.1096183118735867,0.08245680701749124,6.9662356371061,-0.10539776137264154,False
1.1455194534212851,0.08154636430687401,6.989033206899679,-0.10539919555061195,False
1.1825821583197533,0.0806359215962568,7.012167906469144,-0.10540062972858234,False
1.2208440083661056,0.07972547888563956,7.035648693675811,-0.10540206390655275,False
1.2603438012975703,0.07881503617502235,7.059484872431413,-0.10540349808452315,False
1.3011215901326283,0.07790459346440512,7.083686110339622,-0.10540493226249355,False
1.343218723784981,0.0769941507537879,7.108262457459986,-0.10540636644046396,False
1.3866778889916236,0.07608370804317068,7.1332243662781485,-0.10540780061843436,False
1.4315431535974166,0.07517326533255346,7.1585827129812785,-0.10540923479640477,False
1.4778600112401379,0.07426282262193623,7.184348820133316,-0.10541066897437516,False
1.5256754274813105,0.07335237991131902,7.210534480871412,-0.10541210315234557,False
1.5750378874295343,0.07244193720070179,7.237151984734648,-0.10541353733031597,False
1.6259974449046792,0.07153149449008457,7.264214145268544,-0.10541497150828637,False
1.6786057731927437,0.07062105177946734,7.2917343295437425,-0.10541640568625678,False
1.7329162174428632,0.06971060906885013,7.319726489755004,-0.10541783986422718,False
1.7889838487596093,0.0688001663582329,7.3482051970750115,-0.10541927404219759,False
1.8468655200453936,0.06788972364761568,7.377185677952993,-0.10542070822016798,False
1.9066199236496537,0.06697928093699845,7.406683853081058,-0.1054221423981384,False
1.9683076508832222,0.06606883822638124,7.436716379251577,-0.10542357657610879,False
