t,inertial_forces,gravity,Stokes_drag,history_force,velocity
0.0,0.0,6.3520142226383e-310,0.0,0.0032365476708431,1.0
0.0050688550046883,0.0878329286737854,0.0,-0.00772918512513,-0.0325158631992779,0.9991980409831369
0.0101377100093767,0.16244457915468502,0.0,-0.0238879478096443,-0.0676780317561537,0.9968554131776705
0.0152065650140651,0.23232634135351898,0.0,-0.0438383908195957,-0.101717270272005,0.9930323353734365
0.0202754200187534,0.2973060656589741,0.0,-0.0685561312707369,-0.134635217414679,0.9877204958453354
0.0253442750234418,0.36061694659395427,0.0,-0.0939820885080126,-0.164820309443804,0.9809713159986067
0.0304131300281302,0.420984406289294,0.0,-0.12256938951826,-0.193018903713273,0.9727870781373952
0.0354819850328185,0.4801355995476064,0.0,-0.150837208800774,-0.219180218409201,0.9632062571143263
0.0405508400375069,0.5370170413920956,0.0,-0.181440402866203,-0.243630991741889,0.9522372634145728
0.0456196950421953,0.5926910040630239,0.0,-0.21136647282549,-0.266516822041241,0.9399145172697173
0.0506885500468836,0.646389269562214,0.0,-0.243007611133604,-0.287872066407738,0.9262534088668479
0.055757405051572,0.6987793435255164,0.0,-0.273843359301491,-0.307912247452835,0.9112875783201009
0.0608262600562603,0.7493148347494228,0.0,-0.305875350432145,-0.326539147594093,0.8950386808024987
0.0658951150609487,0.7984125296594093,0.0,-0.337060877615508,-0.343985457643644,0.8775411737395592
0.0709639700656371,0.8456856679161455,0.0,-0.369002327041876,-0.360105469470783,0.858822166913176
0.0760328250703254,0.8913890045465658,0.0,-0.400083477743625,-0.375118273662054,0.8389178286718223
0.0811016800750138,0.9352476675300192,0.0,-0.431547518819819,-0.388872780216901,0.8178600279669999
0.0861705350797022,0.9774115783940245,0.0,-0.462138358265705,-0.40156035466866,0.7956871296766245
0.0912393900843905,1.0176835903825763,0.0,-0.492797140942051,-0.413044233091231,0.7724351815894354
0.0963082450890789,1.056146425326873,0.0,-0.522560580611421,-0.423484149646804,0.7481449688195426
0.101377100093767,1.0926569978410734,0.0,-0.552126518669424,-0.432765342729381,0.7228562247246716
0.106445955098456,1.127255811919574,0.0,-0.580763401035694,-0.441017426239633,0.6966122028177092
0.111514810103144,1.1598377675807092,0.0,-0.608978988570463,-0.448149051195886,0.6694558881205668
0.116583665107832,1.1904177951163257,0.0,-0.636221530015906,-0.454263686266454,0.6414329299265726
0.121652520112521,1.2189180121974625,0.0,-0.662853774828314,-0.459291798315632,0.6125891686575968
0.126721375117209,1.2453388757699355,0.0,-0.68846145700031,-0.463315465781986,0.5829724921063374
0.131790230121897,1.2696225937130643,0.0,-0.713298886771092,-0.466284166772783,0.5526312219410675
0.136859085126586,1.2917625483164692,0.0,-0.737055824311774,-0.468263234997287,0.5216152669739025
0.141927940131274,1.3117163698465384,0.0,-0.759906953145559,-0.469218095647038,0.4899750676323773
0.146996795135962,1.329475287593555,0.0,-0.78162019892857,-0.469201458034473,0.45776229302029947
0.152065650140651,1.345009326293586,0.0,-0.802312825919638,-0.468191830741412,0.42502914490222243
0.157134505145339,1.3583108235865091,0.0,-0.821811290561574,-0.466232747207952,0.39182876072661565
0.162203360150028,1.369360249052263,0.0,-0.840192265317971,-0.463313324062822,0.35821474742437726
0.167272215154716,1.37815319460419,0.0,-0.857326043348756,-0.459470692027248,0.32424139639922056
0.172341070159404,1.3846793224898322,0.0,-0.873261281512034,-0.454702531957331,0.28996336299074527
0.177409925164093,1.3889388724725193,0.0,-0.887901243332635,-0.449041734441136,0.25543576234688187
0.182478780168781,1.3909298887646944,0.0,-0.901275860561147,-0.442492904429345,0.220713940408652
0.187547635173469,1.3906581416412593,0.0,-0.913313410642319,-0.435086335099962,0.18585349522358377
0.192616490178158,1.3881295174478336,0.0,-0.924031893791254,-0.426832261585257,0.15091010495904317
0.197685345182846,1.3833558488789586,0.0,-0.93337882278312,-0.417759596369469,0.11593950331745406
0.202754200187534,1.3763504827480322,0.0,-0.941365187102257,-0.407883192165167,0.08099734287005433
0.207823055192223,1.3671316013425159,0.0,-0.947953564377557,-0.397231457409391,0.04613914292329855
0.212891910196911,1.3557197147357902,0.0,-0.953151463873853,-0.385823069778938,0.01142017472467438
0.2179607652016,1.3421394673384808,0.0,-0.956933530608035,-0.373686543848784,-0.023104606512279646
0.223029620206288,1.3264182721350388,0.0,-0.95930630011377,-0.36084375659852,-0.0573806626851749
0.228098475210976,1.3085872199175435,0.0,-0.960254333079865,-0.347323732929119,-0.09135394915859664
0.233167330215665,1.288680372884634,0.0,-0.959784947842843,-0.333151046989771,-0.12497100691831978
0.238236185220353,1.266735155002057,0.0,-0.957891071743155,-0.318355480481614,-0.1581790425420635
0.243305040225041,1.2427920119658544,0.0,-0.954582015170753,-0.302963891891284,-0.19092601411424623
0.24837389522973,1.2168945109117448,0.0,-0.949857947232684,-0.287006946283237,-0.2231607117418398
0.253442750234418,1.1890891922490168,0.0,-0.943730980757892,-0.270513436769249,-0.2548328386065523
0.258511605239106,1.1594255136159841,0.0,-0.936207695955333,-0.253514947624737,-0.28589309001494895
0.263580460243795,1.1279557922657284,0.0,-0.927303527433277,-0.236041900479085,-0.3162932301715071
0.268649315248483,1.0947350709748476,0.0,-0.917030836384557,-0.21812676630095,-0.3459861684088326
0.273718170253171,1.0598210941836999,0.0,-0.905408685317971,-0.199801318546088,-0.37492603179591855
0.27878702525786,1.0232741391007747,0.0,-0.892454719890807,-0.181098831025311,-0.40306823760040483
0.283855880262548,0.9851569953993922,0.0,-0.878191779326555,-0.16205217170277,-0.4303695615806093
