x,z,history
0.0,0.0,False
0.01034210252274314,-0.0005982713499419776,False
0.02052960717482099,-0.002336573658272086,False
0.030589745291535943,-0.005162615086537872,False
0.040403842018397335,-0.009028034623994778,False
0.04989329087247788,-0.013860951912948751,False
0.05898142513388544,-0.019602345771355303,False
0.0675952344798325,-0.026186498887483655,False
0.07566591880060236,-0.03354609054027189,False
0.08312967351091267,-0.04161044756882782,False
0.08992822100389601,-0.0503062024434369,False
0.09600940337993813,-0.059557191646288775,False
0.10132764086866708,-0.06928481767470646,False
0.10584435500538603,-0.0794083682196585,False
0.10952830834721523,-0.08984546833198173,False
0.11235588197283201,-0.1005125755657597,False
0.11431128013469338,-0.11132553421827618,False
0.11538666585048485,-0.12220016485505135,False
0.11558222499649842,-0.13305288224675185,False
0.11490615940749911,-0.14380132939713636,False
0.11337460851695233,-0.15436501847018905,False
0.11101149987048417,-0.16466596912419518,False
0.10784832898416546,-0.17462933572745623,False
0.10392386954415447,-0.1841840153725221,False
0.09928381542279306,-0.1932632292369771,False
0.09398035660606417,-0.20180507039936854,False
0.08807169180945502,-0.20975301181963657,False
0.08162148132734816,-0.21705636879890558,False
0.07469824448597208,-0.22367071086101695,False
0.06737470693352962,-0.22955821864205173,False
0.05972710387040618,-0.23468798203509186,False
0.05183444616185279,-0.23903623651206635,False
0.04377775704512984,-0.24258653522935686,False
0.03563928780279726,-0.24532985521434827,False
0.02750172128633414,-0.24726463662141082,False
0.019447372508477827,-0.24839675473262612,False
0.011557395656443125,-0.24873942505553862,False
0.003911006800426159,-0.24831304253194592,False
-0.0034152687165004214,-0.2471449565129801,False
-0.010348315706889563,-0.2452691837714226,False
-0.016819107545459212,-0.24272606240754632,False
-0.022763336515009218,-0.23956185005529151,False
-0.028121989958947883,-0.23582827030706788,False
-0.032841867077781944,-0.2315820117440741,False
-0.03687603220220204,-0.22688418438119753,False
-0.04018420136045812,-0.22179973870811615,False
-0.04273305990305127,-0.21639685282834933,False
-0.0444965098310796,-0.21074629346327378,False
-0.04545584628131235,-0.20492075679656632,False
-0.04559986334416209,-0.19899419528468332,False
-0.04492489002969797,-0.19304113664991204,False
-0.04343475775647238,-0.18713600130391364,False
-0.04114070122668861,-0.18135242442183092,False
-0.03806119497967411,-0.17576258880093623,False
-0.03422172829492401,-0.17043657449507996,False
-0.02965452145670901,-0.16544173101915194,False
-0.024398186703452056,-0.16084207766926722,False
-0.018497337473715965,-0.1566977372078495,False
-0.01200214983129483,-0.1530644078220772,False
-0.0049678802067897225,-0.14999287788349744,False
0.002545656167738202,-0.14752858762046375,False
0.010474641532600002,-0.14571124136801777,False
0.01875184178290554,-0.14457447358654604,False
0.027307217582506788,-0.14414557134558129,False
0.036068555283731506,-0.14444525545693754,False
0.04496211241130227,-0.14548752191624661,False
0.05391327238956627,-0.1472795447779809,False
0.06284720315263849,-0.1498216410500842,False
0.0716895142794989,-0.1531072976540957,False
0.08036690734160659,-0.1571232599587159,False
0.08880781423913614,-0.16184968086261933,False
0.09694301843221617,-0.16726032887943554,False
0.10470625414306595,-0.17332285316769347,False
0.1120347788100792,-0.17999910295472285,False
0.1188699143111286,-0.18724549832968995,False
0.12515755273534998,-0.1950134489308813,False
0.13084862276466025,-0.20324981662988137,False
0.13589951302243025,-0.21189741792431208,False
0.14027244905158465,-0.220895561395187,False
0.14393582089326754,-0.23018061526847,False
0.14686445854673827,-0.23968659984672525,False
0.1490398528997808,-0.2493457993491536,False
0.1504503200272336,-0.25908938751982113,False
0.1510911070663544,-0.2688480612370576,False
0.15096443819723088,-0.278552676283883,False
0.15007949959231354,-0.2881348794213785,False
0.14845236256126038,-0.29752773094500606,False
0.14610584451665373,-0.30666631199818906,False
0.14306930783383912,-0.3154883110675016,False
0.13937839718393438,-0.323934584288405,False
0.13507471649001954,-0.33194968444775064,False
0.13020544729546957,-0.33948235387671133,False
0.1248229110376358,-0.3464859767822444,False
0.11898407848038783,-0.352918986962861,False
0.11275003035921859,-0.35874522729107555,False
0.10618537410971893,-0.3639342578156436,False
0.0993576223554386,-0.3684616098363859,False
