z_crossings,u_bar,beta,history
-0.14315047871840586,0.09792319639658391,1.0,True
-0.14315047871840586,0.09792319639658391,1.0,False
-0.34785002488580524,0.06420578024296325,1.0,True
-0.34785002488580524,0.06420578024296325,1.0,False
-0.6922539548542663,0.03185214641344383,1.0,True
-0.6922539548542663,0.03185214641344383,1.0,False
-1.0462243441885204,0.015596031522973243,1.0,True
-1.0462243441885204,0.015596031522973243,1.0,False
-1.4067702219030194,0.0075603972903142275,1.0,True
-1.4067702219030194,0.0075603972903142275,1.0,False
-1.7718356941005187,0.0036377146452871347,1.0,True
-1.7718356941005187,0.0036377146452871347,1.0,False
-2.1400076152322627,0.0017406654719618168,1.0,True
-2.1400076152322627,0.0017406654719618168,1.0,False
-2.5103146586085887,0.0008297275270222785,1.0,True
-2.5103146586085887,0.0008297275270222785,1.0,False
-2.8820891953666155,0.0003944002125109373,1.0,True
-2.8820891953666155,0.0003944002125109373,1.0,False
-3.2548723476019394,0.00018711018182212755,1.0,True
-3.2548723476019394,0.00018711018182212755,1.0,False
-3.6283487216149597,8.86491304331336e-05,1.0,True
-3.6283487216149597,8.86491304331336e-05,1.0,False
-0.39697579167341057,0.08957239141128343,0.8,True
-0.5684029117595323,0.06638841038763879,0.8,True
-0.7424573629535391,0.04917463323330676,0.8,True
-0.9181128009414551,0.03655746430930891,0.8,True
-1.0948820767227951,0.027329415778706852,0.8,True
-1.2724899020958973,0.020572869539369414,0.8,True
-1.4507621825106258,0.015600453653709339,0.8,True
-1.629580131961168,0.0119133540629534,0.8,True
-1.80885770714251,0.009168633489290172,0.8,True
-1.988529909459099,0.007110608060812299,0.8,True
-2.1685459780532508,0.005555850258902327,0.8,True
-2.3488652342111727,0.004372213320603062,0.8,True
-2.529454406505552,0.003464066336158885,0.8,True
-2.710285831236239,0.0027618656108107775,0.8,True
-2.891336198450243,0.0022147671107437083,0.8,True
-3.0725856427170015,0.0017853787377752628,0.8,True
-3.254017073581548,0.0014460247994499593,0.8,True
-3.435615664428127,0.0011760794451234706,0.8,True
-3.6173684585049175,0.0009600573646270618,0.8,True
-3.7992640594555906,0.0007862437528752847,0.8,True
-3.9812923851856152,0.0006457053668125547,0.8,True
-4.163444459876737,0.0005315766401100448,0.8,True
-4.34571226268297,0.0004385389450268414,0.8,True
-4.528088621113136,0.0003624677957080365,0.8,True
-0.45426693575876925,0.08519605834309457,0.8,False
-0.6427985181052777,0.0608665896934075,0.8,False
-0.8310018504612231,0.04398316959451404,0.8,False
-1.0189829096753278,0.03209629340437405,0.8,False
-1.2068122462892394,0.023657809984611478,0.8,False
-1.3945380342158293,0.01760639857395641,0.8,False
-1.5821928962303449,0.013241540522809448,0.8,False
-1.7697991882210216,0.010044659862376697,0.8,False
-1.9573721731620481,0.007689523328792027,0.8,False
-2.1449223051117774,0.005938392195141708,0.8,False
-2.3324567495790647,0.004624067137224072,0.8,False
-2.519980420089482,0.0036284256717231764,0.8,False
-2.707496686883932,0.0028673654173415955,0.8,False
-2.8950078620377324,0.0022805414164695794,0.8,False
-3.082515531804312,0.0018243121488138777,0.8,False
-3.2700207844287146,0.0014668576639609886,0.8,False
-3.4575243663764392,0.0011847806567757565,0.8,False
-3.645026789507513,0.0009607267099565105,0.8,False
-3.83252843915186,0.0007817815143115358,0.8,False
-4.020029693035142,0.0006382413351939744,0.8,False
-4.207530576614075,0.0005221105722310352,0.8,False
-4.395031201282079,0.0004280228552185297,0.8,False
-4.582531642687711,0.0003515264890866092,0.8,False
-4.770031951955971,0.00028914420051896257,0.8,False
-1.206530859243443,0.06841665122524936,0.5,True
-1.8893912097906078,0.02946622637371556,0.5,True
-2.58338171526435,0.013474878664731635,0.5,True
-3.284304455816858,0.00641868165853852,0.5,True
-3.990038883583624,0.0031363984950288793,0.5,True
-4.6992996354848655,0.0015597927562072502,0.5,True
-5.411189129468137,0.000789234721420953,0.5,True
-6.124949773217265,0.0004085584447512491,0.5,True
-6.839800952376957,0.00021917358081029295,0.5,True
-7.554747243445834,0.0001241488315132396,0.5,True
-8.268236794326079,7.573690319997538e-05,0.5,True
-8.977598326064886,5.0545557686007635e-05,0.5,True
-9.677708762400936,3.7069023577265256e-05,0.5,True
-10.355452774876479,2.9760657418268678e-05,0.5,True
-1.4370631392625475,0.059035058606511336,0.5,False
-2.1874440724773074,0.02349751900349297,0.5,False
-2.9375303726682445,0.010166818240640543,0.5,False
-3.6875494062259273,0.004597547135772749,0.5,False
-4.4375531575605125,0.0021264506110044387,0.5,False
-5.187553145698845,0.0009944153906606226,0.5,False
-5.937551944368092,0.00046749966231225454,0.5,False
-6.687550987234404,0.00022034590708770892,0.5,False
-7.437552595559729,0.00010398430060143434,0.5,False
-8.18755393470011,4.909049290599549e-05,0.5,False
-8.93755498384608,2.318181015051396e-05,0.5,False
-9.687555727334702,1.0948558611526026e-05,0.5,False
-10.437556152605598,5.171273351747839e-06,0.5,False
-11.187556248562451,2.4426172123653794e-06,0.5,False
-11.937556004721348,1.15378339802635e-06,0.5,False
-12.687555410825155,5.450057457963166e-07,0.5,False
-13.437554456680981,2.5744494468180016e-07,0.5,False
-14.187553132095028,1.2161117184174728e-07,0.5,False
-14.937551426847678,5.744709600811365e-08,0.5,False
-15.687551643986218,2.7139287280096287e-08,0.5,False
-16.437553169846925,1.2820042482212351e-08,0.5,False
-17.18755440169869,6.055356123547648e-09,0.5,False
-17.93755532956502,2.8601915072659742e-09,0.5,False
-18.687555943441314,1.3510011842058524e-09,0.5,False
