z_bar/h,u_bar,St,history
-0.0019999977742565346,0.8611965020876503,0.01,True
-0.2500000566380798,9.531611721610733e-10,0.01,True
-0.5000000000016026,4.2876025385594596e-15,0.01,True
-0.75,1.2140266084676902e-19,0.01,True
-0.0019999977742565346,0.8611965020876503,0.1,True
-0.2500000566380798,9.531611721610733e-10,0.1,True
-0.5000000000016026,4.2876025385594596e-15,0.1,True
-0.75,1.2140266084676902e-19,0.1,True
-0.0019999977742565346,0.8611965020876503,1.0,True
-0.2500000566380798,9.531611721610733e-10,1.0,True
-0.5000000000016026,4.2876025385594596e-15,1.0,True
-0.75,1.2140266084676902e-19,1.0,True
-0.0019999977742565346,0.8611965020876503,10.0,True
-0.2500000566380798,9.531611721610733e-10,10.0,True
-0.5000000000016026,4.2876025385594596e-15,10.0,True
-0.75,1.2140266084676902e-19,10.0,True
-0.013333318494582264,0.8612056001352101,0.01,True
-0.2527715114688477,0.041771938350275546,0.01,True
-0.5005751111781657,0.0018539231653660574,0.01,True
-0.7501146014904368,8.076525313821601e-05,0.01,True
-0.013333318494582264,0.8612056001352101,0.1,True
-0.2527715114688477,0.041771938350275546,0.1,True
-0.5005751111781657,0.0018539231653660574,0.1,True
-0.7501146014904368,8.076525313821601e-05,0.1,True
-0.013333318494582264,0.8612056001352101,1.0,True
-0.2527715114688477,0.041771938350275546,1.0,True
-0.5005751111781657,0.0018539231653660574,1.0,True
-0.7501146014904368,8.076525313821601e-05,1.0,True
-0.013333318494582264,0.8612056001352101,10.0,True
-0.2527715114688477,0.041771938350275546,10.0,True
-0.5005751111781657,0.0018539231653660574,10.0,True
-0.7501146014904368,8.076525313821601e-05,10.0,True
-0.03999994999685426,0.9021829599278934,0.01,True
-0.2730204931063155,0.3366160208451938,0.01,True
-0.5124977449984627,0.12468063454808986,0.01,True
-0.7554803214218498,0.049941086053154164,0.01,True
-0.03999994999685426,0.9021829599278934,0.1,True
-0.2730204931063155,0.3366160208451938,0.1,True
-0.5124977449984627,0.12468063454808986,0.1,True
-0.7554803214218498,0.049941086053154164,0.1,True
-0.03999994999685426,0.9021829599278934,1.0,True
-0.2730204931063155,0.3366160208451938,1.0,True
-0.5124977449984627,0.12468063454808986,1.0,True
-0.7554803214218498,0.049941086053154164,1.0,True
-0.03999994999685426,0.9021829599278934,10.0,True
-0.2730204931063155,0.3366160208451938,10.0,True
-0.5124977449984627,0.12468063454808986,10.0,True
-0.7554803214218498,0.049941086053154164,10.0,True
