initial_history_x,initial_history_z,delta_t
0.0014937464429646396,1.8553417072205312,0.005
0.0014616715422607132,1.7837185657914838,0.004477777777777778
0.001370698534335581,1.7151059516025704,0.003955555555555556
0.001316637420318928,1.6147029587277602,0.0034333333333333334
0.001199072544506163,1.5132426993088708,0.0029111111111111113
0.0010483176471862534,1.3962411651765678,0.002388888888888889
0.0008623327887791049,1.2582821408542215,0.0018666666666666666
0.000640295921196321,1.0898956804778903,0.0013444444444444445
0.0003853356253400485,0.8711782079860817,0.0008222222222222225
0.00011624836854178574,0.5392151642286311,0.0003
