x_crossings,z_crossings,u_d,w_d,t,history
-0.046770278776143204,-0.187687598156675,0.7431112960984374,-0.09984617781867568,11.036668006409416,False
0.027836836651870395,-0.2718807926174856,0.6309106560688392,-0.09986354953462612,17.383099502029275,False
0.0910659639029954,-0.35593810127094216,0.5368383598210589,-0.09987775624280262,23.720005328828776,False
0.14478652275328605,-0.43988118435167783,0.4575103004822731,-0.09988996400353463,30.048912452285816,False
0.19051106083209027,-0.5237285581804499,0.39047481642696474,-0.09990058923830779,36.37108863849027,False
0.22949442832912106,-0.6074956677212815,0.33388844747368374,-0.09990967355145713,42.68757463286781,False
0.26279844829946386,-0.6911949941560097,0.2859357991930288,-0.0999176907148999,48.99925208526603,False
0.2912976737798262,-0.7748373141934166,0.245040484956771,-0.09992513170965855,55.306861607241586,False
0.31570512170919673,-0.8584319509689571,0.21062139331139035,-0.09993124569741577,61.61100130300126,False
0.33667268862649796,-0.9419857141809511,0.18102022434035178,-0.09993724679088993,67.9122042209242,False
0.354685035104296,-1.025505569198912,0.15593336984781006,-0.0999424405860516,74.21090383041192,False
0.37019495980843026,-1.1089965827420083,0.13455519255761772,-0.09994711008436229,80.5074634623969,False
0.38357395540679184,-1.192463129820135,0.11620553235577838,-0.09995149723078789,86.80219960294214,False
0.39512507453833845,-1.2759091675595868,0.1005237904772891,-0.09995547146341092,93.09537679800478,False
0.4051149148153893,-1.3593378562981495,0.08710102488481741,-0.09995908825098315,99.38721913397816,False
0.4137689932013899,-1.4427518669439106,0.07559462134018542,-0.09996239085523581,105.67791686425653,False
0.42127846588287166,-1.5261534584566963,0.06573810969399689,-0.09996538014878857,111.96763175089903,False
0.4278077850605335,-1.6095445131701207,0.057243762270019385,-0.09996815585838915,118.25650165627977,False
0.4334926546740822,-1.6929266800353702,0.04992347391735243,-0.09997071571245691,124.54464432234926,False
0.43844997420143816,-1.776301339555955,0.043613792230245085,-0.09997306496561088,130.83216019392253,False
0.44278032094251324,-1.8596696474510563,0.03816735410726807,-0.09997522263922723,137.11913505973638,False
0.4465695730983358,-1.9430325811128988,0.03345918684174627,-0.09997720547845652,143.4056422760288,False
0.4498911516582455,-2.026390967156744,0.029383168961666747,-0.09997902838723258,149.69174463892378,False
0.45280790570630375,-2.109745504685502,0.025849080004698287,-0.09998070474523382,155.97749596459568,False
0.4553737010603018,-2.1930967849503937,0.02278013340063838,-0.09998224664316005,162.2629424251324,False
0.4576347612446602,-2.276445307973378,0.020110907849534804,-0.09998366506170647,168.54812367943077,False
0.45963080110884513,-2.35979149660478,0.017785608943925196,-0.09998497001077523,174.83307383166334,False
0.4613959864194986,-2.4431357084135237,0.015758629691463206,-0.09998616744927515,181.11782258417801,False
0.4629599480667588,-2.526478247590736,0.013990616306665763,-0.09998726363270373,187.40239624153872,False
0.46434840494071694,-2.6098193785056094,0.01243730946827395,-0.09998828113863953,193.68681593820182,False
0.46558267828472877,-2.693159315801578,0.011074930100478947,-0.09998921751922643,199.97110060976482,False
0.46668172606079505,-2.776498242935088,0.009877959269360054,-0.09999007921360711,206.25526664291883,False
0.4676619710028441,-2.859836314938224,0.008824497255692247,-0.0999908721522551,212.5393282377952,False
0.46853766048542006,-2.943173662797463,0.007895730041576654,-0.09999160179792231,218.82329771687628,False
0.46932117326823913,-3.0265103971584817,0.007075476507785971,-0.0999922731825456,225.10718578852226,False
0.47002328117231473,-3.109846611460298,0.006349803866088175,-0.09999289094119423,231.39100177193538,False
0.4706533724932549,-3.193182384586654,0.005706700829286046,-0.09999345934306597,237.67475378934483,False
0.4712196429067607,-3.2765177831087975,0.005135799673511992,-0.09999398232006101,243.958448930316,False
0.47172925873702765,-3.3598528631826143,0.004628139730616464,-0.09999446349301654,250.24209339234267,False
0.4721884967134087,-3.443187672153267,0.004175966008690575,-0.09999490619612787,256.5256926012511,False
0.4726028637117456,-3.526522249912589,0.003772557614671,-0.09999531349922053,262.80925131440944,False
0.4729771994455915,-3.6098566300471187,0.0034120814736424356,-0.09999568822847993,269.0927737092865,False
0.47331576462348696,-3.6931908408091925,0.003091285497175421,-0.09999603011967399,275.37626504124313,False
0.4736224971732317,-3.7765249245274566,0.002803508113099183,-0.09999634511136861,281.6597291896531,False
0.4739006738322114,-3.859858910231777,0.00254344419567644,-0.09999663770460686,287.94316766884714,False
0.4741530447509754,-3.9431927993375138,0.0023096753795414505,-0.09999690686630748,294.22658300778767,False
0.4743822193292593,-4.026526605856055,0.002099257346683496,-0.0999971544709949,300.5099774423999,False
0.4745905147550298,-4.109860341475012,0.001909610068627661,-0.0999973822438623,306.79335295197103,False
0.4747799921646961,-4.193194015916429,0.0017384689360599116,-0.0999975917724291,313.0767112906421,False
0.47495248795115624,-4.276527637239619,,,,False
-0.04838696502887328,-0.17261678436321118,0.761343189939395,-0.08745927406505971,11.03179924956119,True
0.028074953552628245,-0.2463884772371148,0.6591762637818059,-0.09066847636676599,17.38113604957094,True
0.09416706908253651,-0.3227410311106135,0.5688162262437146,-0.09221856956984434,23.721304889079743,True
0.15111691168631672,-0.4002867971281977,0.4903544258590285,-0.09319009530327922,30.053540825393906,True
0.20014973669422026,-0.47855146193572257,0.422588353548103,-0.09387604410209946,36.37896021248006,True
0.24236082769332776,-0.5573073424214608,0.36429396579095036,-0.09439494083322131,42.698527679480826,True
0.2787154017222116,-0.6364252802156147,0.31431445938228636,-0.09480546465572377,49.01306761601417,True
0.3100573365090058,-0.7158240861161441,0.2713662894928027,-0.09514092968287542,55.32330296835677,True
