percent_displacement,x_0,St,beta,mean,median,stdev,max,min
128.38938519643216,0.0,0.05,0.98684,117.94563227905628,117.90642850993814,7.81421862436052,128.38938519643216,106.94080247561263
124.36745963624111,0.07162,0.05,0.98684,117.94563227905628,117.90642850993814,7.81421862436052,128.38938519643216,106.94080247561263
117.90642850993814,0.14324,0.05,0.98684,117.94563227905628,117.90642850993814,7.81421862436052,128.38938519643216,106.94080247561263
112.12408557705734,0.21486,0.05,0.98684,117.94563227905628,117.90642850993814,7.81421862436052,128.38938519643216,106.94080247561263
106.94080247561263,0.28648,0.05,0.98684,117.94563227905628,117.90642850993814,7.81421862436052,128.38938519643216,106.94080247561263
-4.392355772278734,0.0,0.056,0.98684,3.1866175959536376,4.7646552698145115,4.444753996577375,8.048645905123863,-4.392355772278734
1.0578982086030209,0.07162,0.056,0.98684,3.1866175959536376,4.7646552698145115,4.444753996577375,8.048645905123863,-4.392355772278734
4.7646552698145115,0.14324,0.056,0.98684,3.1866175959536376,4.7646552698145115,4.444753996577375,8.048645905123863,-4.392355772278734
6.4542443685055275,0.21486,0.056,0.98684,3.1866175959536376,4.7646552698145115,4.444753996577375,8.048645905123863,-4.392355772278734
8.048645905123863,0.28648,0.056,0.98684,3.1866175959536376,4.7646552698145115,4.444753996577375,8.048645905123863,-4.392355772278734
171.54029757118826,0.0,0.061,0.98684,154.61050870917472,155.18099044645405,12.582898002431284,171.54029757118826,136.6724024788799
164.39059552286278,0.07162,0.061,0.98684,154.61050870917472,155.18099044645405,12.582898002431284,171.54029757118826,136.6724024788799
155.18099044645405,0.14324,0.061,0.98684,154.61050870917472,155.18099044645405,12.582898002431284,171.54029757118826,136.6724024788799
145.26825752648853,0.21486,0.061,0.98684,154.61050870917472,155.18099044645405,12.582898002431284,171.54029757118826,136.6724024788799
136.6724024788799,0.28648,0.061,0.98684,154.61050870917472,155.18099044645405,12.582898002431284,171.54029757118826,136.6724024788799
123.26903724087003,0.0,0.067,0.98684,93.1507198307338,87.97808006743969,18.207312117830735,123.26903724087003,72.13274223062271
102.89569192606766,0.07162,0.067,0.98684,93.1507198307338,87.97808006743969,18.207312117830735,123.26903724087003,72.13274223062271
87.97808006743969,0.14324,0.067,0.98684,93.1507198307338,87.97808006743969,18.207312117830735,123.26903724087003,72.13274223062271
79.47804768866894,0.21486,0.067,0.98684,93.1507198307338,87.97808006743969,18.207312117830735,123.26903724087003,72.13274223062271
72.13274223062271,0.28648,0.067,0.98684,93.1507198307338,87.97808006743969,18.207312117830735,123.26903724087003,72.13274223062271
272.685703980065,0.0,0.072,0.98684,217.66372535868427,212.8018018644671,35.26084865839937,272.685703980065,172.29270494231451
238.6741635546678,0.07162,0.072,0.98684,217.66372535868427,212.8018018644671,35.26084865839937,272.685703980065,172.29270494231451
212.8018018644671,0.14324,0.072,0.98684,217.66372535868427,212.8018018644671,35.26084865839937,272.685703980065,172.29270494231451
191.8642524519069,0.21486,0.072,0.98684,217.66372535868427,212.8018018644671,35.26084865839937,272.685703980065,172.29270494231451
172.29270494231451,0.28648,0.072,0.98684,217.66372535868427,212.8018018644671,35.26084865839937,272.685703980065,172.29270494231451
190.42678912632175,0.0,0.078,0.98684,175.88135747270482,175.44561843648944,11.739895204196156,190.42678912632175,158.1072756632185
186.50941439952442,0.07162,0.078,0.98684,175.88135747270482,175.44561843648944,11.739895204196156,190.42678912632175,158.1072756632185
175.44561843648944,0.14324,0.078,0.98684,175.88135747270482,175.44561843648944,11.739895204196156,190.42678912632175,158.1072756632185
168.91768973797008,0.21486,0.078,0.98684,175.88135747270482,175.44561843648944,11.739895204196156,190.42678912632175,158.1072756632185
158.1072756632185,0.28648,0.078,0.98684,175.88135747270482,175.44561843648944,11.739895204196156,190.42678912632175,158.1072756632185
-55.24940799494373,0.0,0.083,0.98684,-49.88051074882175,-49.9066713155937,3.685703674489177,-44.87888580884371,-55.24940799494373
-52.32979781888921,0.07162,0.083,0.98684,-49.88051074882175,-49.9066713155937,3.685703674489177,-44.87888580884371,-55.24940799494373
-49.9066713155937,0.14324,0.083,0.98684,-49.88051074882175,-49.9066713155937,3.685703674489177,-44.87888580884371,-55.24940799494373
-47.037790805838426,0.21486,0.083,0.98684,-49.88051074882175,-49.9066713155937,3.685703674489177,-44.87888580884371,-55.24940799494373
-44.87888580884371,0.28648,0.083,0.98684,-49.88051074882175,-49.9066713155937,3.685703674489177,-44.87888580884371,-55.24940799494373
110.76217217451563,0.0,0.089,0.98684,73.29886796604694,65.14181611179549,22.22118091915951,110.76217217451563,49.20319322780904
84.9184016420788,0.07162,0.089,0.98684,73.29886796604694,65.14181611179549,22.22118091915951,110.76217217451563,49.20319322780904
65.14181611179549,0.14324,0.089,0.98684,73.29886796604694,65.14181611179549,22.22118091915951,110.76217217451563,49.20319322780904
56.46875667403569,0.21486,0.089,0.98684,73.29886796604694,65.14181611179549,22.22118091915951,110.76217217451563,49.20319322780904
49.20319322780904,0.28648,0.089,0.98684,73.29886796604694,65.14181611179549,22.22118091915951,110.76217217451563,49.20319322780904
-18.873068010977306,0.0,0.094,0.98684,-7.412435541570136,-5.137668498397005,7.204424623691427,1.5527470128241703,-18.873068010977306
-11.91724092856623,0.07162,0.094,0.98684,-7.412435541570136,-5.137668498397005,7.204424623691427,1.5527470128241703,-18.873068010977306
-5.137668498397005,0.14324,0.094,0.98684,-7.412435541570136,-5.137668498397005,7.204424623691427,1.5527470128241703,-18.873068010977306
