amplitude,wavelength,beta,x_0.999,z_0.999,u_d_0.999,w_d_0.999,t_0.999,x_history_0.999,z_history_0.999,u_d_history_0.999,w_d_history_0.999,t_history_0.999,x_0.5,z_0.5,u_d_0.5,w_d_0.5,t_0.5,x_history_0.5,z_history_0.5,u_d_history_0.5,w_d_history_0.5,t_history_0.5,x_0.1,z_0.1,u_d_0.1,w_d_0.1,t_0.1,x_history_0.1,z_history_0.1,u_d_history_0.1,w_d_history_0.1,t_history_0.1
0.02,1.0,0.999,0.0,0.0,0.8054641994867893,-0.00992164823294038,11.022688816127095,0.0,0.0,0.8059812154127801,-0.008865826933504732,11.022628251941988,0.0,0.0,0.2717851224459474,-4.9569727670645705,11.116586053337157,0.0,0.0,0.3122106066385893,-4.591752587969871,11.089031648599828,0.0,0.0,0.15217664609564244,-8.928860256686283,11.19777908688981,0.0,0.0,0.1679749161595447,-8.633865323875886,11.173080556573868
,,0.5,0.004930974254387083,-8.524535208603864e-05,0.8040088215324335,-0.009921666656099636,17.38684477884329,0.004930973744792423,-8.503402870110788e-05,0.8047074125434467,-0.009035811560990085,17.38683749131408,0.0049314620058581475,-0.0004005411140185075,0.1442966846640289,-4.962424184213286,17.426842845023955,0.004931256881567392,-0.00031801145263278503,0.17044455363124938,-4.659722092315056,17.40382331249611,0.0049318529140980295,-0.000653285904037173,0.05873037119350911,-8.940039356408183,17.496092362304463,0.004931652198332272,-0.0005762361062264796,0.06661543859759382,-8.69580147483042,17.473089362425704
,,0.1,0.009855313190344484,-0.00034066804332801785,0.8023124884173972,-0.009921717688448321,23.75081012813556,0.009855308949654074,-0.0003397311469111765,0.8031605122269382,-0.00914088764284585,23.750873983431962,0.009858769587289243,-0.0015069428061671422,0.08015397512199,-4.965774993951158,23.724399235288132,0.009857011850581947,-0.0011326933031847927,0.09677638432969135,-4.70155630894835,23.70418382815869,0.009861538141564576,-0.0024418715386401264,0.023527629037431337,-8.94467232521647,23.785079645081918,0.00985972401527778,-0.0020783304082225835,0.027455105359520324,-8.731663509777826,23.76238745234097
,,,0.014766384771216345,-0.0007657230269046441,0.8006173413217949,-0.009921768926096577,30.11460851568122,0.014766370636029397,-0.0007635500595185058,0.8015953817344378,-0.009214168044088434,30.11475869773932,0.014777114742005463,-0.0031889126398668326,0.04602471984984364,-4.9678287954089555,30.015541564695333,0.01477117253420606,-0.002307547891925675,0.05661978232559902,-4.730364637069034,29.99708978346155,0.014785704732862441,-0.005131517139998012,0.009572251682014839,-8.946586402492246,30.070627067035854,0.014779408129681301,-0.004251539832348489,0.011561444383969123,-8.755235533667573,30.04696928602676
,,,0.01965757900555222,-0.0013595389071485281,0.7989288918715896,-0.009921819630697637,36.47824095994154,0.019657548569965114,-0.0013558368026270417,0.8000235235158725,-0.009269058197705701,36.478490851403706,0.019679819901944992,-0.005372600023856451,0.027033336198026083,-4.969086911682681,36.303281927063466,0.019666859815654192,-0.0038619413736583385,0.03388203103526111,-4.751606089281992,36.28587746553648,0.019697604999152764,-0.00858999950905984,0.003920245777359349,-8.947375179792468,36.354775675866875,0.019683485438869424,-0.007062619510206341,0.004958797583001483,-8.772158816480843,36.328562817468786
,,,0.02452231703197284,-0.0021210738731231352,0.7972470219484679,-0.009921869817328684,42.84170787191163,0.024522263125587043,-0.002115528695234024,0.7984481360322323,-0.009312175296503385,42.84206955977085,0.02456100241975841,-0.007976780751326365,0.016105468945708315,-4.969858021604592,42.58916035586065,0.024537944033863175,-0.0057050894162428934,0.02059914091416335,-4.768034075473171,42.57229147556361,0.0245918816267746,-0.01267189034701141,0.0016088690363215115,-8.94770009179769,42.63835482699547,0.02456644422795172,-0.010356934979679924,0.0021829678845804164,-8.785096249173975,42.60675319781819
,,,0.029354056565589568,-0.0030490919420332442,0.7955716151402298,-0.009921919500734814,49.20500961635659,0.029353971562033676,-0.0030415375348362412,0.7968712393786744,-0.009347216728254929,49.205494212652056,0.029413775492673575,-0.01094768426168109,0.009684313041830723,-4.970329718580452,48.87395388130415,0.029377284127537793,-0.007843519958217826,0.012661565485320101,-4.781200674935865,48.85726449391463,0.029461342041686232,-0.017281425050314304,0.0006583298853485019,-8.947834134437649,48.92168853009041,0.029420721896599854,-0.01409815888671974,0.0010042177647913207,-8.795435148095494,48.8790970050895
,,,0.034146305430215906,-0.0041421212358502,0.7939025565807216,-0.009921968695538253,55.56814651609538,0.03414618313457497,-0.004132380185766483,0.7952941907459883,-0.00937643336266498,55.56876436564475,0.034231630875382536,-0.014237227707034842,0.005857625599329075,-4.97061801968229,55.15810527837829,0.03417904866146202,-0.010228988171480036,0.007844914685756212,-4.792050253292769,55.141298747525134,0.034299424529791525,-0.022333236455224708,0.00026291081461343865,-8.947890015143813,55.20485665444489,0.03424053312377286,-0.018210031210265765,0.0004947444511306642,-8.803959562010778,55.140027281943624
,,,0.038892629618706515,-0.005398470262171403,0.7923252050054318,-0.009922005977929473,61.931118856120875,0.038892463081398196,-0.00538646916826737,0.7938430524819445,-0.009401268967127587,61.931879679387364,0.03900773655641354,-0.017810194959724863,0.0035559545445762036,-4.9707941732932435,61.44187354464331,0.03893613828419365,-0.012865862583958533,0.004891643432617653,-4.801190795154353,61.424657802519135,0.039098934223212964,-0.02776532721627594,8.88836779293863e-05,-8.947914634475303,61.48761974875475,0.03901855461813072,-0.022666482150231294,0.0002623631359497285,-8.81115215184137,61.38014737706873
,,,0.043586664005296545,-0.006816215943128698,0.7907744769255192,-0.009922040057211704,68.29391827896036,0.04358644833155663,-0.006801870103670086,0.7923417949870305,-0.009422739466791012,68.29482718000709,0.043735500606804464,-0.021637041021149217,0.002163446331966036,-4.970901785959901,67.72541071458964,0.043642826996041814,-0.015725535416493994,0.003068069711403274,-4.8090311322676556,67.70744592120556,0.043853049408941316,-0.033526079650178106,-1.0384317665731345e-05,-8.94792846982229,67.76904231441853,0.04374883516347267,-0.027425772884914545,0.00013551128948043764,-8.817369397571442,67.60118664575639
