x,z,xdot,zdot,t,z_0,St,beta,history,h,A,wavelength,k,omega,Fr,U,general_Re_p,Re_p,num_periods,delta_t
0.0,0.0,1.0,0.0,0.0,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,0.0,5,0.005
0.004999974742135924,-0.0007795743181057396,0.999983316216155,-0.31126588850338904,0.005,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,18.544048922547677,5,0.005
0.009999744748159789,-0.0031084218216803385,0.9999139480343362,-0.6199107409239789,0.01,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,36.92730757786483,5,0.005
0.014999031308714477,-0.006974127165512543,0.9997776344900218,-0.9265514778449386,0.015,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,55.20583689860472,5,0.005
0.0199974392277986,-0.012369311156415406,0.9995496747077863,-1.2314043782753625,0.02,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,73.40840166725738,5,0.005
0.02499442677221961,-0.019284740639512993,0.9992151420867256,-1.5345967695170206,0.025,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,91.55721067222242,5,0.005
0.029989444124353035,-0.02771224607105898,0.9987609374129343,-1.8362123664323617,0.03,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,109.67084769727758,5,0.005
0.034981863982956704,-0.037644061907329315,0.9981755881413229,-2.1363111992139956,0.035,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,127.76547968108423,5,0.005
0.03997100533257217,-0.04907270506007483,0.9974491321600275,-2.434938234627068,0.04,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,145.8553279719916,5,0.005
0.04495614088110723,-0.061990897577225014,0.9965730492329297,-2.7321281708535468,0.045,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,163.95289661703546,5,0.005
0.04993650419715038,-0.07639151931542021,0.9955402174086488,-3.0279083298519294,0.05,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,182.06908916700792,5,0.005
0.05491129664443046,-0.09226757432628395,0.9943448779114834,-3.3223005452910925,0.055,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,200.21327487905103,5,0.005
0.05987969412759312,-0.10961216604225561,0.9929826020393118,-3.6153224688108683,0.06,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,218.39333297257303,5,0.005
0.06484085366399465,-0.12841847842027734,0.9914502560020693,-3.9069885175830996,0.065,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,236.61568981471734,5,0.005
0.069793919766068,-0.14867976139106603,0.9897459614488084,-4.1973105885491275,0.07,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,254.88535702892503,5,0.005
0.07473803061085385,-0.1703893195574638,0.9878690504704493,-4.486298613873491,0.075,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,273.20597481473897,5,0.005
0.0796723239682079,-0.19354050342838872,0.9858200145396852,-4.7739610039244305,0.08,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,291.579862621769,5,0.005
0.08459594285742858,-0.21812670268298526,0.9836004473030739,-5.060305007628909,0.085,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,310.00807801019477,5,0.005
0.08950804090229858,-0.2441413410921692,0.9812129814573542,-5.345337010049669,0.09,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,328.49048369882803,5,0.005
0.09440778735620207,-0.2715778728124617,0.9786612201684569,-5.629062780750433,0.095,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,347.0258222643676,5,0.005
0.09929437177164883,-0.30042977982688246,0.9759496636543612,-5.91148768245961,0.1,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,365.611797609492,5,0.005
0.10416700829191623,-0.330690570349721,0.9730836316682829,-6.192616846864832,0.105,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,384.2451621025751,5,0.005
0.10902493954639249,-0.36235377804234165,0.9700691826970844,-6.472455322570134,0.11,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,402.9218081704417,5,0.005
0.11386744013539758,-0.3954129619096641,0.9669130307381664,-6.751008199020122,0.115,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,421.6368630727577,5,0.005
0.11869381969463337,-0.42986170676410773,0.9636224605415321,-7.028280709349761,0.12,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,440.3847855848563,5,0.005
0.12350342553385421,-0.46569362415726323,0.9602052422058149,-7.30427831453139,0.125,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,459.15946335212124,5,0.005
0.12829564484875425,-0.5029023536904825,0.9566695460009531,-7.579006770780885,0.13,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,477.9543097435778,5,0.005
0.1330699065093528,-0.5414815646247354,0.9530238582584776,-7.852472181897975,0.135,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,496.7623591172701,5,0.005
0.1378256824322523,-0.5814249577179922,0.949276899125312,-8.124681038013792,0.14,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,515.5763595090748,5,0.005
0.142562488547982,-0.6227262672254313,0.9454375429207877,-8.395640242075695,0.145,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,534.3888618647669,5,0.005
0.14727988537817596,-0.6653792630041856,0.9415147417712549,-8.665357125296685,0.15,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,553.1923050483268,5,0.005
0.15197747824052296,-0.7093777526703029,0.937517453124163,-8.933839452720983,0.155,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,571.9790959743796,5,0.005
0.15665491710223947,-0.7547155837612255,0.9334545716656493,-9.201095419999138,0.16,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,590.741684326689,5,0.005
0.16131189610523097,-0.8013866458624455,0.9293348660842611,-9.467133642418482,0.165,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,609.4726314357242,5,0.005
0.16594815278810948,-0.8493848726621304,0.9251669210401225,-9.731963137192844,0.17,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,628.1646729949182,5,0.005
0.17056346703181902,-0.8987042439024368,0.9209590846151641,-9.995593299975917,0.17500000000000002,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,646.8107753961499,5,0.005
0.17515765975678907,-0.9493387872009589,0.9167194214374206,-10.25803387652287,0.18,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,665.4041855593464,5,0.005
0.17973059140029685,-1.001282579720282,0.912455671592128,-10.519294930383431,0.185,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,683.9384742183191,5,0.005
0.18428216020308685,-1.0545297496679207,0.9081752153555893,-10.779386807465565,0.19,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,702.4075727046387,5,0.005
0.1888123003342917,-1.1090744776129988,0.9038850437155088,-11.038320098261723,0.195,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,720.8058033432998,5,0.005
0.19332097988334498,-1.1649109976098688,0.8995917345745662,-11.296105598479283,0.2,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,739.1279036380544,5,0.005
0.19780819874690533,-1.222033598122437,0.8953014344730893,-11.552754268763405,0.20500000000000002,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,757.3690444806292,5,0.005
0.2022739864378493,-1.2804366227462698,0.891019845612312,-11.808277194144596,0.21,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,775.5248426667132,5,0.005
0.20671839984217705,-1.3401144707285646,0.886752217912247,-12.062685543785124,0.215,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,793.5913680427724,5,0.005
0.2111415209482396,-1.4010615972887985,0.8825033457978746,-12.315990531538917,0.22,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,811.5651456416749,5,0.005
0.2155434545710799,-1.4632725137452802,0.8782775693742312,-12.568203377779243,0.225,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,829.4431531920493,5,0.005
0.2199243260929143,-1.5267417874549576,0.8740787796250332,-12.81933527288801,0.23,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,847.222814406586,5,0.005
0.2242842792389049,-1.5914640415756454,0.8699104272505163,-13.069397342740778,0.23500000000000001,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,864.901988468461,5,0.005
0.22862347390541843,-1.6574339546613646,0.865775534747937,-13.318400616463054,0.24,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,882.4789561430738,5,0.005
0.2329420840559682,-1.7246462601027137,0.8616767113323222,-13.56635599667682,0.245,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,899.952402944759,5,0.005
0.23724029569802194,-1.7930957454251562,0.8576161702951014,-13.813274232402206,0.25,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,917.3213997854574,5,0.005
0.24151830495185939,-1.8627772514587966,0.853595748403737,-14.059165894728038,0.255,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,934.5853815249312,5,0.005
0.24577631622070353,-1.933685671393669,0.8496169269558173,-14.304041355317416,0.26,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,951.7441238304622,5,0.005
0.2500145404694533,-2.0058159497347785,0.8456808541157208,-14.547910767770388,0.265,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,968.7977187384914,5,0.005
0.25423319361753133,-2.0791630811711452,0.8417883681802937,-14.790784051826,0.27,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,985.7465492918599,5,0.005
0.2584324950496456,-2.1537221093729197,0.8379400214414033,-15.032670880350269,0.275,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,1002.5912636046162,5,0.005
0.26261266624666485,-2.2294881257302914,0.8341361043371304,-15.273580669025185,0.28,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,1019.3327486822828,5,0.005
0.2667739295373286,-2.3064562680474183,0.830376669609158,-15.513522568626861,0.28500000000000003,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,1035.9721042994674,5,0.005
0.2709165069701717,-2.3846217192039876,0.826661556211044,-15.75250545975816,0.29,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,1052.510617209241,5,0.005
0.27504061930383555,-2.4639797057962936,0.822990412739987,-15.990537949882595,0.295,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,1068.9497359302288,5,0.005
0.27914648511287254,-2.54452549676892,0.8193627201929374,-16.22762837249182,0.3,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,1085.2910463283242,5,0.005
0.28323432000522797,-2.6262544020472456,0.8157778138759905,-16.46378478822835,0.305,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,1101.5362481807335,5,0.005
0.28730433594679494,-2.709161771180077,0.8122349043235563,-16.69901498777804,0.31,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,1117.6871328810998,5,0.005
0.29135674068779105,-2.7932429920007857,0.8087330971104523,-16.933326496343362,0.315,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,1133.7455624160948,5,0.005
0.29539173728518414,-2.878493489314365,0.8052714114655222,-17.166726579507415,0.32,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,1149.713449716405,5,0.005
0.2994095237149998,-2.964908723616893,0.8018487976193901,-17.399222250301033,0.325,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,1165.5927404588383,5,0.005
0.30341029256806223,-3.052484189852944,0.7984641528413206,-17.630820277289487,0.33,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,1181.385396371478,5,0.005
0.3073942308225488,-3.1412154162156014,0.7951163361407041,-17.86152719350185,0.335,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,1197.0933800707455,5,0.005
0.31136151968666215,-3.231097962992858,0.7918041816273328,-18.091349306034203,0.34,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,1212.718641437966,5,0.005
0.31531233450473883,-3.32212742146336,0.7885265105412947,-18.320292706167624,0.34500000000000003,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,1228.2631055237841,5,0.005
0.3192468447202038,-3.4142994128437003,0.7852821419779787,-18.548363279852456,0.35000000000000003,0,0.01,0.01,True,10,0.02,1,6.283185307179586,7.8496496222858685,0.12566370614359174,0.15699299244571738,67.06353659131325,1243.7286619515387,5,0.005
