x,z,x_crossings,z_crossings,St,beta
0.0,0.0,0.0324371564250103,-1.73636531941387,0.1714205741882324,0.83
0.004997739493276879,-0.00041470261335630246,0.03934965867257239,-5.983739464600502,0.1714205741882324,0.83
0.009981900667025699,-0.001652425552026859,,,0.1714205741882324,0.83
0.014938890453706874,-0.0037032734992816342,,,0.1714205741882324,0.83
0.019855183233580896,-0.006556021948951292,,,0.1714205741882324,0.83
0.024717353658041844,-0.010198941624293469,,,0.1714205741882324,0.83
0.029512202961732247,-0.01461956385857167,,,0.1714205741882324,0.83
0.03422679259891493,-0.01980467944815013,,,0.1714205741882324,0.83
0.0388485184099373,-0.02574036490370367,,,0.1714205741882324,0.83
0.04336517408902026,-0.032412009908433945,,,0.1714205741882324,0.83
0.04776501196337503,-0.039804349761987406,,,0.1714205741882324,0.83
0.05203680022821248,-0.04790150229799017,,,0.1714205741882324,0.83
0.05616987636366757,-0.056687008956510396,,,0.1714205741882324,0.83
0.06015419643111189,-0.06614387964543961,,,0.1714205741882324,0.83
0.0639803799881678,-0.07625464100497172,,,0.1714205741882324,0.83
0.06763975040073725,-0.08700138767268926,,,0.1714205741882324,0.83
0.07112437037044136,-0.09836583613382063,,,0.1714205741882324,0.83
0.07442707253622663,-0.11032938073202318,,,0.1714205741882324,0.83
0.07754148504918987,-0.122873151410529,,,0.1714205741882324,0.83
0.08046205205954787,-0.13597807275159102,,,0.1714205741882324,0.83
0.08318404909379913,-0.14962492388379686,,,0.1714205741882324,0.83
0.08570359333817362,-0.16379439883183966,,,0.1714205741882324,0.83
0.08801764888115546,-0.17846716689160022,,,0.1714205741882324,0.83
0.09012402700292274,-0.1936239326247222,,,0.1714205741882324,0.83
0.09202138163274022,-0.20924549508104906,,,0.1714205741882324,0.83
0.09370920012644875,-0.22531280587411895,,,0.1714205741882324,0.83
0.09518778954503773,-0.24180702575414245,,,0.1714205741882324,0.83
0.09645825864170576,-0.25870957934427,,,0.1714205741882324,0.83
0.09752249578868315,-0.27600220772922496,,,0.1714205741882324,0.83
0.09838314309631094,-0.2936670186102706,,,0.1714205741882324,0.83
0.099043566995373,-0.3116865337667192,,,0.1714205741882324,0.83
0.09950782556941955,-0.3300437335915027,,,0.1714205741882324,0.83
0.09978063293678643,-0.3487220984964406,,,0.1714205741882324,0.83
0.09986732099221446,-0.36770564701148295,,,0.1714205741882324,0.83
0.09977379882544167,-0.3869789704311243,,,0.1714205741882324,0.83
0.09950651013893547,-0.40652726389011645,,,0.1714205741882324,0.83
0.09907238898912867,-0.4263363537793191,,,0.1714205741882324,0.83
0.09847881417522081,-0.4463927214407843,,,0.1714205741882324,0.83
0.09773356259691775,-0.4666835231087675,,,0.1714205741882324,0.83
0.09684476189753656,-0.4871966060900909,,,0.1714205741882324,0.83
0.09582084270184386,-0.5079205212029788,,,0.1714205741882324,0.83
0.09467049074897392,-0.5288445315179777,,,0.1714205741882324,0.83
0.09340259920995327,-0.5499586174677242,,,0.1714205741882324,0.83
0.09202622146690989,-0.571253478414005,,,0.1714205741882324,0.83
0.09055052461713992,-0.5927205307806673,,,0.1714205741882324,0.83
0.0889847439500238,-0.614351902879395,,,0.1714205741882324,0.83
0.08733813862850377,-0.636140426572098,,,0.1714205741882324,0.83
0.08561994878963436,-0.6580796259286343,,,0.1714205741882324,0.83
0.08383935426077554,-0.6801637030517448,,,0.1714205741882324,0.83
0.08200543506948592,-0.7023875212524385,,,0.1714205741882324,0.83
0.08012713390626001,-0.7247465857686096,,,0.1714205741882324,0.83
0.07821322068010345,-0.7472370222274174,,,0.1714205741882324,0.83
0.0762722592877063,-0.7698555530579542,,,0.1714205741882324,0.83
0.07431257669780755,-0.7925994720649984,,,0.1714205741882324,0.83
0.07234223443338143,-0.8154666173772657,,,0.1714205741882324,0.83
0.07036900251564737,-0.8384553429845903,,,0.1714205741882324,0.83
0.06840033591573288,-0.8615644890779701,,,0.1714205741882324,0.83
0.0664433535422078,-0.8847933514044715,,,0.1714205741882324,0.83
0.06450481977576113,-0.9081416498457128,,,0.1714205741882324,0.83
0.06259112854609582,-0.9316094964241097,,,0.1714205741882324,0.83
0.060708289930746846,-0.9551973629353843,,,0.1714205741882324,0.83
0.058861919241053884,-0.9789060483991077,,,0.1714205741882324,0.83
0.057057228546994326,-1.0027366465113723,,,0.1714205741882324,0.83
0.05529902058005222,-1.0266905132751758,,,0.1714205741882324,0.83
0.05359168494179774,-1.0507692349748559,,,0.1714205741882324,0.83
0.05193919653540599,-1.0749745966510489,,,0.1714205741882324,0.83
0.05034511612796857,-1.0993085512222502,,,0.1714205741882324,0.83
0.048812592943152634,-1.1237731893882474,,,0.1714205741882324,0.83
0.047344369176539426,-1.1483707104395648,,,0.1714205741882324,0.83
0.04594278631981743,-1.1731033940857032,,,0.1714205741882324,0.83
0.044609793174896606,-1.1979735734034622,,,0.1714205741882324,0.83
0.04334695543492824,-1.2229836089951007,,,0.1714205741882324,0.83
0.04215546670612739,-1.24813586443458,,,0.1714205741882324,0.83
0.041036160842169205,-1.2734326830687444,,,0.1714205741882324,0.83
0.039989525461724525,-1.298876366229081,,,0.1714205741882324,0.83
0.0390157165193715,-1.3244691528987347,,,0.1714205741882324,0.83
0.038114573800619764,-1.3502132008687986,,,0.1714205741882324,0.83
0.03728563721306166,-1.3761105694076041,,,0.1714205741882324,0.83
0.0365281637476681,-1.4021632034568483,,,0.1714205741882324,0.83
0.0358411449869191,-1.4283729193589572,,,0.1714205741882324,0.83
0.03522332503974547,-1.4547413921111396,,,0.1714205741882324,0.83
