x,z,shear,x_0,z_0,St,beta,history,shear_difference
0.3,-0.2,1.5694900365882918,0.3,-0.2,0.01,0.987,False,-0.00946
0.4411457310180756,-0.2437056707646461,1.5191276735304775,0.3,-0.2,0.01,0.987,False,-0.00946
0.5783684586121826,-0.2915135555403703,1.8060723397789988,0.3,-0.2,0.01,0.987,False,-0.00946
0.3,-0.2,1.7274913834982448,0.3,-0.2,0.1,0.987,False,0.18859
0.4223689549754979,-0.5112546517408639,1.5926285635192918,0.3,-0.2,0.1,0.987,False,0.18859
0.4972143653763292,-0.8294328453960602,2.0860678283968737,0.3,-0.2,0.1,0.987,False,0.18859
0.3,-0.2,2.1579569056510257,0.3,-0.2,0.01,0.8,False,0.25888
0.4074240042339842,-0.8047767661870905,1.9392036680402578,0.3,-0.2,0.01,0.8,False,0.25888
0.4499433661865737,-1.387727401988479,3.1034858309865903,0.3,-0.2,0.01,0.8,False,0.25888
0.3,-0.2,1.693470544911149,0.3,-0.2,0.01,0.9,False,0.05967
0.4237774994815326,-0.4785404607158955,1.5554076066282416,0.3,-0.2,0.01,0.9,False,0.05967
0.5043807254380742,-0.7496030649552468,1.9859905524873913,0.3,-0.2,0.01,0.9,False,0.05967
0.3,-0.2,1.5705078646458082,0.3,-0.2,0.01,0.987,True,-0.00946
0.4416617977889744,-0.2392690762648178,1.5233145244270314,0.3,-0.2,0.01,0.987,True,-0.00946
0.5801676286627784,-0.2851385592622905,1.815528212037471,0.3,-0.2,0.01,0.987,True,-0.00946
0.3,-0.2,1.6349009719967034,0.3,-0.2,0.1,0.987,True,0.18859
0.4310280597643636,-0.4091330946391376,1.5512777302852079,0.3,-0.2,0.1,0.987,True,0.18859
0.5237549247162293,-0.6684520688430013,1.8974817391892007,0.3,-0.2,0.1,0.987,True,0.18859
0.3,-0.2,2.0178681584599683,0.3,-0.2,0.01,0.8,True,0.25888
0.4124249545085602,-0.7239862412966667,1.8721550614751215,0.3,-0.2,0.01,0.8,True,0.25888
0.4611793106559135,-1.2716763914599745,2.8446074725684793,0.3,-0.2,0.01,0.8,True,0.25888
0.3,-0.2,1.660011145042283,0.3,-0.2,0.01,0.9,True,0.05967
0.427076167968423,-0.4418429762900355,1.5456669645371233,0.3,-0.2,0.01,0.9,True,0.05967
0.5136827623292104,-0.6968483702825518,1.9263206277316893,0.3,-0.2,0.01,0.9,True,0.05967
0.287,-0.15,1.6746332737962417,0.287,-0.15,0.01,0.987,False,-0.02065
0.4412898776412516,-0.194975387131903,1.578041819407111,0.287,-0.15,0.01,0.987,False,-0.02065
0.5915960178999158,-0.2447660518965045,2.0031743359239846,0.287,-0.15,0.01,0.987,False,-0.02065
0.287,-0.15,1.7647520617784669,0.287,-0.15,0.1,0.987,False,0.17675
0.4202532955955271,-0.4635777047257182,1.5980244849387895,0.287,-0.15,0.1,0.987,False,0.17675
0.5017546973799378,-0.7832366602588793,2.1165430860546097,0.287,-0.15,0.1,0.987,False,0.17675
0.287,-0.15,2.1933356028760262,0.287,-0.15,0.01,0.8,False,0.26264
0.4033648988520075,-0.7578421523000585,1.9450303372816655,0.287,-0.15,0.01,0.8,False,0.26264
0.4492769042000537,-1.342078668595901,3.1303909275215496,0.287,-0.15,0.01,0.8,False,0.26264
0.287,-0.15,1.7322608238873212,0.287,-0.15,0.01,0.9,False,0.05555
0.4218327815589259,-0.4306699177019284,1.561930569254379,0.287,-0.15,0.01,0.9,False,0.05555
0.5097111588039852,-0.7032131532810768,2.0208665730248843,0.287,-0.15,0.01,0.9,False,0.05555
0.287,-0.15,1.6804073816930505,0.287,-0.15,0.01,0.987,True,-0.02065
0.4418628363538504,-0.1905170573485462,1.586461638375073,0.287,-0.15,0.01,0.987,True,-0.02065
0.5935834528202625,-0.2383835014962476,2.023826083192577,0.287,-0.15,0.01,0.987,True,-0.02065
0.287,-0.15,1.6804567598125055,0.287,-0.15,0.1,0.987,True,0.17675
0.4299077642851256,-0.3610012358861413,1.5601600688581863,0.287,-0.15,0.1,0.987,True,0.17675
0.5310876360092924,-0.6219292904118888,1.9397904391970109,0.287,-0.15,0.1,0.987,True,0.17675
0.287,-0.15,2.051810535777966,0.287,-0.15,0.01,0.8,True,0.26264
0.4089670306520195,-0.6768051524528557,1.8763694110561462,0.287,-0.15,0.01,0.8,True,0.26264
0.4617184560493848,-1.225833014211463,2.8677536187354,0.287,-0.15,0.01,0.8,True,0.26264
0.287,-0.15,1.7016804107094108,0.287,-0.15,0.01,0.9,True,0.05555
0.4255070952637169,-0.3938236291220172,1.5533655101105723,0.287,-0.15,0.01,0.9,True,0.05555
0.5199886322750905,-0.6503439491856357,1.965321137746764,0.287,-0.15,0.01,0.9,True,0.05555
0.25,-0.113,1.8236050189667654,0.25,-0.113,0.01,0.987,False,-0.03586
0.4139806273749488,-0.1581951620369316,1.6530679382231903,0.25,-0.113,0.01,0.987,False,-0.03586
0.5738143945698001,-0.2090195271297039,2.2391338031934627,0.25,-0.113,0.01,0.987,False,-0.03586
0.25,-0.113,1.8325785307049205,0.25,-0.113,0.1,0.987,False,0.18746
0.3905738922827208,-0.4280159571593341,1.620839146424843,0.25,-0.113,0.1,0.987,False,0.18746
0.4765041639589571,-0.7488873655802306,2.2005630103245912,0.25,-0.113,0.1,0.987,False,0.18746
0.25,-0.113,2.313572130053176,0.25,-0.113,0.01,0.8,False,0.29439
0.3717314867864855,-0.723287789050423,2.0133801871918426,0.25,-0.113,0.01,0.8,False,0.29439
0.4195209864830314,-1.3087935066901497,3.3190549312639903,0.25,-0.113,0.01,0.8,False,0.29439
0.25,-0.113,1.7976498144809219,0.25,-0.113,0.01,0.9,False,0.05871
0.3923942040132414,-0.3949582623693509,1.5811894850462398,0.25,-0.113,0.01,0.9,False,0.05871
0.4852050844473468,-0.6686473115388105,2.098359169444605,0.25,-0.113,0.01,0.9,False,0.05871
