t,x,z,xdot,zdot,x_crossings,z_crossings
0.0,0.0,0.0,1.0,0.0,-0.04690878315421574,-0.11471778117108669
0.005,0.004997333914033885,-0.0001847494262056812,0.9983958118557152,-0.07148431455085118,-0.008952177327958754,-0.1653132102251924
0.01,0.00997855484946252,-0.0007036027905549865,0.9935519169900212,-0.1353792157901027,0.025497038783143054,-0.21818999429888464
0.015,0.014927455308245454,-0.0015244248448711296,0.9854713036943223,-0.19664781514043259,0.05666616205838167,-0.27214681975305655
0.02,0.019827867130081975,-0.002655363956680531,0.9741882472383224,-0.25483807864984515,0.08479115438412616,-0.326766656849506
0.025,0.024663928968549628,-0.0040686168090347105,0.9597229552640765,-0.31199481258707573,0.1101348150194189,-0.3818457788118164
0.03,0.029419750857604718,-0.005769329520204453,0.9421546248547411,-0.36682198823889217,0.13296825057091458,-0.437266520827215
0.035,0.03408013849244865,-0.007735654154100509,0.9215161953153387,-0.4206101997704739,0.1535730489584583,-0.4929536602845753
0.04,0.03862972735532253,-0.009971011173198012,0.8979171761517395,-0.47213620286761404,0.1721140417648122,-0.5488569762743224
0.045,0.04305414779312182,-0.012455794261040511,0.8714058698660081,-0.5223596811731884,0.1888423557326819,-0.60493905318227
0.05,0.04733883161189976,-0.015190437769354628,0.8421164468860467,-0.5702253958180918,,
0.055,0.05147040254576711,-0.018156317027430948,0.8101147212657624,-0.6164706808688413,,
0.06,0.05543532120754454,-0.021350907749414207,0.7755551348487313,-0.6602043717933598,,
0.065,0.05922136903908573,-0.024756031347929322,0.7385219400334714,-0.7019993898409502,,
0.07,0.0628162424013853,-0.028366476940426114,0.6991861639565894,-0.7411109716051726,,
0.075,0.06620903673668099,-0.03216422026060552,0.6576503696983135,-0.7779875087176785,,
0.08,0.06938886572831564,-0.03614169280395076,0.614098959537153,-0.8120116419422279,,
0.085,0.07234628280080083,-0.04028086883862337,0.568651838185891,-0.8435372509861774,,
0.09,0.07507197479003942,-0.04457216385745455,0.5215038920605217,-0.8720571051449659,,
0.095,0.07755808100008255,-0.04899748702923227,0.4727907412238911,-0.8978540801240338,,
0.1,0.07979699098596196,-0.053545577202342355,0.42271506928190683,-0.9205161925931378,,
0.105,0.08178253856688038,-0.058198282482918376,0.3714260838849254,-0.9402740395825127,,
0.11,0.08350891878644798,-0.06294299674522161,0.31913170201818764,-0.9567983317566805,,
0.115,0.08497174676589342,-0.06776156256190875,0.26599222118550164,-0.9702823842993727,,
0.12,0.08616709854689349,-0.07264035078219677,0.21221829803975778,-0.980469084862857,,
0.125,0.08709243347440905,-0.07756129347462976,0.1579785633792709,-0.9875264588609937,,
0.13,0.08774575651399848,-0.08251004977358559,0.10348395941060867,-0.9912607513150617,,
0.135,0.0881264088234045,-0.08746876617474593,0.048908529154674946,-0.9918242204602731,,
0.14,0.08823434450543956,-0.09242269006801687,-0.005538926670371431,-0.9890790233302141,,
0.145,0.08807079784592277,-0.09735432913710265,-0.05968195789664048,-0.9831691185871321,,
0.15,0.08763766469628802,-0.10224880682732014,-0.11331630374172283,-0.9740062185624734,,
0.155,0.0869380570741775,-0.10708915359656758,-0.16626612676008545,-0.9617317255055532,,
0.16,0.0859757779720535,-0.11186064350596917,-0.21833406376644524,-0.9463013961776123,,
0.165,0.08475577507323037,-0.11654700000463941,-0.26934786478680367,-0.92785836409384,,
0.17,0.08328369736338297,-0.12113390778082453,-0.31911936114684075,-0.906397564265003,,
0.17500000000000002,0.08156625995145768,-0.1256059565864419,-0.36748276779832745,-0.8820669159472676,,
0.18,0.07961087111606346,-0.12994948569436537,-0.4142613214831023,-0.8548961477288298,,
0.185,0.07742591990145,-0.13415012259600365,-0.4592984366298026,-0.8250399720426363,,
0.19,0.07502046292738855,-0.13819508741811018,-0.5024308518257625,-0.7925588782773904,,
0.195,0.07240444575516722,-0.14207121049575266,-0.5435137327316766,-0.75761549033784,,
0.2,0.06958843975234831,-0.1457667996980632,-0.5823992718221624,-0.7202972770556207,,
0.20500000000000002,0.06658380734096009,-0.1492700429973385,-0.6189567201822225,-0.680775138579406,,
0.21,0.06340248030817054,-0.15257052183322417,-0.6530555019425753,-0.6391599177623732,,
0.215,0.0600570780661395,-0.15565792278178342,-0.6845810402169097,-0.5956305202166324,,
0.22,0.056560719943298324,-0.15852326402081743,-0.7134215656451177,-0.5503176790885895,,
0.225,0.05292710457826498,-0.16115785480597714,-0.7394804868764314,-0.5034075030506034,,
