t,u_d_0.1,w_d_0.1,settling_velocity_0.1,u_d_0.5,w_d_0.5,settling_velocity_0.5,u_d_0.9,w_d_0.9,settling_velocity_0.9,u_d_1,w_d_1,settling_velocity_1
72.45226601369858,1.575008623459056e-10,-1.12442967298976,-1.1244296729442407,1.4246950321870112e-06,-0.6246833781039169,-0.6246831516356893,0.012885984453687922,-0.12534225005104105,-0.12493663032713782,0.12566370614359174,-0.0,-0.0
72.53076250992143,1.5404547077899394e-10,-1.1244296729887615,-1.1244296729442407,1.4072449100525742e-06,-0.6246833753300614,-0.6246831516356893,0.01285426231856628,-0.12534125151470601,-0.12493663032713782,0.12566370614359174,-0.0,-0.0
72.60925900614428,1.506658866121362e-10,-1.1244296729877845,-1.1244296729442407,1.3900085226161792e-06,-0.6246833725901808,-0.6246831516356893,0.012822618275565587,-0.12534025543652266,-0.12493663032713782,0.12566370614359174,-0.0,-0.0
72.68775550236714,1.4736044671633757e-10,-1.1244296729868293,-1.1244296729442407,1.3729832519866307e-06,-0.6246833698838593,-0.6246831516356893,0.012791052132442204,-0.12533926181043967,-0.12493663032713782,0.12566370614359174,-0.0,-0.0
72.76625199859,1.4412752444978033e-10,-1.1244296729858951,-1.1244296729442407,1.3561665123374945e-06,-0.6246833672106857,-0.6246831516356893,0.012759563697425723,-0.12533827063042052,-0.12493663032713782,0.12566370614359174,-0.0,-0.0
72.84474849481285,1.4096552885733797e-10,-1.1244296729849814,-1.1244296729442407,1.3395557495143861e-06,-0.6246833645702539,-0.6246831516356893,0.012728152779217827,-0.12533728189044363,-0.12493663032713782,0.12566370614359174,-0.0,-0.0
72.92324499103573,1.3787290388764556e-10,-1.1244296729840875,-1.1244296729442407,1.3231484406470045e-06,-0.624683361962163,-0.6246831516356893,0.012696819186991129,-0.1253362955845022,-0.12493663032713782,0.12566370614359174,-0.0,-0.0
73.00174148725858,1.3484812762735672e-10,-1.124429672983213,-1.1244296729442407,1.3069420937659904e-06,-0.6246833593860168,-0.6246831516356893,0.012665562730388033,-0.12533531170660425,-0.12493663032713782,0.12566370614359174,-0.0,-0.0
73.08023798348144,1.3188971155218593e-10,-1.1244296729823582,-1.1244296729442407,1.2909342474244165e-06,-0.6246833568414242,-0.6246831516356893,0.012634383219519535,-0.12533433025077248,-0.12493663032713782,0.12566370614359174,-0.0,-0.0
73.1587344797043,1.289961997943962e-10,-1.124429672981522,-1.1244296729442407,1.2751224703239497e-06,-0.6246833543279983,-0.6246831516356893,0.0126032804649641,-0.1253333512110444,-0.12493663032713782,0.12566370614359174,-0.0,-0.0
