z_bar,u_bar,St,beta,history
-0.3010033444816053,0.5772866382257041,0.01,0.99,False
-0.33444816053511706,0.5400022298397623,0.01,0.99,False
-0.36789297658862874,0.5051565892445633,0.01,0.99,False
-0.4013377926421404,0.47259019698962773,0.01,0.99,False
-0.43478260869565216,0.4421539677687924,0.01,0.99,False
-0.46822742474916385,0.4137085679243305,0.01,0.99,False
-0.5016722408026756,0.38712377759302974,0.01,0.99,False
-0.5351170568561873,0.3622778945742041,0.01,0.99,False
-0.568561872909699,0.33905717719061274,0.01,0.99,False
-0.6020066889632106,0.3173553235917662,0.01,0.99,False
-0.6354515050167224,0.2970729851159284,0.01,0.99,False
-0.6688963210702341,0.2781173114830405,0.01,0.99,False
-0.7023411371237458,0.26040152573650954,0.01,0.99,False
-0.7357859531772575,0.24384452698799444,0.01,0.99,False
-0.7692307692307692,0.22837051914659717,0.01,0.99,False
-0.8026755852842808,0.21390866393282557,0.01,0.99,False
-0.8361204013377926,0.20039275658886183,0.01,0.99,False
-0.8695652173913043,0.18776092280057646,0.01,0.99,False
-0.903010033444816,0.175955335443829,0.01,0.99,False
-0.9364548494983277,0.16492194985835298,0.01,0.99,False
-0.9698996655518394,0.15461025643733817,0.01,0.99,False
-1.0033444816053512,0.14497304940009187,0.01,0.99,False
-1.0367892976588629,0.1359662106892481,0.01,0.99,False
-1.0702341137123745,0.12754850800322867,0.01,0.99,False
-1.1036789297658862,0.11968140603937201,0.01,0.99,False
-1.137123745819398,0.1123288900836221,0.01,0.99,False
-1.1705685618729096,0.10545730113919002,0.01,0.99,False
-1.2040133779264213,0.09903518183942643,0.01,0.99,False
-1.237458193979933,0.09303313243951075,0.01,0.99,False
-1.2709030100334449,0.08742367622770311,0.01,0.99,False
-1.3043478260869565,0.08218113374002735,0.01,0.99,False
-1.3377926421404682,0.0772815052025529,0.01,0.99,False
-1.37123745819398,0.07270236066311077,0.01,0.99,False
-1.4046822742474916,0.06842273730947773,0.01,0.99,False
-1.4381270903010033,0.06442304350396341,0.01,0.99,False
-1.471571906354515,0.06068496909508136,0.01,0.99,False
-1.5050167224080266,0.05719140159572072,0.01,0.99,False
-1.5384615384615383,0.05392634784409166,0.01,0.99,False
-1.57190635451505,0.05087486078881707,0.01,0.99,False
-1.6053511705685617,0.0480229710630009,0.01,0.99,False
-1.6387959866220736,0.04535762303402692,0.01,0.99,False
-1.6722408026755853,0.0428666150363308,0.01,0.99,False
-1.705685618729097,0.040538543513538076,0.01,0.99,False
-1.7391304347826086,0.03836275081425681,0.01,0.99,False
-1.7725752508361203,0.03632927640253998,0.01,0.99,False
-1.806020066889632,0.034428811259664446,0.01,0.99,False
-1.8394648829431437,0.03265265526848303,0.01,0.99,False
-1.8729096989966554,0.03099267738526005,0.01,0.99,False
-1.906354515050167,0.029441278416661228,0.01,0.99,False
-1.9397993311036787,0.027991356231495474,0.01,0.99,False
-1.9732441471571907,0.026636273247951554,0.01,0.99,False
-2.0066889632107023,0.02536982604749,0.01,0.99,False
-2.040133779264214,0.02418621697628588,0.01,0.99,False
-2.0735785953177257,0.023080027604217238,0.01,0.99,False
-2.1070234113712374,0.022046193919897143,0.01,0.99,False
-2.140468227424749,0.021079983148195282,0.01,0.99,False
-2.1739130434782608,0.020176972084121964,0.01,0.99,False
-2.2073578595317724,0.019333026843889815,0.01,0.99,False
-2.240802675585284,0.01854428394045551,0.01,0.99,False
-2.274247491638796,0.017807132596907603,0.01,0.99,False
-2.3076923076923075,0.017118198216733195,0.01,0.99,False
-2.341137123745819,0.01647432693529198,0.01,0.99,False
-2.374581939799331,0.01587257118177625,0.01,0.99,False
-2.4080267558528425,0.015310176185560916,0.01,0.99,False
-2.441471571906354,0.014784567365171353,0.01,0.99,False
-2.474916387959866,0.014293338542136914,0.01,0.99,False
-2.508361204013378,0.01383424092577471,0.01,0.99,False
-2.5418060200668897,0.013405172818477036,0.01,0.99,False
-2.5752508361204014,0.013004169994374436,0.01,0.99,False
-2.608695652173913,0.012629396707329134,0.01,0.99,False
-2.6421404682274248,0.012279137287094209,0.01,0.99,False
-2.6755852842809364,0.011951788285166883,0.01,0.99,False
-2.709030100334448,0.01164585113438034,0.01,0.99,False
-2.74247491638796,0.011359925288630654,0.01,0.99,False
-2.7759197324414715,0.011092701811333146,0.01,0.99,False
-2.809364548494983,0.010842957383256894,0.01,0.99,False
-2.842809364548495,0.010609548702305962,0.01,0.99,False
-2.8762541806020065,0.010391407249610083,0.01,0.99,False
-2.9096989966555182,0.010187534397964642,0.01,0.99,False
-2.94314381270903,0.009996996840226858,0.01,0.99,False
-2.9765886287625416,0.009818922316739953,0.01,0.99,False
-3.0100334448160533,0.009652495622225855,0.01,0.99,False
-3.043478260869565,0.009496954873866497,0.01,0.99,False
-3.0769230769230766,0.009351588023489382,0.01,0.99,False
-3.1103678929765883,0.009215729597890573,0.01,0.99,False
-3.1438127090301,0.009088757652372707,0.01,0.99,False
-3.1772575250836117,0.008970090923551633,0.01,0.99,False
-3.2107023411371234,0.008859186168397565,0.01,0.99,False
-3.2441471571906355,0.008755535677329177,0.01,0.99,False
-3.277591973244147,0.008658664949975841,0.01,0.99,False
-3.311036789297659,0.008568130522967942,0.01,0.99,False
-3.3444816053511706,0.008483517939811088,0.01,0.99,False
-3.3779264214046822,0.008404439853550591,0.01,0.99,False
-3.411371237458194,0.00833053425354036,0.01,0.99,False
-3.4448160535117056,0.008261462808198611,0.01,0.99,False
-3.4782608695652173,0.008196909316163669,0.01,0.99,False
-3.511705685618729,0.008136578258759446,0.01,0.99,False
-3.5451505016722407,0.008080193447143969,0.01,0.99,False
-3.5785953177257523,0.008027496757947694,0.01,0.99,False
-3.612040133779264,0.007978246951613565,0.01,0.99,False
-3.6454849498327757,0.007932218568029252,0.01,0.99,False
-3.6789297658862874,0.007889200894395957,0.01,0.99,False
-3.712374581939799,0.007848997000608747,0.01,0.99,False
-3.7458193979933108,0.007811422837732534,0.01,0.99,False
-3.7792642140468224,0.007776306395446602,0.01,0.99,False
-3.812709030100334,0.007743486914600581,0.01,0.99,False
-3.846153846153846,0.0077128141512770075,0.01,0.99,False
-3.8795986622073575,0.007684147688991452,0.01,0.99,False
-3.913043478260869,0.007657356295881539,0.01,0.99,False
-3.9464882943143813,0.007632317323942138,0.01,0.99,False
-3.979933110367893,0.0076089161475565,0.01,0.99,False
-4.013377926421405,0.007587045638752979,0.01,0.99,False
-4.046822742474916,0.007566605676785151,0.01,0.99,False
-4.080267558528428,0.007547502689790216,0.01,0.99,False
-4.113712374581939,0.007529649226427465,0.01,0.99,False
-4.147157190635451,0.007512963555535807,0.01,0.99,False
-4.180602006688963,0.0074973692919776454,0.01,0.99,False
-4.214046822742475,0.00748279504695625,0.01,0.99,False
-4.247491638795986,0.0074691741012058175,0.01,0.99,False
-4.280936454849498,0.007456444099558124,0.01,0.99,False
-4.31438127090301,0.007444546765487535,0.01,0.99,False
-4.3478260869565215,0.007433427634327577,0.01,0.99,False
-4.381270903010034,0.007423035803937775,0.01,0.99,False
-4.414715719063545,0.007413323701679346,0.01,0.99,False
-4.448160535117057,0.007404246866632967,0.01,0.99,False
-4.481605351170568,0.007395763746061654,0.01,0.99,False
-4.51505016722408,0.007387835505186972,0.01,0.99,False
-4.548494983277592,0.007380425849407762,0.01,0.99,False
-4.581939799331104,0.007373500858147506,0.01,0.99,False
-4.615384615384615,0.007367028829569716,0.01,0.99,False
-4.648829431438127,0.0073609801354504725,0.01,0.99,False
-4.682274247491638,0.007355327085543721,0.01,0.99,False
-4.7157190635451505,0.007350043800818417,0.01,0.99,False
-4.749163879598662,0.00734510609498722,0.01,0.99,False
-4.782608695652174,0.007340491363784361,0.01,0.99,False
-4.816053511705685,0.007336178481485849,0.01,0.99,False
-4.849498327759197,0.007332147704198256,0.01,0.99,False
-4.882943143812708,0.007328380579473388,0.01,0.99,False
-4.916387959866221,0.007324859861835033,0.01,0.99,False
-4.949832775919732,0.007321569433831097,0.01,0.99,False
-4.983277591973244,0.007318494232249709,0.01,0.99,False
-5.016722408026756,0.0073156201791615225,0.01,0.99,False
-5.050167224080267,0.007312934117472524,0.01,0.99,False
-5.083612040133779,0.007310423750692327,0.01,0.99,False
-5.117056856187291,0.007308077586642212,0.01,0.99,False
-5.150501672240803,0.007305884884845219,0.01,0.99,False
-5.183946488294314,0.00730383560735744,0.01,0.99,False
-5.217391304347826,0.007301920372815436,0.01,0.99,False
-5.250836120401337,0.007300130413489397,0.01,0.99,False
-5.2842809364548495,0.0072984575351454665,0.01,0.99,False
-5.317725752508361,0.007296894079533439,0.01,0.99,False
-5.351170568561873,0.007295432889328157,0.01,0.99,False
-5.384615384615384,0.007294067275364073,0.01,0.99,False
-5.418060200668896,0.007292790986012994,0.01,0.99,False
-5.4515050167224075,0.0072915981785648286,0.01,0.99,False
-5.48494983277592,0.0072904833924803125,0.01,0.99,False
-5.518394648829431,0.007289441524393271,0.01,0.99,False
-5.551839464882943,0.007288467804747973,0.01,0.99,False
-5.585284280936454,0.007287557775964647,0.01,0.99,False
-5.618729096989966,0.0072867072720331685,0.01,0.99,False
-5.652173913043478,0.007285912399441539,0.01,0.99,False
-5.68561872909699,0.0072851695193518196,0.01,0.99,False
-5.719063545150502,0.007284475230941937,0.01,0.99,False
-5.752508361204013,0.0072838263558371,0.01,0.99,False
-5.785953177257525,0.007283219923559558,0.01,0.99,False
-5.8193979933110365,0.0072826531579300805,0.01,0.99,False
-5.852842809364549,0.007282123464358922,0.01,0.99,False
-5.88628762541806,0.007281628417968079,0.01,0.99,False
-5.919732441471572,0.007281165752490468,0.01,0.99,False
-5.953177257525083,0.0072807333498952145,0.01,0.99,False
-5.986622073578595,0.007280329230691533,0.01,0.99,False
-6.020066889632107,0.007279951544866849,0.01,0.99,False
-6.053511705685619,0.007279598563417644,0.01,0.99,False
-6.08695652173913,0.00727926867043427,0.01,0.99,False
-6.120401337792642,0.007278960355703497,0.01,0.99,False
-6.153846153846153,0.007278672207794926,0.01,0.99,False
-6.187290969899665,0.007278402907599617,0.01,0.99,False
-6.220735785953177,0.0072781512222913555,0.01,0.99,False
-6.254180602006689,0.007277915999682913,0.01,0.99,False
-6.2876254180602,0.0072776961629514615,0.01,0.99,False
-6.321070234113712,0.007277490705709001,0.01,0.99,False
