force,A,delta,phi,offset,R^2,St,method
history_force,0.07351542203666082,-0.08331506116516832,2.170426186253529,0.00020496481683047262,0.9847169324853821,0.05,curve_fit
xdot,0.9585381104590335,-0.09487859712263207,6.273208982964096,0.024332214868311927,0.9697954027731207,0.05,curve_fit
inertial_force,0.170623794520636,-0.13916008157313534,5.543454695284313,0.000834735152584744,0.9745322444380441,0.1,curve_fit
stokes_drag,0.040176327776012946,-0.14206952668109843,1.4767678354471572,-0.0011335054464937995,0.9781744990780885,0.1,curve_fit
history_force,0.09051777532978973,-0.1379466865340564,2.266330069069584,0.00022952371486049603,0.9724474513747094,0.1,curve_fit
xdot,0.99129538132977,-0.1733172165257129,0.0,0.014916821608396089,0.9865124705233845,0.1,curve_fit
inertial_force,0.2017753347327828,-0.17816694447199088,5.6546997530915455,0.0006797816941276695,0.9502995869630783,0.15,curve_fit
stokes_drag,0.03692393503271062,-0.18180737206909361,1.5017270640523102,-0.0010165787377321572,0.9541440541359467,0.15,curve_fit
history_force,0.10157811967967222,-0.17653261259230024,2.2876424619881064,0.0002564535182043064,0.9472470897322632,0.15,curve_fit
xdot,1.0144649908518015,-0.2375077424229601,6.2786364495431055,0.011462971658076837,0.9885069354881263,0.15,curve_fit
inertial_force,0.22740278750046494,-0.2072667082049103,5.7303228199411596,0.0005512820879265882,0.9297543284805143,0.2,curve_fit
stokes_drag,0.034294359988901964,-0.21154434313975978,1.5160249368476368,-0.0009202436924243018,0.9331524555555549,0.2,curve_fit
history_force,0.1086524509507637,-0.20521327067937098,2.302270306268208,0.00027736226910544915,0.9255728866193095,0.2,curve_fit
xdot,1.0309075753907964,-0.290347658232755,0.0,0.00971883047926301,0.9884045728106675,0.2,curve_fit
inertial_force,0.2486104173051036,-0.22996560859775228,5.772649370031251,0.0004475841808669636,0.9131213246064506,0.25,curve_fit
stokes_drag,0.032025955610447715,-0.23483164401439255,1.516232103777667,-0.0008432529612226816,0.9160964077216412,0.25,curve_fit
history_force,0.11317872659573719,-0.22753540946262915,2.299308279685713,0.0002924199446827697,0.9078630377957987,0.25,curve_fit
xdot,1.0432572620874725,-0.3346381727210423,6.281322189951281,0.008669885568727284,0.9877971339217515,0.25,curve_fit
inertial_force,0.2664482917294504,-0.24833598751169103,5.808024946792473,0.00036281512688088015,0.8994982819976882,0.3,curve_fit
stokes_drag,0.030041376915894428,-0.2537557846039558,1.5169641271680852,-0.0007806702050510775,0.9021871906025949,0.3,curve_fit
history_force,0.11606059509601542,-0.24558455961670095,2.299138573336248,0.00030284466410919426,0.8932699442798925,0.3,curve_fit
xdot,1.052970331343869,-0.37242279361241204,0.0,0.007969459684525603,0.9870469039836925,0.3,curve_fit
inertial_force,0.28170839169786543,-0.26365395647395,5.831475140897951,0.0002921559666875104,0.888122983185384,0.35,curve_fit
stokes_drag,0.028293572596913993,-0.2695844750928224,1.5134005760281115,-0.0007286994376166706,0.8906603983465897,0.35,curve_fit
history_force,0.11785034145383902,-0.26060776171447453,2.2936242786466465,0.0003098286966038348,0.8810355945709696,0.35,curve_fit
xdot,1.0608529902065797,-0.40513156488689117,6.282132863521076,0.007468434147235631,0.9862700005506518,0.35,curve_fit
inertial_force,0.29495088172674644,-0.27671104527607554,5.852431626902264,0.00023218597794030086,0.8784535276210154,0.4,curve_fit
stokes_drag,0.026745007329257303,-0.28311769524937974,1.5113804174205099,-0.0006846990845317727,0.8809478446975417,0.4,curve_fit
history_force,0.11890002999045692,-0.27341743535795426,2.2903484197477155,0.0003143200791167666,0.8706110171684742,0.4,curve_fit
xdot,1.0674017101371402,-0.4337962620510432,0.0,0.00709212758691242,0.9855114650793073,0.4,curve_fit
inertial_force,0.30657902921025904,-0.28802563745151133,5.86753160763642,0.0001805093803552721,0.8701118126791315,0.45,curve_fit
stokes_drag,0.025364023299439473,-0.2948698082716023,1.5074041314253865,-0.000646834349096975,0.8726412547675414,0.45,curve_fit
history_force,0.11942980018074226,-0.2845163358438898,2.2847204889246124,0.00031698544616829934,0.8615991330086121,0.45,curve_fit
xdot,1.0729379211835919,-0.4591759320885185,6.282462462352081,0.006799056077368257,0.9847890873476317,0.45,curve_fit
inertial_force,0.31690381224694736,-0.29798065436503546,5.881661646913489,0.0001353460865848959,0.8628215922513988,0.5,curve_fit
stokes_drag,0.02412611590249461,-0.30522917221898965,1.5048790796535776,-0.0006137937431476856,0.8654454144018264,0.5,curve_fit
history_force,0.11958958984637265,-0.294265854730289,2.280831936925647,0.00031831880543474776,0.8537113124461764,0.5,curve_fit
xdot,1.0776893168069595,-0.4818498878317182,0.0,0.006564305375505549,0.9841091335045167,0.5,curve_fit
inertial_force,0.326145910009696,-0.3068241236314048,5.89230895043906,9.549806918201401e-05,0.8563857347875852,0.55,curve_fit
stokes_drag,0.023010617178693293,-0.31446980815631226,1.5011768911341536,-0.0005846253996274162,0.8591429523784851,0.55,curve_fit
history_force,0.11948672824502822,-0.30294927118700604,2.275621146392705,0.0003186713365312256,0.8467424961448512,0.55,curve_fit
xdot,1.0818154471704229,-0.5022621205559524,6.282631481572817,0.006372022167796366,0.9834726024210648,0.55,curve_fit
inertial_force,0.33448379740575435,-0.3147559783988777,5.902644638366034,5.997002092574014e-05,0.850650420945692,0.6,curve_fit
stokes_drag,0.02199940458895572,-0.3227656212428483,1.4987204062833288,-0.0005586263971584046,0.8535698402030732,0.6,curve_fit
history_force,0.11918531302216147,-0.31071755349916413,2.2718305362939075,0.00031827411832835407,0.8405258822041277,0.6,curve_fit
xdot,1.085434660360091,-0.5207615870467075,0.0,0.006211631548796062,0.9828778378920257,0.6,curve_fit
inertial_force,0.3420560434360066,-0.321925679988481,5.910619822228375,2.7952825421318016e-05,0.8454991841628335,0.65,curve_fit
stokes_drag,0.021078676369584094,-0.3302777135814748,1.4954191576772349,-0.0005352555104639994,0.8486008582142945,0.65,curve_fit
history_force,0.11874604691579259,-0.3177651068539741,2.267143286041637,0.0003173378202890887,0.8349440683325483,0.65,curve_fit
xdot,1.0886401868761968,-0.5376303336097613,6.282735533176261,0.006075793237659328,0.9823224201402763,0.65,curve_fit
inertial_force,0.348966869320464,-0.3284376957543335,5.918583731767758,-9.248066244293139e-07,0.8408398986112119,0.7,curve_fit
stokes_drag,0.02023673931931642,-0.3371271702876802,1.4931766514430835,-0.000514094103422831,0.8441378253291971,0.7,curve_fit
history_force,0.11819748613902706,-0.3241562220663569,2.2636109354582397,0.0003159827054430218,0.8298876862912238,0.7,curve_fit
xdot,1.0915009090166792,-0.5530932149914696,0.0,0.005959265355558289,0.9818033664081092,0.7,curve_fit
inertial_force,0.35531846441019077,-0.33440901424304237,5.924836691864163,-2.7254656316148076e-05,0.8366033195983958,0.75,curve_fit
stokes_drag,0.019463148231670408,-0.3433875270209781,1.490259897828462,-0.0004948152985718518,0.8401036772588637,0.75,curve_fit
history_force,0.11757761424095207,-0.3300381628360208,2.259366964625138,0.0003143434110099277,0.8252856677542397,0.75,curve_fit
xdot,1.0940720250487432,-0.5673351636257256,6.282804083933989,0.0058582068962162,0.9813175779604124,0.75,curve_fit
inertial_force,0.36117794755876326,-0.33990279868665507,5.931236281080832,-5.1376346040226486e-05,0.8327286914271695,0.8,curve_fit
stokes_drag,0.018750671821878152,-0.3491702969362128,1.4882540225475938,-0.00047714916954208345,0.836436035419035,0.8,curve_fit
history_force,0.11689652055972236,-0.33542292024199827,2.2561792452988643,0.00031243716214154573,0.8210818478209021,0.8,curve_fit
xdot,1.0963986093603624,-0.5805103596076057,0.0,0.005769723282047407,0.9808622845895352,0.8,curve_fit
inertial_force,0.3666164717877599,-0.34500077927557365,5.936280382442227,-7.360787662155324e-05,0.829165664791099,0.85,curve_fit
stokes_drag,0.018092226412593462,-0.35453800884363973,1.485695624591337,-0.00046088097075155205,0.8330871901219778,0.85,curve_fit
