x_crossings,z_crossings,u_d,w_d,t,fitted_t_u,fitted_t_w,history
-0.037737786410579705,-0.26524978675523303,0.08518774170839179,-0.23682926484965852,1.3893112852739131,0.0028014726959162423,19.893160025494666,False
0.030251781865758807,-0.4542666470383684,0.06087274124100095,-0.23695116038453054,2.184966232141184,0.033949268165992114,19.908661897978945,False
0.07868547956353253,-0.6427980099642602,0.04398273172733959,-0.2370451583300279,2.9789218320695525,0.192055494284308,20.041488892964686,False
0.11360581571860093,-0.8310013408562926,0.03208728724726462,-0.23712070459943432,3.7716877331230543,0.6508364867028165,20.21007247823144,False
0.1390435229055412,-1.0189825498965044,0.023665026385505376,-0.23718115454070218,4.5636110107227745,1.5443886951093264,20.353209815085005,False
0.15778440816523448,-1.206811827185263,0.017612943055860662,-0.23723114565586606,5.3549309777160685,2.8736203009538817,20.468439674415823,False
0.1717218816828529,-1.3945375695354443,0.013237181255704522,-0.23727224700381724,6.145815139301201,4.502020813922596,20.558860393612235,False
0.1821909586820212,-1.5821924316744786,0.01004269992137242,-0.23730622417034514,6.936381412541069,6.248119545806375,20.630112392566215,False
0.19013037853212691,-1.7697987289334531,0.007688565787623238,-0.23733438311859403,7.726713538123942,7.955114054464857,20.686639927661286,False
0.19620689907374295,-1.9573717164174715,0.005937517186383022,-0.2373577449379858,8.516871474335018,9.520742145655879,20.731786451915802,False
0.20089847539995315,-2.1449218223013853,0.0046229949101569264,-0.23737713359514673,9.306898498139704,10.895424717129433,20.76805832081263,False
0.20455076630988864,-2.3324561726748465,0.0036285190659761666,-0.2373931843820224,10.096826801297691,12.06581557269012,20.797275952024233,False
0.2074170362186516,-2.5199797679950087,0.0028687810520326624,-0.2374064953533548,10.886680392001923,13.043964146160821,20.820958386646694,False
0.20968295323354386,-2.7074961408063634,0.0022811408322192367,-0.23741759954643124,11.676475567246454,13.854602231019413,20.84034028190843,False
0.2114845872568839,-2.895007415446273,0.001824334988807656,-0.23742681122710355,12.466225109213662,14.519401719235546,20.856164064515273,False
0.2129253549786895,-3.0825151308636127,0.0014665105500355432,-0.23743445125091464,13.255938624393318,15.0623559298312,20.86911491547026,False
0.21408347818020612,-3.2700203259857252,0.0011845057677560271,-0.2374407783568538,14.045623786983398,15.504537448068158,20.87972262092358,False
0.21501886481000543,-3.4575237856479726,0.0009614749651969844,-0.23744599820517737,14.83528829521256,15.863507268365083,20.888394497441645,False
0.21577810746557236,-3.6450264630516465,0.0007819920139588889,-0.237450367012517,15.62493471732895,16.159174999750498,20.89559772372828,False
0.21639560466151858,-3.832528295793304,0.0006379053052604955,-0.23745398784147737,16.41456634627266,16.404723552999116,20.901530105631426,False
0.21689931486682326,-4.02002947501175,0.0005216997194220604,-0.2374569885938326,17.204185730312915,16.62118595877595,20.90642087831429,False
0.21731125907792728,-4.207530116081266,0.0004280021544659537,-0.23745946339450183,17.99379647721618,16.840286317172165,20.910437002608443,False
0.21764921417879135,-4.395030660331447,0.00035165565038186493,-0.23746152060203243,18.78340043379504,17.110699381210107,20.91376351085772,False
0.21792688287168618,-4.582531216534044,0.0002891347793966121,-0.23746323413033363,19.57299772707084,17.490663223231074,20.916526039552995,False
0.21815518291088964,-4.7700315434558735,0.0002380513478382922,-0.2374646537444886,20.36258927951199,18.03279278179679,20.91880906018051,False
0.21834314624419,-4.957531628055884,0.00019626548038466867,-0.237465828513406,21.15217617625907,18.771248032960884,20.920694449331055,False
0.2184981148957855,-5.145031534675258,0.00016217402761171406,-0.2374667961112631,21.941761500429248,19.707355354914654,20.922244720768983,False
0.21862616512794927,-5.332531831862424,0.00013387145681663617,-0.23746760639642292,22.731343606066527,20.836583008706608,20.92354112431116,False
0.21873186763470728,-5.520032004541556,0.00011058663348261691,-0.23746827757846548,23.520922782426098,22.10862525247212,20.92461371477167,False
0.21881918453768887,-5.707532011563487,9.140730083377448e-05,-0.2374688335711177,24.31049922862237,23.4694751455346,20.925501363761597,False
0.2188913575894376,-5.895031809256944,7.56979144686448e-05,-0.2374692910652465,25.100075474153005,24.853257010567543,20.926231173626682,False
0.21895112686453824,-6.082531920525063,6.263871197058575e-05,-0.23746967295122012,25.88965069074078,26.229400459347925,20.926839966689528,False
0.2190005848391092,-6.27003208897855,5.182648473792931e-05,-0.2374699901844029,26.679224275045,27.552098106765154,20.92734541243395,False
0.2190415056624256,-6.457532120293138,4.289501210620266e-05,-0.237470252950997,27.468796207157958,28.788588929118255,20.927763884949893,False
0.21907537436001231,-6.645031966735009,3.554066647275618e-05,-0.23747046980022077,28.25836771424824,29.916317853496253,20.928109100207273,False
0.2191034362576022,-6.832531883464607,2.9458021853700125e-05,-0.2374706494925893,29.04793978672308,30.93123914306612,20.928395073575388,False
0.21912669548896824,-7.020032076336417,2.4391484049569833e-05,-0.23747079941103494,29.83751085960766,31.838054528848552,20.928633600746124,False
0.2191459542991985,-7.207532150206147,2.0200503062963292e-05,-0.237470923582694,30.627080814179983,32.63319080621559,20.92883112078499,False
0.21916190400948427,-7.395032056551582,1.6735680966711298e-05,-0.2374710263497151,31.416649793767988,33.32304675748837,20.92899456310881,False
0.21917511798402786,-7.582531812508242,1.3887333704870902e-05,-0.2374711109052183,32.206220443418395,33.91318867364579,20.929129021627848,False
0.21918608301512313,-7.77003203181888,1.1502754868507643e-05,-0.23747118174935722,32.99579042374998,34.423823311380445,20.929241662762436,False
0.21919516524505842,-7.957532148122038,9.52899421673641e-06,-0.23747124042441367,33.7853595704392,34.858269480011316,20.92933494568359,False
