t,u_double_bar,w_double_bar,v_x_drift,v_y_drift,v_s_lin,history
1.3869086051618162,0.010848842485042861,-0.013243662621588714,0.00913562167360133,-0.013505669137531207,0.013262911924324609,False
2.184424707687828,0.009220176661275791,-0.013245756730878133,0.007721947694434268,-0.013468104145478511,0.013262911924324609,False
2.980743779366376,0.007851062331157677,-0.013247508394751445,0.006528521219057532,-0.013436391702069585,0.013262911924324609,False
3.776057704338568,0.006695422113524573,-0.01324902255479328,0.005520595364841699,-0.01340960849231875,0.013262911924324609,False
4.57052579478978,0.005719343085905061,-0.013250329584784146,0.004669030700419855,-0.013386980205795285,0.013262911924324609,False
5.364278834647353,0.004893936090242928,-0.013251463661673213,0.003949357227559679,-0.013367856611043645,0.013262911924324609,False
6.1574276152986585,0.004192420696735144,-0.013252488762626921,0.003340993435014941,-0.013351690803814487,0.013262911924324609,False
6.950065204736718,0.003597761983331247,-0.013253387655323074,0.0028266122926094614,-0.013338022359879553,0.013262911924324609,False
7.742266762952815,0.0030922782665803042,-0.013254191061599386,0.0023916210471219327,-0.013326463511856223,0.013262911924324609,False
8.534099274781827,0.002660478940929905,-0.013254933445709792,0.0020237084374101003,-0.013316687117536467,0.013262911924324609,False
9.325617211595253,0.002293605755186173,-0.01325558752567314,0.0017124920713919999,-0.013308417289776728,0.013262911924324609,False
10.116866230904616,0.0019799273233804867,-0.013256188113080044,0.0014492070824089869,-0.013301421123288209,0.013262911924324609,False
10.90788610352154,0.00171122614278268,-0.013256742594249455,0.0012264508268573183,-0.01329550191058938,0.013262911924324609,False
11.698710073271448,0.0014814261627611141,-0.013257245989410181,0.0010379702403889154,-0.013290493491507531,0.013262911924324609,False
12.489366299681018,0.0012845933328162788,-0.013257704845832587,0.000878481081047891,-0.013286255449999071,0.013262911924324609,False
13.27987869069688,0.0011159185153863762,-0.013258122090265318,0.000743516671651716,-0.013282669094841461,0.013262911924324609,False
14.0702675739389,0.0009710259398322443,-0.013258504393909748,0.0006293006223103252,-0.01327963407753972,0.013262911924324609,False
14.860550273703945,0.0008461585807419879,-0.013258858219464343,0.0005326394523761261,-0.013277065539012525,0.013262911924324609,False
15.650741585881882,0.0007385406509089294,-0.013259183764748255,0.00045083229849221334,-0.013274891710300395,0.013262911924324609,False
16.440854132740437,0.0006457180494550994,-0.013259482639613018,0.00038159460852210246,-0.01327305188491505,0.013262911924324609,False
17.230898694810218,0.0005655404990281543,-0.013259757215898404,0.00032299374042308785,-0.01327149470753408,0.013262911924324609,False
18.02088449030796,0.0004961833531297112,-0.013260009592401499,0.00027339459962749744,-0.01327017672944489,0.013262911924324609,False
18.81081941042733,0.0004360963579844189,-0.013260241644737367,0.0002314137181769539,-0.013269061188307894,0.013262911924324609,False
19.60071021790826,,,0.00019588045229345147,-0.013268116977075186,0.013262911924324609,False
1.3862967791319565,0.011215972041823882,-0.011812463326276928,0.009613476078555616,-0.013518366971111641,0.013262911924324609,True
2.1841779729750765,0.009695840067248496,-0.012128073911785886,0.008252042657613113,-0.01348219014647481,0.013262911924324609,True
2.980907086923869,0.008362876263598315,-0.01229529396109434,0.007066527733954006,-0.013450687933558754,0.013262911924324609,True
3.776639322856746,0.007208307258863441,-0.012405208654784918,0.006042633355316526,-0.013423480398608594,0.013262911924324609,True
4.57151496595052,0.006212973761670524,-0.01248510745551509,0.005162020857847053,-0.013400080235659825,0.013262911924324609,True
5.365655235078308,0.005358077359764953,-0.012546741570231959,0.004406550863618196,-0.013380005434292977,0.013262911924324609,True
6.15916372609481,0.004624349837384748,-0.012596211492279432,0.003759532650328665,-0.013362812478633926,0.013262911924324609,True
6.952131287108497,0.003992802894585003,-0.012637086157914316,0.003206063237447304,-0.013348105357754086,0.013262911924324609,True
7.744635289086552,0.003451107548736236,-0.012671565172588672,0.0027330441855192567,-0.013335536012071623,0.013262911924324609,True
8.53674041756567,0.002986133475884907,-0.012701142264330365,0.0023290700402934838,-0.013324801369022,0.013262911924324609,True
9.328503714867828,0.002584953780506835,-0.012726882604968938,0.001984258183874469,-0.01331563882176079,0.013262911924324609,True
10.119973846769955,0.0022413442985506327,-0.012749499980922072,0.001690083374685563,-0.013307821832460475,0.013262911924324609,True
10.911190859271034,0.0019458815142198039,-0.01276957408155939,0.0014392107256848963,-0.013301155494107481,0.013262911924324609,True
11.70219058351752,0.0016903778535952048,-0.012787551228757594,0.0012253389823626227,-0.013295472365991247,0.013262911924324609,True
12.49300327137113,0.0014703622113265346,-0.01280374870517854,0.0010430656368789954,-0.013290628889436242,0.013262911924324609,True
13.283654769884274,0.0012807186652932226,-0.012818433473976702,0.0008877633698775078,-0.013286502104539836,0.013262911924324609,True
14.074167210553783,0.0011170778855274747,-0.012831820491686517,0.0007554725505465858,-0.013282986793619462,0.013262911924324609,True
14.864559567183916,0.0009757217555151694,-0.012844084862483274,0.0006428075196196556,-0.013279992990908401,0.013262911924324609,True
15.654848122156173,0.0008535073574550849,-0.012855370575332243,0.0005468752585743578,-0.013277443821384967,0.013262911924324609,True
16.445046867156176,0.0007477392807417125,-0.012865797624684268,0.0004652050640632386,-0.013275273632039359,0.013262911924324609,True
17.23516783147115,0.0006560099751644518,-0.012875467962170642,0.00039568788649141373,-0.013273426379941989,0.013262911924324609,True
18.02522133384035,0.0005763504546383148,-0.012884466879565147,0.00033652412794080123,-0.013271854245098656,0.013262911924324609,True
18.81521626773146,0.0005071551777687973,-0.012892866196939776,0.0002861788041910343,-0.013270516438988888,0.013262911924324609,True
19.605160289993524,,,0.00024334304690296622,-0.013269378181578896,0.013262911924324609,True
