beta_c,St_c,history,z_crossing_f
0.75,0.11136140823364257,False,-2.2982519362271496
0.75,0.24629154205322268,True,-1.5355646273004797
0.76,0.11642885208129883,False,-2.230309859890084
0.76,0.2747392654418945,True,-1.5258279154307608
0.77,0.12196321487426759,False,-2.161654202688174
0.77,0.3092294692993164,True,-1.5169437256560407
0.78,0.12805376052856443,False,-2.092750070984791
0.78,0.35189933776855475,True,-4.017669270874705
0.79,0.13480005264282227,False,-2.0228120629344875
0.79,0.40609626770019536,True,-1.503761632664767
0.8,0.14231710433959957,False,-6.428446310403832
0.8,0.47738380432128913,True,-1.5010052806440577
0.81,0.15077829360961917,False,-1.8813027062677958
0.81,0.5761371612548828,True,-1.5030882016693323
0.82,0.1603896141052246,False,-6.144604797762177
0.82,0.7254173278808593,True,-4.153646347395072
0.83,0.17142057418823242,False,-5.983365692332687
0.83,1.0042486190795898,True,-4.295122128798038
0.84,0.18428745269775387,False,-1.6624350854770211
0.84,2.9665355682373047,True,-9.99961452939346
0.85,0.19950008392333984,False,-5.727532079926255
0.85,2.874765396118164,True,-1.7175286925336737
0.86,0.21786441802978518,False,-1.51133350681127
0.86,2.9040164947509766,True,-1.5832655543314955
0.87,0.24056491851806644,False,-1.4340610764036812
0.87,3.088071823120117,True,-6.989039862620397
0.88,0.26947612762451173,False,-5.272688887975466
0.88,3.4381065368652344,True,-6.508935241857921
0.89,0.3078527450561523,False,-5.14122769838151
0.89,4.038166046142578,True,-1.2625445217440576
0.9,0.3615329742431641,False,-1.1927199981986516
0.9,5.078227996826172,True,-5.776009393663161
0.91,0.4429141998291015,False,-1.1087040404286501
0.91,7.030326843261719,True,-5.447701780330256
0.92,0.5821453094482422,False,-4.675305616716605
0.92,11.335954666137695,True,-1.001039452027024
0.93,0.880915069580078,False,-0.933471904335289
0.93,24.481525421142578,True,-0.9184462005008204
0.94,2.014638900756836,False,-4.384605577633949
1.06,1.8916950225830078,False,-2.4266434491432594
1.06,61.46167755126953,True,-2.4371975068193197
1.07,0.7175895690917968,False,-0.02788391596897615
1.07,9.172798156738281,True,-2.4091929539714925
1.08,0.4679698944091797,False,-0.01495192659669942
1.08,3.813770294189453,True,-2.385347686987729
1.09,0.353066635131836,False,-0.0049625445578027096
1.09,2.2729549407958984,True,-0.015333034444170786
1.1,0.2814031600952148,False,-0.023973059182621836
1.1,1.5563116073608398,True,-0.003731382344180606
1.11,0.2391641616821289,False,-2.2330343010115414
1.11,1.1214933395385742,True,-0.02381378446632371
1.12,0.2090925216674805,False,-0.012071284921038306
1.12,0.8847465515136719,True,-0.015978785852939655
1.13,0.18651218414306642,False,-2.176344903473934
1.13,0.7251289367675782,True,-2.2886678197983557
1.14,0.16888513565063476,False,-2.1515246026183035
1.14,0.6114307403564454,True,-2.2736100902782432
1.15,0.15471105575561522,False,-0.0011299906610089082
1.15,0.5151767730712892,True,-2.264704388428684
1.16,0.14148111343383787,False,-2.112005556917987
1.16,0.4523006439208984,True,-0.022925946382722773
1.17,0.13185606002807615,False,-0.020286428185458415
1.17,0.4026355743408203,True,-2.2402388310767614
1.18,0.1236506462097168,False,-0.018344668633015457
1.18,0.3625354766845703,True,-2.2293003065294226
1.19,0.11656274795532226,False,-2.0590896389394113
1.19,0.32957820892333983,True,-0.013334189813784873
1.2,0.11037263870239258,False,-2.044132149939163
1.2,0.30206089019775384,True,-2.2095645397275776
1.21,0.1049189567565918,False,-0.014113465821988797
1.21,0.2787870407104492,True,-0.008669754675254604
1.22,0.1000746726989746,False,-0.013039533460834078
1.22,0.25886745452880866,True,-0.006728529447388207
