first_x,first_z,exact_x,exact_z
0.966401414677277,0.284765279007972,1.00255972696246,-0.00170757667532673
0.780725022104332,0.662976085031001,0.993600682593855,0.117753992475159
0.260831122900087,1.01948627103632,0.978668941979521,0.225275265291382
-0.163129973474802,1.06288751107174,0.945819112627985,0.341770870947825
-0.676834659593281,0.861381753764393,0.91296928327645,0.431389343498467
-0.973916887709991,0.54517271922055,0.871160409556314,0.515042764039183
-1.13793103448276,-0.0779450841452611,0.826365187713311,0.59272603641277
-1.03580901856764,-0.524357838795394,0.76962457337884,0.670419501100769
-0.593280282935456,-1.03277236492471,0.709897610921501,0.736170121375902
-0.147656940760389,-1.20017714791851,0.650170648464165,0.792961697282437
0.582670203359858,-1.09167404782994,0.578498293515359,0.855736161749117
0.981874447391689,-0.790965456155889,0.506825938566553,0.903578885601461
1.27586206896552,-0.152347209920283,0.420221843003414,0.951434349846823
1.2603890362511,0.33436669619132,0.318686006825938,0.996316206362332
0.907603890362509,0.982285208148804,0.20221843003413,1.03225175890226
0.499115826702033,1.26129317980514,0.0827645051194539,1.05027177078358
-0.21264367816092,1.37289636846767,-0.0456484641638233,1.05934038253212
-0.785145888594165,1.17449069973428,-0.174061433447099,1.05049090554345
-1.32670203359859,0.560673162090346,-0.302474402730374,1.02372333981759
-1.46286472148541,-0.0314437555358715,-0.418941979522185,0.990972885531572
-1.29885057471264,-0.735163861824622,-0.535409556313993,0.937317994385489
-0.930592396109638,-1.20017714791851,-0.630972696245734,0.877672570443452
-0.0579133510167993,-1.55668733392382,-0.723549488054607,0.809065554054211
0.666224580017685,-1.44198405668733,-0.801194539249147,0.73447310102622
1.26657824933687,-1.00487156775908,-0.872866894197952,0.659875551841023
1.60389036251105,-0.381753764393268,-0.938566552901024,0.567354817761417
1.5946065428824,0.545172719220548,-0.998293515358361,0.471842639401739
1.27586206896552,1.14348981399469,-1.0401023890785,0.370342476324709
0.387709991158266,1.71390611160319,-1.0759385665529,0.268837217090471
-0.342617152961981,1.75420726306466,-1.09982935153584,0.179267158033289
-1.184350132626,1.38529672276351,-1.11476109215017,0.0717713660030985
-1.63306808134394,0.867581930912312,-1.12372013651877,-0.0566339590443685
-1.87754199823165,-0.251550044286978,-1.11774744027304,-0.164147587624785
