e_rel1,e_rel2,e_rel3,global_error1,global_error2,global_error3,t
8.627699134216884e-16,8.627699134216884e-16,8.627699134216884e-16,18.60773954531407,0.11821065984605,0.0010494250555672794,0.0
2.8123998243573983e-07,2.0225656165810044e-09,1.9077941264920826e-09,18.60773954531407,0.11821065984605,0.0010494250555672794,0.01
5.742872901848862e-07,2.0743899191384467e-09,1.9188093268109776e-09,18.60773954531407,0.11821065984605,0.0010494250555672794,0.02
4.232694933843096e-05,7.948856531122664e-07,5.047488929387968e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.03
8.490529594915997e-05,1.401142765964222e-06,6.35791064167842e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.04
0.00012813370177951544,1.904078330021525e-06,7.345146938931897e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.05
0.00017189991323225895,2.3447251251393744e-06,7.796168116609584e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.06
0.00021612315009656547,2.7438200201632513e-06,8.13386137182992e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.07
0.0002607417321074164,3.114233443423179e-06,8.346228675163828e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.08
0.00030570666893663036,3.464415423218485e-06,8.497343392618142e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.09
0.0003509779302555401,3.800233241506734e-06,8.599378080335688e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.1
0.0003965220983310739,4.125896728704171e-06,8.66899484115843e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.11
0.00044231080350466966,4.444501958999553e-06,8.714135392133325e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.12
0.000488319634348617,4.758365422558776e-06,8.741318839687779e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.13
0.0005345273512976179,5.069241435916704e-06,8.754812454051714e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.14
0.0005809153026867306,5.3784692127625185e-06,8.757847828339696e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.15
0.0006274669805682748,5.6870757322481855e-06,8.752790465727894e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.16
0.0006741676759258316,5.995849664224903e-06,8.741448617440736e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.17
0.0007210042063243448,6.305395683043459e-06,8.725210931780222e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.18
0.0007679646975114775,6.616175117767164e-06,8.705163393056808e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.19
0.0008150384059299891,6.928536836987019e-06,8.682163468030119e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.2
0.0008622155727809244,7.2427410117401475e-06,8.656895654802293e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.21
0.000909487302782838,7.558977591945121e-06,8.629910958820124e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.22
0.0009568454624757565,7.877380790512369e-06,8.601656457749945e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.23
0.001004282594222512,8.198040526612312e-06,8.572497277436164e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.24
0.001051791842911077,8.521011514321984e-06,8.542733394092023e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.25
0.0010993668930530918,8.846320519488107e-06,8.512612482253328e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.26
0.0011470019144577605,9.173972176219745e-06,8.482339912197826e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.27
0.0011946915150373646,9.503953663848217e-06,8.452086616909301e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.28
0.0012424306995894034,9.83623847652442e-06,8.421995273718761e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.29
0.0012902148336178404,1.0170789469725064e-05,8.392185267675563e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.3
0.0013380396114299096,1.0507561323044669e-05,8.36275665985765e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.31
0.0013859010278885935,1.0846502533083696e-05,8.333793403050371e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.32
0.0014337953532956161,1.1187557028566527e-05,8.305365952024642e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.33
0.0014817191109741032,1.1530665474829024e-05,8.277533436376366e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.34
0.0015296690572028794,1.1875766329881168e-05,8.2503453846129e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.35
0.0015776421631810858,1.2222796695390423e-05,8.223843219604874e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.36
0.0016256355987785763,1.257169300261751e-05,8.198061458135345e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.37
0.0016736467178522017,1.2922391559763187e-05,8.173028719404953e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.38
0.001721673044934923,1.3274828990866516e-05,8.148768585197582e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.39
0.0017697122631464292,1.3628942581451073e-05,8.125300311329801e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.4
0.0018177622031813605,1.3984670551101272e-05,8.102639423964859e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.41
0.0018658208332556455,1.434195226366584e-05,8.080798261736932e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.42
0.0019138862499141613,1.4700728389824101e-05,8.059786365284499e-07,18.60773954531407,0.11821065984605,0.0010494250555672794,0.43
