t,x_ana,z_ana
0.0,1.0,-1.5449880957918438e-17
0.01,0.9999608427623179,0.009999874481766525
0.02,0.9998409113757027,0.019998992127646307
0.03,0.9996380478917456,0.02999658671693721
0.04,0.9993508157479914,0.03999188306938076
0.05,0.9989781154100414,0.04998409804161225
0.06,0.998519056893312,0.0599724413017671
0.07,0.9979728971263975,0.06995611597149959
0.08,0.9973390036108827,0.07993431917742914
0.09,0.9966168311447627,0.08990624253606527
0.1,0.9958059058839047,0.09987107258752484
0.11,0.9949058138867927,0.10982799118850327
0.12,0.9939161925724588,0.11977617587200351
0.13,0.992836724163077,0.12971480017941941
0.14,0.9916671305303897,0.1396430339692623
0.15,0.9904071690659221,0.14956004370590262
0.16,0.9890566293170379,0.15946499273102768
0.17,0.9876153302082555,0.16935704152000935
0.18,0.9860831177181175,0.17923534792499993
0.19,0.9844598629162963,0.1890990674062644
0.2,0.9827454602895408,0.1989473532530329
0.21,0.9809398263020573,0.20877935679495566
0.22,0.9790428981482195,0.21859422760509645
0.23,0.9770546326646204,0.2283911136952706
0.24,0.9749750053752486,0.2381691617044289
0.25,0.9728040096487934,0.24792751708069988
0.26,0.970541655951029,0.257665324257633
0.27,0.9681879711783684,0.26738172682511396
0.28,0.9657429980611004,0.2770758676953814
0.29,0.9632067946267835,0.28674688926451514
0.3,0.9605794337158159,0.29639393356973825
0.31,0.957861002542473,0.30601614244282743
0.32,0.9550516022957329,0.31561265765991225
0.33,0.9521513477750422,0.32518262108789775
0.34,0.9491603670568896,0.3347251748277414
0.35,0.9460788011886169,0.3442394613547763
0.36,0.9429068039063964,0.35372462365626967
0.37,0.9396445413747031,0.36317980536637745
0.38,0.9362921919449542,0.37260415089864846
0.39,0.9328499459312893,0.3819968055762168
0.4,0.9293180054017001,0.39135691575980647
0.41,0.9256965839829475,0.4006836289736665
0.42,0.921985906677873,0.4099760940295398
0.43,0.9181862096938851,0.41923346114876786
0.44,0.9142977402815216,0.4284548820826148
0.45,0.9103207565821242,0.43763951023090075
0.46,0.9062555274837525,0.44678650075901244
0.47,0.9021023324845703,0.45589501071337074
0.48,0.8978614615629988,0.4649641991354096
0.49,0.8935332150540156,0.4739932271741367
0.5,0.8891179035310427,0.4829812581973221
0.51,0.8846158476929009,0.4919274579013739
0.52,0.8800273782553844,0.5008309944199419
0.53,0.8753528358470298,0.5096910384312976
0.54,0.8705925709087103,0.5185067632645297
0.55,0.8657469435967006,0.5272773450045927
0.56,0.8608163236889114,0.5360019625962433
0.5700000000000001,0.8558010904939969,0.5446797979468984
0.58,0.8507016327630879,0.5533100360284425
0.59,0.8455183486038975,0.5618918649780151
0.6,0.8402516453969977,0.5704244761978007
0.61,0.8349019397140512,0.5789070644538488
0.62,0.8294696572378297,0.5873388279739425
0.63,0.8239552326838376,0.5957189685445402
0.64,0.818359109723397,0.6040466916068036
