t,light_x_history,light_z_history,light_xdot_history,light_zdot_history,neutral_x_history,neutral_z_history,neutral_xdot_history,neutral_zdot_history,heavy_x_history,heavy_z_history,heavy_xdot_history,heavy_zdot_history,light_x,light_z,light_xdot,light_zdot,neutral_x,neutral_z,neutral_xdot,neutral_zdot,heavy_x,heavy_z,heavy_xdot,heavy_zdot
0.05,0.02575615686757407,0.02575615686757407,0.3529414522677356,0.3529414522677356,0.037989519473061395,0.037989519473061395,0.647883442159106,0.647883442159106,0.04608461073338555,0.04608461073338555,0.8788885994966377,0.8788885994966377,0.046463641568363745,0.046463641568363745,0.8619618491730133,0.8619618491730133,0.04875836417552052,0.04875836417552052,0.9507491270954338,0.9507491270954338,0.04965722283764876,0.04965722283764876,0.986320324287149,0.986320324287149
0.055,0.02748585644689631,0.02748585644689631,0.3388459126670956,0.3388459126670956,0.04119556239062301,0.04119556239062301,0.6345497728505278,0.6345497728505278,0.050464252716350994,0.050464252716350994,0.8729761176473206,0.8729761176473206,0.05074159903649535,0.05074159903649535,0.8492525281149872,0.8492525281149872,0.053500125588939296,0.053500125588939296,0.9459594691020815,0.9459594691020815,0.054585429586858636,0.054585429586858636,0.9849626915738681,0.9849626915738681
0.06,0.02914821709554424,0.02914821709554424,0.3261179348587042,0.3261179348587042,0.0443370878999425,0.0443370878999425,0.6220875388915605,0.6220875388915605,0.054814994760238246,0.054814994760238246,0.8673315223704788,0.8673315223704788,0.05495647943637319,0.05495647943637319,0.836730601793306,0.836730601793306,0.058217999083671416,0.058217999083671416,0.9411939403195237,0.9411939403195237,0.05950685284240668,0.05950685284240668,0.9836069275916234,0.9836069275916234
0.065,0.030749835912383967,0.030749835912383967,0.3145342702054231,0.3145342702054231,0.04741818549981457,0.04741818549981457,0.6103843107536634,0.6103843107536634,0.05913809898092452,0.05913809898092452,0.8619224973496548,0.8619224973496548,0.059109212971819196,0.059109212971819196,0.8243933066790874,0.8243933066790874,0.06291210500671132,0.06291210500671132,0.9364524191851401,0.9364524191851401,0.06442150195182064,0.06442150195182064,0.9822530297653386,0.9822530297653386
0.07,0.032295932087517694,0.032295932087517694,0.3039313231897531,0.3039313231897531,0.05044243024536538,0.05044243024536538,0.5993492401434749,0.5993492401434749,0.06343467967648744,0.06343467967648744,0.8567228110761672,0.8567228110761672,0.06320071588954626,0.06320071588954626,0.8122379207084187,0.8122379207084187,0.06758256310171752,0.06758256310171752,0.9317347847457398,0.9317347847457398,0.06932938624125617,0.06932938624125617,0.9809009955258245,0.9809009955258245
0.075,0.033791124497672305,0.033791124497672305,0.294173279196601,0.294173279196601,0.053412980764406676,0.053412980764406676,0.5889076947401156,0.5889076947401156,0.06770573063857485,0.06770573063857485,0.8517108208349189,0.8517108208349189,0.06723189100312797,0.06723189100312797,0.8002617617257042,0.8002617617257042,0.07222949253661111,0.07222949253661111,0.9270409166296857,0.9270409166296857,0.07423051501570027,0.07423051501570027,0.9795508223097243,0.9795508223097243
0.08,0.03523935599830268,0.03523935599830268,0.2851516278374998,0.2851516278374998,0.056332651885446415,0.056332651885446415,0.5789975060451408,0.5789975060451408,0.07195214580054682,0.07195214580054682,0.8468684191239555,0.8468684191239555,0.07120362783378352,0.07120362783378352,0.7884621870654084,0.7884621870654084,0.07685301181349802,0.07685301181349802,0.9223706951378807,0.9223706951378807,0.07912489757171395,0.07912489757171395,0.9782025075560016,0.9782025075560016
0.085,0.036644094160413365,0.036644094160413365,0.2767762569956217,0.2767762569956217,0.05920397093707715,0.05920397093707715,0.5695662584143881,0.5695662584143881,0.07617473520132728,0.07617473520132728,0.8421802723214532,0.8421802723214532,0.07511680278928767,0.07511680278928767,0.7768365930205358,0.7768365930205358,0.08145323884701706,0.08145323884701706,0.9177240011646292,0.9177240011646292,0.08401254319246859,0.08401254319246859,0.9768560487073088,0.9768560487073088
0.09,0.038008383436030996,0.038008383436030996,0.2689724022106252,0.2689724022106252,0.062029221903956,0.062029221903956,0.5605692909956996,0.5605692909956996,0.08037423756032092,0.08037423756032092,0.8376332582026181,0.8376332582026181,0.07897227938147967,0.07897227938147967,0.7653824141964358,0.7653824141964358,0.08603029094253985,0.08603029094253985,0.9131007162196567,0.9131007162196567,0.08889346115100283,0.08889346115100283,0.97551144320909,0.97551144320909
0.095,0.039334926468573464,0.039334926468573464,0.2616770414884352,0.2616770414884352,0.06481048069082958,0.06481048069082958,0.55196819529905,0.55196819529905,0.08455133034246122,0.08455133034246122,0.8332160422635102,0.8332160422635102,0.0827709083190871,0.0827709083190871,0.7540971232350353,0.7540971232350353,0.09058428500584755,0.09058428500584755,0.9085007222163156,0.9085007222163156,0.09376766072036578,0.09376766072036578,0.9741686885067862,0.9741686885067862
0.1,0.04062613263684101,0.04062613263684101,0.2548367179584148,0.2548367179584148,0.06754964366083745,0.06754964366083745,0.5437296663715602,0.5437296663715602,0.08870663792680543,0.08870663792680543,0.8289187531317306,0.8289187531317306,0.08651352785084938,0.08651352785084938,0.7429782297954564,0.7429782297954564,0.09511533711641493,0.09511533711641493,0.9039239019026112,0.9039239019026112,0.09863515113788199,0.09863515113788199,0.9728277820556798,0.9728277820556798
0.105,0.041884163411958386,0.041884163411958386,0.2484056649934248,0.2484056649934248,0.07024845101781227,0.07024845101781227,0.5358246109726391,0.5358246109726391,0.0928407383171499,0.0928407383171499,0.82473273011826,0.82473273011826,0.09020096378503693,0.09020096378503693,0.732023280496028,0.732023280496028,0.09962356279832557,0.09962356279832557,0.89937013858755,0.89937013858755,0.10349594163690137,0.10349594163690137,0.9714887213121483,0.9714887213121483
0.11,0.04311096675152352,0.04311096675152352,0.24234443749791024,0.24234443749791024,0.07290850617069601,0.07290850617069601,0.5282274459137193,0.5282274459137193,0.09695416871462066,0.09695416871462066,0.8206503242221265,0.8206503242221265,0.09383402980188393,0.09383402980188393,0.7212298579860845,0.7212298579860845,0.10410907698966039,0.10410907698966039,0.8948393161720603,0.8948393161720603,0.10835004143776493,0.10835004143776493,0.9701515037361528,0.9701515037361528
0.115,0.04430830634000236,0.04430830634000236,0.23661880547543213,0.23661880547543213,0.07553129192582564,0.07553129192582564,0.5209155393065247,0.5209155393065247,0.10104743018998541,0.10104743018998541,0.8166647393643374,0.8166647393643374,0.09741352756117758,0.09741352756117758,0.7105955806263292,0.7105955806263292,0.10857199419743693,0.10857199419743693,0.890331318992488,0.890331318992488,0.11319745974780457,0.11319745974780457,0.9688161267912383,0.9688161267912383
