t,light,neutral,heavy
0.005,462.8416123111071,1361.2988597385504,4991.429152374683
0.01,163.63922134024943,481.2918274713218,1764.7367007281796
0.015,89.0739098199927,261.9820877058609,960.6009882548229
0.02,57.85520153888839,170.1623574673188,623.9286440468354
0.025,41.39781231772956,121.75827152273399,446.4469955833578
0.03,31.492382830257917,92.62465538311152,339.62373640474215
0.035,24.991098011986942,73.50322944702042,269.5118413057415
0.04,20.45490266753118,60.16147843391523,220.59208759102245
0.045,17.142281937448413,50.41847628661298,184.86774638424754
0.05,14.636336908077277,43.048049729639054,157.84284900867647
0.055,12.686545168587443,37.313368142904245,136.81568319064885
0.06,11.134238727499088,32.747760963232615,120.07512353185287
0.065,9.874551275775865,29.042797869929014,106.49025885640636
0.07,8.835687436786808,25.987315990549433,95.28682529868124
0.075,7.96701269516759,23.432390279904673,85.91876435965045
0.08,7.231900192361048,21.27029468341485,77.99108050585443
0.085,6.6032693961587325,19.421380576937448,71.21172878210396
0.09,6.06071190149072,17.82562323967859,65.36061854548814
0.095,5.588586744957193,16.437019838109393,60.26907273973442
0.1,5.174726539716195,15.219783940341749,55.80587444791973
0.105,4.809539054854995,14.145703102514691,51.86757804255385
0.11,4.4853710592688065,13.192267821378842,48.37164867838907
0.115,4.1960498953166185,12.341323221519467,45.2515184789047
0.12,3.9365478537822396,11.57808192288894,42.45296705059277
0.125,3.702732898488856,10.8903908779084,39.931433218997455
0.13,3.4911810841376942,10.268179659228514,37.64999208383787
0.135,3.2990336970367657,9.703040285402253,35.577814379808245
0.14,3.1238872514983678,9.187903680877552,33.688980163217686
0.145,2.963707921397343,8.716788004109834,31.96155601506938
0.15,2.816764351276157,8.284601033165169,30.376870454938942
0.155,2.681574437732124,7.8869836403886,28.91894001475819
0.16,2.5568628334413974,7.5201848042394035,27.574010948877806
0.165,2.4415267560567684,7.180961047225789,26.330190506494553
0.17,2.3346082840127194,6.866494952978587,25.177148160921476
0.175,2.2352717594865075,6.57432870437208,24.105871916030953
0.18,2.1427852421810516,6.302309535826622,23.108468298030942
0.185,2.0565051985601297,6.04854470164744,22.17799723937394
0.19,1.9758637923042428,5.811364095012479,21.30833501504575
0.195,1.9003582790653193,5.589289056074469,20.494059872273045
0.2,1.8295421135096597,5.381006216204882,19.73035612608456
0.205,1.7630174573954478,5.1853454629277875,19.012933364068548
0.21,1.700428840034753,5.001261294219861,18.337958078806153
0.215,1.6414577713460814,4.827816974547298,17.70199557334009
0.22,1.5858181460734304,4.664171017863031,17.101960398831107
0.225,1.5332523080640577,4.509565611953111,16.535073910494734
0.23,1.4835276675877422,4.363316669375712,15.998827787710942
0.235,1.4364337839283288,4.224805246848026,15.490952571776091
0.24,1.391779840937386,4.093470120404077,15.009390441481608
0.245,1.3493924557175132,3.9688013403456273,14.552271581267295
0.25,1.3091137707219953,3.850334619770574,14.117893605825435
0.255,1.270799787801287,3.737646434709668,13.704703593935445
0.26,1.234318909471983,3.630349733741127,13.311282357050795
0.265,1.1995506582259274,3.5280901712527277,12.936330627926663
0.27,1.1663845492688116,3.430542791967093,12.578656903879338
0.275,1.134719095863322,3.3374091054803587,12.237166720094644
0.28,1.104460929598351,3.248414498818679,11.910853162335155
0.285,1.0755240205302035,3.1633059427358927,11.59878845669827
0.29,1.0478289843381745,3.0818499539358073,11.300116497764623
0.295,1.0213024654812155,3.0038307808271045,11.014046196366047
0.3,0.9958765868959487,2.929048784988084,10.739845544956307
0.305,0.9714884580889379,2.857318994379229,10.476836312723837
0.31,0.9480797345884441,2.7884698076130707,10.224389294581256
0.315,0.9255962226661834,2.7223418313711276,9.981920048360799
0.32,0.903987524045131,2.6587868354268562,9.748885063231803
0.325,0.8832067159976844,2.5976668117578954,9.524778309778947
0.33,0.8632100628280674,2.5388531259649043,9.30912812853798
0.335,0.8439567552391698,2.482225750703441,9.101494419245947
0.34,0.8254086745198416,2.427672572117181,8.901466097762995
0.345,0.8075301788647171,2.3750887613668152,8.70865879167832
0.35,0.7902879094638473,2.3243762043054335,8.52271274911992
0.355,0.7736506142812567,2.2754429831801666,8.343290938327275
0.36,0.75758898768634,2.2282029049598235,8.170077318186017
0.365,0.7420755243150504,2.182575071514854,8.00277526222113
0.37,0.7270843857236275,2.138483487422434,7.841106120548922
0.375,0.7125912785599415,2.095856701646887,7.684807906038583
0.38,0.6985733431196491,2.054627479763674,7.533634092466802
0.385,0.6850090512789873,2.014732503761727,7.387352513792997
0.39,0.6718781129055424,1.976112096781007,7.245744354863691
0.395,0.6591613899447089,1.938709970425614,7.108603224893916
0.4,0.6468408174645244,1.9024729925427186,6.975734305989966
0.405,0.6348993310166077,1.8673509735782579,6.846953569786943
0.41,0.623320799737293,1.8332964698155678,6.722087055990413
0.415,0.6120899646718533,1.8002646019760389,6.600970207245474
0.42,0.6011923818568744,1.7682128878143364,6.4834472553192315
0.425,0.5906143697421967,1.7371010874770492,6.369370654082512
0.43,0.5803429605750857,1.706891060514958,6.258600555221511
0.435,0.5703658554060609,1.6775466335472378,6.1510043230065365
0.44,0.5606713824086008,1.6490334776723552,6.046456084798634
0.445,0.5512484582342686,1.6213189948066722,5.94483631429113
0.45,0.5420865521510103,1.594372212208854,5.846031444765796
0.455,0.5331756527358882,1.5681636845173181,5.749933509896832
0.46,0.5245062369145773,1.5426654026899334,5.6564398098630875
0.465,0.516069241158887,1.517850709290844,5.565452600733093
0.47,0.5078560346705866,1.4936942196193723,5.47687880527103
0.475,0.49985839439514257,1.4701717482210075,5.390629743477026
0.48,0.49206848172277995,1.4472602403611174,5.306620881324096
0.485,0.4844788207467462,1.4249377080786654,5.224771596288438
0.49,0.47708227795991087,1.4031831704703261,5.145004958391194
0.495,0.4698720432810165,1.3819765978853427,5.067247525579589
0.5,0.462841612311107,1.36129885973855,4.991429152374682
0.505,0.455984769729015,1.3411316756735736,4.917482810803102
0.51,0.44929557374235796,1.3214575698304647,4.845344422711702
0.515,0.4427683415173793,1.3022598279922921,4.774952702638403
0.52,0.4363976355172118,1.2835224574035642,4.706249010479734
0.525,0.4301782506838344,1.2652301490701012,4.639177213257036
0.53,0.42410520240416993,1.2473682423652057,4.573683555339086
0.535,0.41817371520548957,1.2299226917808517,4.509716536529788
0.54,0.4123792121295957,1.2128800356752816,4.447226797476031
0.545,0.406717304739189,1.1962273668799677,4.386167011893213
0.55,0.40118378371341157,1.1799523050394458,4.326491785144633
0.555,0.39577460999285174,1.164042970567211,4.26815755874644
0.56,0.39048590643729597,1.148487960109694,4.211122520402211
0.5650000000000001,0.3853139499622733,1.133276323418451,4.155346519200986
0.5700000000000001,0.380255164122963,1.1183975415381264,4.100790985639796
0.5750000000000001,0.37530611211635345,1.103841506224569,4.047418856156752
0.58,0.3704634901746679,1.0895985005137292,3.9951945018836725
0.585,0.3657241213250321,1.0756591803677416,3.9440836613483845
0.59,0.36108494949215364,1.0620145573298638,3.894053376876166
0.595,0.35654303392244197,1.0486559821248294,3.8450719344577067
0.6,0.35209554390951964,1.035575129145646,3.7971088068673677
0.605,0.3477397538024847,1.0227639817720138,3.750134599830716
0.61,0.3434730382795755,1.0102148184693396,3.704121001054244
0.615,0.3392928678710905,0.9979201996208543,3.6590407319431315
0.62,0.3351968047165155,0.985872955048575,3.6148675018447736
0.625,0.33118249854183646,0.974066172181872,3.5715759646668626
0.63,0.32724768284395583,0.9624931848351643,3.5291416777289344
0.635,0.323390171270008,0.9511475625588472,3.487541062715772
0.64,0.3196078541801747,0.9400231005299254,3.4467513686097258
0.645,0.31589869538335436,0.9291138099510423,3.406750636487154
0.65,0.3122607290357319,0.9184139089286231,3.367517666071617
0.655,0.30869205669293864,0.9079178138027607,3.329031983943455
