delta_t,global_error1,global_error2,global_error3
0.001,0.006652066752235617,5.375898737546159e-06,7.726568757046144e-08
0.012,0.08180263347500812,0.0007724393061872767,9.251388778574521e-06
0.023000000000000003,0.1604307603123179,0.0028297721358565746,6.209205630895884e-05
0.034,0.24363566546670054,0.006192453968719519,0.00019639346365670713
0.045000000000000005,0.33034347261911995,0.010837109830002342,0.0004483356645018811
0.05600000000000001,0.42014774566956187,0.016735638015325162,0.0008523332924225491
0.067,0.5165874914829994,0.02401597413148862,0.001450240671092498
0.07800000000000001,0.6167794616921389,0.032578733299389706,0.0022722315739658323
0.08900000000000001,0.7198945559237135,0.0423697758685985,0.0033454730961559763
0.1,0.8203408765939196,0.05306952521311158,0.004678944274238629
