t,first_x,first_z,first_xdot,first_zdot,second_x,second_z,second_xdot,second_zdot,third_x,third_z,third_xdot,third_zdot
0.0,1.0,0.0,,,1.0,0.0,,,1.0,0.0,,
0.01,1.0,0.01,,,1.0,0.01,,,1.0,0.01,,
0.02,0.9999212149836115,0.02,,,0.9998818224754172,0.02,,,0.9998818224754172,0.02,,
0.03,0.9997605339985075,0.029999244269460375,,,0.9996797384997574,0.02999830130252984,,,0.9996783158790106,0.02999782944212146,,
0.04,0.999516237110301,0.03999696765783707,,,0.9993931588154423,0.03999431265286518,,,0.9993911689321231,0.03999351489269638,,
0.05,0.9991870592909409,0.0499923959741669,,,0.9990209595214419,0.049987249427364794,,,0.9990184626878744,0.04998611739833056,,
0.06,0.9987719970529828,0.05998474697925808,,,0.9985623112129658,0.05997632120025958,,,0.9985594724362802,0.059974852453000334,,
0.07,0.9982702221285241,0.06997323114203324,,,0.9980164897157094,0.06996073030932336,,,0.9980133704552856,0.06995891762987907,,
0.08,0.9976810342746596,0.07995705227273645,,,0.9973828772042296,0.07993967339622865,,,0.9973795417642998,0.07993751288281253,,
0.09,0.9970038322018138,0.08993540807024426,,,0.9966609378317713,0.08991234157839845,,,0.9966574302794531,0.08990982850664378,,
0.1,0.9962380942140537,0.09990749060535535,,,0.9958502045280982,0.09987792094825551,,,0.9958465631074368,0.09987505151052235,,
0.11,0.995383364584028,0.10987248675427083,,,0.9949502683606434,0.10983559294242914,,,0.9949465244704617,0.10983236349704983,,
0.12,0.9944392435586358,0.11982957859212724,,,0.9939607705870459,0.11978453470035771,,,0.9939569515229609,0.11978094203298686,,
0.13,0.9934053797879898,0.1297779437537482,,,0.9928813964414057,0.12972391939178873,,,0.9928775260655011,0.12971996058283033,,
0.14,0.9922814644401833,0.13971675576700593,,,0.9917118702076559,0.13965291652267556,,,0.9917079698191901,0.13964858897029436,,
0.15,0.9910672265286663,0.1496451843629612,,,0.9904519512419976,0.1495706922214659,,,0.9904480400693364,0.14956599360922465,,
