light_t,light_xdot,neutral_t,neutral_xdot,heavy_t,heavy_xdot,light_t_history,light_xdot_history,neutral_t_history,neutral_xdot_history,heavy_t_history,heavy_xdot_history,light_t_asymp,light_xdot_asymp,neutral_t_asymp,neutral_xdot_asymp,heavy_t_asymp,heavy_xdot_asymp
0,1,0,1,0,1,0,1,0,1,0,1,0.0742688524590194,7.89104464410167,0.16057704918033,8.02213578625218,0.360655737704921,9.05681811320124
0.0925901639344278,0.771048510892306,0.188904918032788,0.91489498578195,0.127186885245904,1.01354539113403,0.0162150819672156,0.600400618855339,0.0491803278688541,0.700977875555052,0.032786885245903,0.972011015478185,0.126583606557379,3.8019452259949,0.213114754098362,5.27632877468787,0.477849180327871,5.80300860553051
0.322950819672133,0.40635248230099,0.551501639344264,0.591141026867477,0.619488524590166,0.880087949169651,0.0491803278688541,0.397000204634732,0.16057704918033,0.535052842280003,0.19457049180328,0.827073029209504,0.18032786885246,2.38032342807544,0.279554098360657,3.49798447493479,0.606557377049182,3.9726238647468
0.585495081967215,0.190535215128892,0.993416393442624,0.398276874883288,1.11239344262295,0.770681376422565,0.109586885245903,0.273231298416674,0.295081967213117,0.38053859004374,0.368852459016395,0.721463609556584,0.228563934426232,1.61755223763375,0.36065573770492,2.3808318972517,0.78945573770492,2.724458347902
0.832852459016396,0.0896391145295462,1.38434098360656,0.27249441922157,1.58830163934426,0.676758873444287,0.188524590163937,0.18961590161872,0.500511475409838,0.287120943306826,0.568498360655739,0.635787472038509,0.286885245901641,1.12080559630847,0.466518032786887,1.67461143517569,0.918032786885249,2.12634011676301
1.07900327868852,0.0446893898842234,1.82625573770492,0.167290257210641,2.03871475409836,0.618191167403234,0.313547540983608,0.137732161760301,0.672131147540985,0.234809744969285,0.770491803278691,0.574983792105516,0.373036065573772,0.795547224756804,0.590163934426231,1.10538472479597,1.04098360655738,1.74291507448912
1.31635409836066,0.0215670731304521,2.31066229508197,0.100568665288699,2.54436721311475,0.508841946108559,0.45081967213115,0.102938439945359,0.874439344262297,0.196696492587459,0.942426229508198,0.535835630214988,0.467213114754101,0.527791702334415,0.772459016393444,0.780820900162139,1.19171147540984,1.46786830945801
1.57130491803279,0.0102348706535284,2.71008524590164,0.0689597095419859,3.05001967213115,0.454434804190711,0.636485245901641,0.0794996324047193,1.04098360655738,0.167015857482771,1.31635409836066,0.463860695252612,0.58209573770492,0.371444135588972,0.959016393442625,0.558993684723446,1.34426229508197,1.20486504922616
1.82625573770492,0.00482851412321927,3.05001967213115,0.0515508234410696,3.54292459016393,0.396548732572248,0.819672131147542,0.0635171170465987,1.24836721311476,0.143956536674943,1.69028196721312,0.408061271867515,0.688524590163936,0.282469436307434,1.11475409836066,0.439085142362128,1.47540983606557,1.03063440156189
2.08120655737705,0.00231177015977322,3.54292459016393,0.0294598071463546,4.03582950819672,0.347496246631433,1.0104131147541,0.0525041744103122,1.62229508196721,0.115200414721609,2.06420983606557,0.360902969854368,0.821021077283374,0.211521030132498,1.26196459016394,0.354620005997575,1.60529836065574,0.916431154555038
2.3191606557377,0.00113153256677005,3.97269882903981,0.0202596495710473,4.51173770491803,0.305147075809786,1.19672131147541,0.0451789969932789,1.99622295081967,0.0940177878951751,2.43813770491803,0.322633959724052,0.9672131147541,0.176771040340419,1.45081967213115,0.295040821688341,1.81967213114754,0.733049963060592
2.57411147540983,0.000539359342172255,4.47774426229508,0.0117058157195058,4.98764590163934,0.267958974457714,1.38434098360656,0.0393290500255955,2.37015081967213,0.079449887659184,2.81206557377049,0.291530666978198,1.1463868852459,0.14157133887337,1.60529836065574,0.24688792228275,2.03871475409836,0.618191167403234
2.81206557377049,0.000262833434351352,4.82747068676724,0.00816775308863001,5.48055081967213,0.233826262255152,1.57377049180328,0.034996082306332,2.74407868852459,0.0680447664982875,3.18599344262295,0.264132626832233,1.34426229508197,0.112221019282173,1.81967213114754,0.20985711573915,2.26229508196721,0.536486494805413
3.06701639344262,0.000125098400654415,5.2256,0.00557063876569178,5.97345573770491,0.204902302853076,1.75826885245902,0.0310817745571949,3.11800655737705,0.0595881520569409,3.55992131147541,0.241240802143214,1.5611068852459,0.0919765494169721,2.01321967213115,0.17730038591773,2.48699016393443,0.466970227740143
3.32196721311475,5.91919850936493E-05,5.65051803278688,0.00363006208200835,6.44936393442623,0.179930975221796,2.13219672131147,0.0255712937535473,3.49193442622951,0.051818939233434,3.93384918032787,0.222707079450222,1.78688524590164,0.0733021495861929,2.21311475409836,0.155774533093025,2.69672131147541,0.403948010884865
3.57691803278688,2.80487849345993E-05,6.09243278688524,0.00235726301119951,6.94226885245901,0.157342193381549,2.50612459016393,0.0215512429962047,3.86586229508196,0.0460766470266315,4.30777704918033,0.202318437971088,2.01321967213115,0.0604657829682093,2.45513442622951,0.13308741916906,2.92537704918033,0.368496373900906
3.81487213114754,1.37289226083538E-05,6.51735081967213,0.00153824892690221,7.4351737704918,0.138169770953467,2.88005245901639,0.0185567124073223,4.23979016393442,0.0413013385414809,4.68170491803278,0.186275220333286,2.24590163934426,0.0506826136493534,2.66393442622951,0.117292858706941,3.14754098360656,0.331236070544581
3.95644891122278,8.9716687980212E-06,6.94226885245901,0.000998876662941387,7.91108196721311,0.11930478059698,3.25398032786885,0.0161937687159998,4.61371803278688,0.037219853428231,5.05563278688524,0.17196431916084,2.48346229508197,0.0445059670354684,2.92537704918033,0.101635531894472,3.37295737704918,0.294954355378003
