t_numerical,q01,q02,q03,x1,z1,x2,z2,x3,z3
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9998794512250864,1.0,1.0003217588624533,0.03305816650390625,0.03309059143066406,0.0093231201171875,0.0093231201171875,0.00383758544921875,0.0042877197265625
2.0,0.9990790459051295,1.0,1.0005060230703466,0.03415923345369242,0.031096937134861946,0.00960666051042687,0.00960666051042687,0.003932983475036989,0.005135433282703161
3.0,0.9987317155873097,1.0,1.000588532696329,0.03463703379318871,0.027952583506703377,0.009732886149518609,0.009732886149518609,0.003975700698960842,0.006050319876521826
4.0,0.9985263100236296,1.0,1.0006379237283436,0.0349195972292769,0.024377616122364998,0.009808271464328265,0.009808271464328265,0.004001271627798163,0.007010058034211397
5.0,0.9983867342429132,1.0,1.0006717059235757,0.035111602798566836,0.020539911463856697,0.009859768167109892,0.009859768167109892,0.0040187614852675215,0.008002862799912691
6.0,0.9982839804759914,1.0,1.000696678334808,0.03525295465356646,0.0165341068059206,0.009897805168951092,0.009897805168951092,0.004031690305023528,0.009020284283906221
7.0,0.9982042677678103,1.0,1.0007161058682723,0.035362610382103914,0.012408630922436714,0.009927380168540466,0.009927380168540466,0.004041748407791385,0.010056198108941317
8.0,0.9981400998483397,1.0,1.000731777153423,0.035450882128037514,0.008207188919186592,0.009951227336959962,0.009951227336959962,0.004049861810166494,0.011105347890406847
9.0,0.9980870032789835,1.0,1.000744764996615,0.03552392371752721,0.003931151703000069,0.009970984999087764,0.009970984999087764,0.004056585929856099,0.012168091256171465
10.0,0.998042121560747,1.0,1.00075575705724,0.03558566465733769,-0.000401986762881279,0.009987702528405432,0.009987702528405432,0.004062276784833653,0.013241511303931475
