t,e_abs,e_rel,order
0.0,6.894341957538586e-16,6.894341957538589e-16,1
0.01,2.81243031247508e-07,2.812399819831537e-07,1
0.02,5.743107794852605e-07,5.742872893911121e-07,1
0.03,4.233067441146094e-05,4.232694933808083e-05,1
0.04,8.491809036730773e-05,8.490529594835613e-05,1
0.05,0.0001281628927649114,0.0001281337017790364,1
0.06,0.00017195465469754402,0.00017189991323166159,1
0.07,0.0002162143090742206,0.00021612315009606536,1
0.08,0.0002608817888735321,0.00026074173210679065,1
0.09,0.00030590962756346613,0.00030570666893578116,1
0.1,0.00035125923747539247,0.0003509779302545641,1
0.11,0.0003968985692445119,0.0003965220983304384,1
0.12,0.00044280055306066847,0.00044231080350412604,1
0.13,0.0004889420137870237,0.0004883196343477357,1
0.14,0.0005353028889176993,0.0005345273512968255,1
0.15,0.0005818656484303755,0.0005809153026861495,1
0.16,0.0006286148540054838,0.0006274669805676733,1
0.17,0.0006755368172966124,0.0006741676759251506,1
0.18,0.0007226193303450512,0.0007210042063238459,1
0.19,0.0007698514496972139,0.000767964697511302,1
0.2,0.0008172233212195158,0.0008150384059294718,1
0.21,0.0008647260362808697,0.000862215572780512,1
0.22,0.0009123515124616702,0.0009094873027821783,1
0.23,0.0009600923936702263,0.0009568454624747613,1
0.24,0.0010079419658246672,0.001004282594221525,1
0.25,0.001055894085121736,0.0010517918429105144,1
0.26,0.0011039431165987487,0.001099366893052388,1
0.27,0.0011520838811813943,0.0011470019144569524,1
0.28,0.0012003116097743403,0.0011946915150367224,1
0.29,0.0012486219032535187,0.0012424306995888056,1
0.3,0.0012970106974287,0.0012902148336170986,1
0.31,0.0013454742322162227,0.0013380396114288388,1
0.32,0.0013940090244095515,0.0013859010278879694,1
0.33,0.0014426118435215524,0.001433795353294666,1
0.34,0.0014912796902851683,0.0014817191109735353,1
0.35,0.001540009777447718,0.0015296690572020582,1
0.36,0.0015887995125633536,0.0015776421631804622,1
0.37,0.0016376464825213245,0.0016256355987777345,1
0.38,0.0016865484396103064,0.001673646717851214,1
0.39,0.0017355032889155861,0.0017216730449342028,1
0.4,0.0017845090769055168,0.001769712263145681,1
0.41,0.0018335639810676363,0.00181776220318048,1
0.42,0.0018826663004712135,0.0018658208332548352,1
0.43,0.0019318144471643615,0.0019138862499136708,1
0.44,0.0019810069383051103,0.0019619566695974924,1
0.45,0.002030242388963829,0.002010030420904712,1
0.46,0.0020795195055126475,0.0020581059374638246,1
0.47,0.0021288370795562433,0.002106181751368434,1
0.48,0.002178193982339101,0.0021542564871091883,1
0.49,0.002227589159599168,0.002202328855971311,1
0.5,0.002277021626805,0.0022503976508340233,1
0.51,0.0023264904647592455,0.0022984617413535926,1
0.52,0.002375994815525039,0.0023465200694857986,1
0.53,0.002425533878651191,0.002394571645322853,1
0.54,0.00247510690766579,0.002442615543213654,1
0.55,0.002524713206819226,0.002490650898147641,1
0.56,0.002574352128052163,0.0025386769023771284,1
0.5700000000000001,0.0026240230681728108,0.00258669280226182,1
0.58,0.0026737254662236145,0.002634697895315045,1
0.59,0.0027234588010253066,0.002682691527439079,1
0.6,0.0027732225888784635,0.0027306730903292244,1
0.61,0.0028230163814184843,0.0027786420190419837,1
0.62,0.0028728397636031268,0.0028265977897060923,1
