delta_t,global_error1,global_error2,global_error3
0.001,0.006652066752234319,5.375898726583975e-06,7.72656890312872e-08
0.012,0.08180263347500769,0.0007724393061791737,9.25138877878165e-06
0.023000000000000003,0.16043076031231648,0.00282977213584866,6.209205630997237e-05
0.034,0.24363566546669946,0.006192453968711545,0.00019639346365730754
0.045000000000000005,0.3303434726191189,0.01083710982999119,0.0004483356645021782
0.05600000000000001,0.4201477456695609,0.016735638015316738,0.0008523332924229014
0.067,0.5165874914829988,0.024015974131480607,0.0014502406710926682
0.07800000000000001,0.6167794616921384,0.03257873329938177,0.002272231573965756
0.08900000000000001,0.7198945559237127,0.04236977586859015,0.0033454730961562586
0.1,0.8203408765939194,0.0530695252131006,0.004678944274238017
