t,x,z,history_x,history_z,delta_t
0.0,0.9999999999999997,5.273559366969494e-16,0.0,0.0,0.001
0.001,0.9999996194872858,0.0009999998749441463,-0.01859126044203396,-8.65854923518298e-07,0.001
0.002,0.999998469114602,0.001999998999112698,-0.033610825739563525,-2.8467932340636425e-06,0.001
0.003,0.9999965405186853,0.0029999966205609963,-0.032477224100026986,-5.780265772593488e-06,0.001
0.004,0.9999938276595358,0.003999991986115239,-0.03692886205503736,-9.952132796057502e-06,0.001
0.005,0.9999903255930409,0.0049999843414120365,-0.040681669593309176,-1.5187940151486723e-05,0.001
0.006,0.9999860300606305,0.005999972930930388,-0.04395866036281501,-2.1464408745329145e-05,0.001
0.007,0.9999809372860805,0.006999956998020029,-0.04687873820386472,-2.8749880916459192e-05,0.001
0.008,0.9999750438566324,0.007999935784925319,-0.04951910924432744,-3.7016605451013685e-05,0.001
0.009000000000000001,0.9999683466462024,0.008999908532807924,-0.05193286338268596,-4.62394480934253e-05,0.001
0.01,0.9999608427623173,0.00999987448176709,-0.05415834950281648,-5.639533590877743e-05,0.001
0.011,0.999952529507621,0.010999832870858532,-0.056224336058371016,-6.746289467246313e-05,0.001
0.012,0.9999434043508935,0.01199978293811272,-0.05815305726952025,-7.942218579711895e-05,0.001
0.013000000000000001,0.9999334649045852,0.012999723920550849,-0.05996211614114766,-9.225450570509098e-05,0.001
0.014,0.9999227089069753,0.013999655054201407,-0.06166572892164379,-0.00010594222794457699,0.001
0.015,0.9999111342077349,0.01499957557411416,-0.06327556998980621,-0.00012046867603280546,0.001
0.016,0.9998987387560372,0.015999484714375636,-0.06480136369471112,-0.00013581801913215783,0.001
0.017,0.9998855205906347,0.016999381708121514,-0.06625131007729518,-0.00015197518531342432,0.001
0.018000000000000002,0.9998714778314772,0.01799926578755115,-0.067632398152638,-0.00016892578834985247,0.001
0.019,0.9998566086725507,0.018999136183939044,-0.06895064105363996,-0.00018665606524615526,0.001
0.02,0.9998409113757024,0.01999899212764683,-0.0702112556120712,-0.00020515282263247365,0.001
0.021,0.9998243842652784,0.020998832848136292,-0.07141880162483427,-0.0002244033901273025,0.001
0.022,0.9998070257234248,0.021998657573979397,-0.07257729134085189,-0.00024439557949254337,0.001
0.023,0.999788834185946,0.022998465532869355,-0.07369027659674898,-0.0002651176488465694,0.001
0.024,0.999769808138634,0.023998255951631686,-0.07476091893433678,-0.0002865582708091428,0.001
0.025,0.9997499461139913,0.024998028056234745,-0.07579204659127659,-0.0003087065041709981,0.001
0.026000000000000002,0.9997292466882972,0.02599778107179855,-0.07678620124675006,-0.00033155176861621605,0.001
0.027,0.9997077084789701,0.026997514222605698,-0.07774567668500953,-0.000355083821822428,0.001
0.028,0.9996853301421709,0.02799722673210979,-0.0786725510199826,-0.00037929273893591857,0.001
0.029,0.9996621103706455,0.02899691782294571,-0.07956871374358043,-0.0004041688938840387,0.001
0.03,0.9996380478917453,0.029996586716937695,-0.08043588857775785,-0.0004297029423663934,0.001
0.031,0.9996131414656246,0.03099623263510841,-0.08127565289854022,-0.00045588580637368837,0.001
0.032,0.9995873898835903,0.03199585479768814,-0.08208945433948567,-0.00048270865997385995,0.001
0.033,0.9995607919665788,0.03299545242412141,-0.08287862505872434,-0.0005101629162826541,0.001
0.034,0.9995333465637563,0.033995024733077195,-0.08364439405868396,-0.0005382402154204117,0.001
0.035,0.9995050525512262,0.03499457094245585,-0.08438789787328016,-0.0005669324134452394,0.001
0.036000000000000004,0.9994759088308298,0.0359940902693969,-0.0851101898788984,-0.0005962315720724372,0.001
0.037,0.9994459143290318,0.03699358193028694,-0.08581224843937196,-0.0006261299491694787,0.001
0.038,0.9994150679958866,0.03799304514076754,-0.08649498405828404,-0.0006566199899028938,0.001
0.039,0.9993833688040721,0.03899247911574143,-0.08715924568220856,-0.0006876943184828468,0.001
0.04,0.9993508157479908,0.039991883069381326,-0.08780582627468236,-0.0007193457304803079,0.001
0.041,0.9993174078429246,0.04099125621513566,-0.08843546776122024,-0.0007515671856730567,0.001
0.042,0.9992831441242438,0.04199059776573637,-0.08904886542977075,-0.0007843518012802184,0.001
0.043000000000000003,0.9992480236466688,0.0429899069332052,-0.08964667185802955,-0.0008176928455991724,0.001
0.044,0.9992120454835717,0.04398918292886128,-0.09022950042811728,-0.0008515837321693429,0.001
0.045,0.9991752087263179,0.04498842496332643,-0.09079792848030777,-0.0008860180141981294,0.001
0.046,0.9991375124836499,0.04598763224653256,-0.0913525001499842,-0.0009209893792267347,0.001
0.047,0.9990989558811039,0.046986803987728476,-0.09189372892571335,-0.0009564916442076563,0.001
0.048,0.9990595380604534,0.047985939395484734,-0.09242209996118045,-0.0009925187508563697,0.001
0.049,0.9990192581791937,0.04898503767770136,-0.09293807216919303,-0.0010290647612152728,0.001
0.05,0.9989781154100412,0.049984098041612884,-0.09344208012232214,-0.0010661238534464285,0.001
0.051000000000000004,0.9989361089404662,0.050983119693794654,-0.09393453578145583,-0.0011036903178852225,0.001
0.052000000000000005,0.9988932379722475,0.05198210184016934,-0.09441583007088572,-0.0011417585532649075,0.001
0.053,0.9988495017210512,0.05298104368601167,-0.09488633431618898,-0.0011803230631192256,0.001
0.054,0.9988048994160228,0.05397994443595511,-0.09534640155921248,-0.0012193784524562358,0.001
0.055,0.9987594302994071,0.054978803293996875,-0.0957963677626974,-0.001258919424461713,0.001
0.056,0.9987130936261825,0.05597761946350395,-0.09623655291560063,-0.0012989407773986075,0.001
0.057,0.9986658886637108,0.056976392147218335,-0.09666726204893905,-0.0013394374017662702,0.001
0.058,0.9986178146914061,0.05797512054726302,-0.09708878617077721,-0.0013804042774314702,0.001
0.059000000000000004,0.9985688710004148,0.05897380386514611,-0.0975014031280872,-0.0014218364709692923,0.001
0.06,0.9985190568933118,0.05997244130176768,-0.09790537840232938,-0.0014637291331360252,0.001
0.061,0.9984683716838106,0.06097103205742377,-0.09830096584481396,-0.0015060774963519472,0.001
0.062,0.9984168146964842,0.06196957533181216,-0.09868840835731651,-0.0015488768724629294,0.001
0.063,0.9983643852664962,0.0629680703240371,-0.09906793852287876,-0.0015921226504636912,0.001
0.064,0.9983110827393469,0.06396651623261473,-0.09943977919106262,-0.001635810294327654,0.001
0.065,0.9982569064706257,0.0649649122554779,-0.09980414402167836,-0.0016799353409963844,0.001
0.066,0.9982018558257771,0.0659632575899809,-0.10016123799049836,-0.0017244933983842706,0.001
0.067,0.9981459301798712,0.06696155143290423,-0.10051125786008797,-0.001769480143491535,0.001
0.068,0.9980891289173865,0.06795979298045991,-0.10085439261869533,-0.001814891320589384,0.001
0.069,0.998031451432003,0.06895798142829566,-0.10119082388977851,-0.0018607227394685198,0.001
0.07,0.9979728971263968,0.06995611597150014,-0.10152072631452658,-0.0019069702737377313,0.001
0.07100000000000001,0.9979134654120465,0.07095419580460685,-0.10184426790949885,-0.001953629859254402,0.001
0.07200000000000001,0.9978531557090471,0.07195222012159931,-0.1021616104013261,-0.002000697492556481,0.001
0.073,0.9977919674459278,0.07295018811591544,-0.1024729095402197,-0.0020481692293219597,0.001
0.074,0.9977299000594799,0.07394809898045174,-0.10277831539395876,-0.002096041182963731,0.001
0.075,0.9976669529945867,0.0749459519075685,-0.10307797262376273,-0.00214430952324007,0.001
0.076,0.9976031257040623,0.07594374608909292,-0.10337202074334773,-0.0021929704748662356,0.001
0.077,0.9975384176484956,0.07694148071632478,-0.10366059436248065,-0.0022420203162649283,0.001
0.078,0.997472828296096,0.07793915498003988,-0.10394382341611452,-0.0022914553783284844,0.001
0.079,0.9974063571225511,0.07893676807049436,-0.1042218333801257,-0.0023412720431504955,0.001
0.08,0.9973390036108825,0.07993431917742974,-0.10449474547453264,-0.0023914667428888148,0.001
0.081,0.9972707672513093,0.08093180749007566,-0.1047626768551746,-0.0024420359586376852,0.001
0.082,0.9972016475411163,0.08192923219715531,-0.10502574079459848,-0.0024929762193215965,0.001
0.083,0.9971316439845235,0.08292659248688868,-0.10528404685279646,-0.0025442841006823383,0.001
0.084,0.9970607560925644,0.08392388754699737,-0.10553770103862048,-0.0025959562242067816,0.001
0.085,0.996988983382965,0.08492111656470742,-0.10578680596238588,-0.0026479892561387525,0.001
0.08600000000000001,0.996916325380026,0.08591827872675471,-0.10603146098025595,-0.002700379906542573,0.001
0.08700000000000001,0.9968427816145087,0.08691537321938773,-0.10627176233097924,-0.0027531249283757955,0.001
0.088,0.9967683516235293,0.08791239922837231,-0.10650780326540588,-0.0028062211165805206,0.001
0.089,0.9966930349504465,0.08890935593899454,-0.10673967416930674,-0.0028596653072201286,0.001
0.09,0.9966168311447625,0.08990624253606588,-0.10696746267984958,-0.0029134543765920173,0.001
0.091,0.996539739762021,0.09090305820392536,-0.10719125379616123,-0.0029675852404269024,0.001
0.092,0.9964617603637085,0.09189980212644533,-0.10741112998435431,-0.0030220548531552233,0.001
0.093,0.9963828925171622,0.09289647348703288,-0.10762717127725185,-0.003076860207032482,0.001
0.094,0.9963031357954744,0.09389307146863561,-0.10783945536928563,-0.003131998331435258,0.001
0.095,0.996222489777407,0.09488959525374412,-0.10804805770670534,-0.0031874662921546823,0.001
0.096,0.996140954047299,0.09588604402439563,-0.10825305157345877,-0.0032432611906377043,0.001
0.097,0.9960585281949872,0.09688241696217825,-0.1084545081730175,-0.0032993801633195985,0.001
0.098,0.9959752118157212,0.09787871324823424,-0.10865249670625765,-0.0033558203809597176,0.001
0.099,0.9958910045100811,0.09887493206326288,-0.10884708444570279,-0.0034125790479916165,0.001
0.1,0.9958059058839039,0.0998710725875254,-0.10903833680635522,-0.003469653401872913,0.001
0.101,0.9957199155482036,0.10086713400084714,-0.10922631741331212,-0.003527040712493143,0.001
0.10200000000000001,0.9956330331190992,0.10186311548262171,-0.10941108816625089,-0.003584738281523739,0.001
0.10300000000000001,0.9955452582177413,0.10285901621181412,-0.10959270930099319,-0.0036427434418653537,0.001
0.10400000000000001,0.9954565904702424,0.10385483536696422,-0.10977123944837341,-0.0037010535571271597,0.001
0.105,0.9953670295076067,0.10485057212619064,-0.10994673569053237,-0.0037596660210115623,0.001
0.106,0.9952765749656666,0.10584622566719296,-0.11011925361461739,-0.0038185782567495413,0.001
0.107,0.9951852264850137,0.10684179516725614,-0.11028884736437128,-0.0038777877166183417,0.001
0.108,0.9950929837109386,0.10783727980325353,-0.110455569689214,-0.0039372918814550295,0.001
0.109,0.9949998462933652,0.10883267875164972,-0.11061947199148214,-0.003997088260112733,0.001
0.11,0.9949058138867926,0.10982799118850399,-0.1107806043716204,-0.004057174388971907,0.001
0.111,0.9948108861502356,0.11082321628947389,-0.11093901567138342,-0.00411754783148835,0.001
0.112,0.9947150627471675,0.1118183532298185,-0.1110947535153528,-0.004178206177695362,0.001
0.113,0.9946183433454615,0.11281340118440084,-0.11124786435060852,-0.004239147043783892,0.001
0.114,0.9945207276173372,0.11380835932769118,-0.11139839348501379,-0.004300368071690611,0.001
0.115,0.9944222152393069,0.11480322683377119,-0.11154638512377524,-0.004361866928589878,0.001
0.116,0.9943228058921243,0.11579800287633625,-0.11169188240452854,-0.004423641306479542,0.001
0.117,0.994222499260729,0.11679268662869823,-0.11183492743109547,-0.004485688921848974,0.001
0.11800000000000001,0.9941212950342008,0.11778727726378911,-0.11197556130595565,-0.004548007515236291,0.001
0.11900000000000001,0.994019192905707,0.11878177395416409,-0.1121138241613302,-0.00461059485079586,0.001
0.12,0.9939161925724584,0.11977617587200413,-0.11224975518914793,-0.00467344871595117,0.001
0.121,0.9938122937356593,0.12077048218911983,-0.1123833926698401,-0.004736566921035523,0.001
0.122,0.9937074961004606,0.12176469207695287,-0.11251477400001608,-0.0047999472989138925,0.001
0.123,0.99360179937592,0.12275880470658082,-0.11264393571904918,-0.00486358770459247,0.001
0.124,0.9934952032749513,0.12375281924871859,-0.11277091353479651,-0.004927486014918159,0.001
0.125,0.9933877075142874,0.12474673487372241,-0.11289574234831168,-0.004991640128214972,0.001
0.126,0.9932793118144345,0.12574055075159207,-0.11301845627748897,-0.00505604796394446,0.001
0.127,0.9931700158996314,0.12673426605197408,-0.1131390886800192,-0.005120707462390614,0.001
0.128,0.9930598194978113,0.12772787994416457,-0.11325767217554716,-0.005185616584324898,0.001
0.129,0.99294872234056,0.12872139159711216,-0.11337423866685281,-0.00525077331072199,0.001
0.13,0.9928367241630767,0.12971480017942005,-0.11348881936030786,-0.005316175642418874,0.001
0.131,0.9927238247041401,0.13070810485935103,-0.11360144478576917,-0.005381821599829917,0.001
0.132,0.9926100237060654,0.13170130480482706,-0.11371214481557068,-0.005447709222668268,0.001
0.133,0.9924953209146732,0.13269439918343442,-0.1138209486829167,-0.005513836569632252,0.001
0.134,0.9923797160792501,0.1336873871624264,-0.11392788499979911,-0.0055802017181349195,0.001
0.135,0.9922632089525165,0.13468026790872462,-0.11403298177398291,-0.005646802764024406,0.001
0.136,0.9921457992905895,0.135673040588923,-0.11413626642563734,-0.005713637821354062,0.001
0.137,0.9920274868529528,0.13666570436929,-0.11423776580334,-0.005780705022061378,0.001
0.138,0.9919082714024203,0.13765825841577123,-0.11433750619948047,-0.005848002515715489,0.001
