t,first_x,first_z,first_xdot,first_zdot,second_x,second_z,second_xdot,second_zdot,third_x,third_z,third_xdot,third_zdot
0.0,1.0,0.0,,,1.0,0.0,,,1.0,0.0,,
0.01,0.9999608440703897,0.0100352115052725,,,0.9999605648258639,0.010035208868377799,,,0.9999605647119035,0.01003520885264169,,
0.02,0.9998414835573748,0.019999002818023203,,,0.9998409134343678,0.01999899219718483,,,0.9998409132806673,0.019998992165224265,,
0.03,0.9996803668282335,0.029997492813520824,,,0.9996389181814737,0.0299969089838458,,,0.9996379244554274,0.029996593959943547,,
0.04,0.9994356957606383,0.03999445565612168,,,0.9993522129533834,0.039992534045889046,,,0.9993504594747841,0.03999189834399672,,
0.05,0.9991061843699021,0.049989119051916976,,,0.9989799081288929,0.049985083036614204,,,0.9989776573196939,0.04998411367789016,,
0.06,0.998690821269648,0.059980701457181027,,,0.9985211635841601,0.0599737651678268,,,0.9985185634486132,0.05997246054482449,,
0.07,0.9981887734802288,0.06996841377772459,,,0.997975255972652,0.06995778330893669,,,0.997972374547699,0.06995613702340343,,
0.08,0.9975993375599367,0.07995146014581939,,,0.9973415664191007,0.07993633418732052,,,0.9973384659318213,0.07993434176098586,,
0.09,0.9969219098810949,0.08992903851999152,,,0.9966195585447951,0.08990860906284288,,,0.996616283789139,0.08990626599172827,,
0.1,0.9961559669544765,0.09990034119248545,,,0.9958087647901553,0.09987379413770597,,,0.9958053537677232,0.09987109653195848,,
0.11,0.9953010516294575,0.10986455523557902,,,0.9949087758268435,0.10983107094945542,,,0.9949052600145152,0.10982801519938394,,
0.12,0.9943567629939617,0.11982086290261494,,,0.9939192325772588,0.11977961672880164,,,0.9939156392393117,0.11977619960848461,,
0.13,0.9933227487352134,0.1297684419934499,,,0.992839819989689,0.12971860472994132,,,0.9928361729914099,0.1297148233225851,,
0.14,0.9921986992082832,0.13970646619092122,,,0.9916702621012816,0.13964720453778484,,,0.991666582732566,0.13964305623736192,,
0.15,0.9909843427309071,0.14963410537312913,,,0.9904103180531114,0.14956458235534517,,,0.990406625536422,0.14956006484202092,,
0.16,0.989679441783791,0.15955052590518048,,,0.9890597788267287,0.15946990127400776,,,0.9890560907233789,0.1594650125025407,,
0.17,0.9882837898953506,0.16945489091325389,,,0.9876184645370991,0.16936232152885292,,,0.9876147970453991,0.16935705971452014,,
0.18,0.9867972090541757,0.17934636054328149,,,0.9860862221617436,0.17924100074082827,,,0.9860825903507586,0.17923536434829598,,
0.19,0.985219547535394,0.18922409220612535,,,0.9844629236167818,0.1891050941472694,,,0.9844593416087734,0.18909908188009172,,
0.2,0.9835506780565143,0.19908724081080614,,,0.9827484641124046,0.19895375482203181,,,0.9827449452284811,0.19894736561338397,,
0.21,0.9817904961989787,0.20893495898709344,,,0.9809427607359927,0.2087861338863094,,,0.9809393176133728,0.20877936689053372,,
0.22,0.9799389190464745,0.21876639729856867,,,0.9790457512225943,0.2186013807110617,,,0.9790423959101651,0.21859423529601357,,
0.23,0.9779958840018902,0.22858070444711232,,,0.9770573928810161,0.22839864311184763,,,0.9770541369178856,0.22839111885190735,,
0.24,0.975961347752857,0.23837702746963657,,,0.9749776616502367,0.23817706753675885,,,0.9749745161308576,0.23816916420644124,,
0.25,0.9738352853618937,0.24815451192777704,,,0.9728065512657778,0.2479357992480599,,,0.9728035268943301,0.24792751681614705,,
0.26,0.9716176894618259,0.25791230209116717,,,0.9705440725194862,0.2576739824980685,,,0.9705411796555877,0.25766532112220786,,
0.27,0.9693085695407502,0.2676495411148435,,,0.9681902525991635,0.2673907606997477,,,0.9681875012965132,0.26738172072146327,,
0.28,0.9669079513036323,0.2773653712112659,,,0.9657451344968375,0.27708527659242843,,,0.9657425345360533,0.2770758585325008,,
0.29,0.9644158760998615,0.28705893381738196,,,0.9632087764763511,0.2867566724030346,,,0.9632063373930012,0.2867468769572112,,
0.3,0.961832400407861,0.2967293697571176,,,0.9605812515924558,0.29640409000314477,,,0.9605789827010841,0.296393918038146,,
0.31,0.959157595369291,0.30637581939963643,,,0.9578626472548248,0.3060266710621888,,,0.9578605576696153,0.3060161236119805,,
0.32,0.9563915463665418,0.3159974228136729,,,0.9550530648314013,0.31562355719704827,,,0.9550511634840068,0.31561263545935386,,
0.33,0.9535343526381708,0.3255933199182158,,,0.9521526192863201,0.32519389011830363,,,0.9521509149412855,0.3251825954513331,,
0.34,0.9505861269277163,0.33516265062979,,,0.9491614388483265,0.3347368117733471,,,0.94915994011646,0.3347251456927218,,
0.35000000000000003,0.9475469951619745,0.3447045550065616,,,0.9460796647061787,0.34425146448656024,,,0.9460783800561663,0.3442394286624152,,
