x_1.00e-03,z_1.00e-03,x_1.20e-02,z_1.20e-02,x_2.30e-02,z_2.30e-02,x_3.40e-02,z_3.40e-02,x_4.50e-02,z_4.50e-02,x_5.60e-02,z_5.60e-02,x_6.70e-02,z_6.70e-02,x_7.80e-02,z_7.80e-02,x_8.90e-02,z_8.90e-02,x_1.00e-01,z_1.00e-01
0.9999999999999997,5.273559366969494e-16,0.9999999999999997,5.273559366969494e-16,0.9999999999999997,5.273559366969494e-16,0.9999999999999997,5.273559366969494e-16,0.9999999999999997,5.273559366969494e-16,0.9999999999999997,5.273559366969494e-16,0.9999999999999997,5.273559366969494e-16,0.9999999999999997,5.273559366969494e-16,0.9999999999999997,5.273559366969494e-16,0.9999999999999997,5.273559366969494e-16
0.9999996194872858,0.0009999998749441463,0.9999434043508935,0.01199978293811272,0.999788834185946,0.022998465532869355,0.9995333465637563,0.033995024733077195,0.9991752087263179,0.04498842496332643,0.9987130936261825,0.05597761946350395,0.9981459301798712,0.06696155143290423,0.997472828296096,0.07793915498003988,0.9966930349504465,0.08890935593899456,0.9958059058839039,0.0998710725875254
0.999998469114602,0.001999998999112698,0.999769808138634,0.023998255951631686,0.9991375124836499,0.04598763224653257,0.9980891289173865,0.06795979298045991,0.9966168311447626,0.08990624253606588,0.9947150627471675,0.1118183532298186,0.9923797160792501,0.1336873871624264,0.9896077268286747,0.15550451407462035,0.9863968398223643,0.17726082653999592,0.9827454602895405,0.19894735325303353
0.9999965405186853,0.0029999966205609963,0.9994759088308298,0.0359940902693969,0.998031451432003,0.06895798142829566,0.9956330331190992,0.10186311548262171,0.9922632089525165,0.13468026790872462,0.9879108585446448,0.1673797041683256,0.9825690034969762,0.19993130032987566,0.9762337459281913,0.23230464129880768,0.9689036641309399,0.2644691045241843,0.9605794337158153,0.2963939335697389
0.9999938276595358,0.003999991986115239,0.9990595380604534,0.047985939395484734,0.9964617603637085,0.09189980212644533,0.9921457992905895,0.135673040588923,0.9860831177181174,0.1792353479250005,0.978258554214064,0.22251518796701514,0.9686660127913544,0.2654401998121442,0.9573063965392064,0.3079375284412087,0.9441864442299296,0.3499341084661969,0.9293180054017,0.3913569157598072
0.9999903255930409,0.0049999843414120365,0.9985190568933118,0.05997244130176768,0.9944222152393069,0.11480322683377125,0.9876153302082553,0.16935704152000997,0.9780601845299984,0.223494972045232,0.9657429980611,0.27707586769538206,0.9506671896757777,0.3299573777745292,0.9328499459312889,0.3819968055762175,0.9123202961624384,0.4330518480998581,0.8891179035310427,0.48298125819732296
0.9999860300606305,0.005999972930930388,0.9978531557090471,0.07195222012159931,0.9919082714024203,0.13765825841577123,0.9820341584269308,0.20288215613307925,0.9681879711783681,0.26738172682511474,0.9503676377479723,0.33091149738596126,0.9286008725516889,0.39322495741750085,0.9029399949874082,0.4540764275640514,0.8734589966231487,0.5132226928680623,0.8402516453969973,0.5704244761978015
0.9999809372860805,0.006999956998020029,0.9970607560925644,0.08392388754699737,0.9889165863237676,0.1604547919962121,0.9753982403465652,0.23621510015185876,0.9564676666932587,0.31081766539551114,0.9321507267158426,0.38387145846922366,0.9025216022672072,0.45498591532722354,0.867695414555014,0.5237745820925466,0.8278239347752577,0.5898583267787696,0.783092660634656,0.6528682512955222
0.9999750438566324,0.007999935784925319,0.996140954047299,0.09588604402439563,0.9854447472916101,0.18318263351784048,0.967706277982668,0.2693223633718466,0.9429068039063956,0.3537246236562704,0.9111232217119692,0.4358055686025104,0.8725069407541507,0.5149858444261224,0.8272737198197627,0.5906971235343094,0.7756974810372951,0.6623878953945213,0.7181057729856462,0.7295287271576344
0.9999683466462024,0.008999908532807924,0.9950929837109386,0.10783727980325353,0.9814910999170448,0.2058315159428919,0.958959297275839,0.3021702940722505,0.9275184660053566,0.396024500218835,0.8873274722167626,0.4865648044775099,0.838655429759015,0.5729745416342513,0.7818679417373251,0.6544606812012836,0.7174181629698064,0.7302635811469841,0.645839675900161,0.7996658357900414
