t_heavy,q_heavy,t_med,q_med,t_light,q_light,asymp_t_heavy,asymp_q_heavy,asymp_t_med,asymp_q_med,asymp_t_light,asymp_q_light,y1_heavy,y2_heavy,y1_med,y2_med,y1_light,y2_light,asymp_y1_heavy,asymp_y2_heavy,asymp_y1_med,asymp_y2_med,asymp_y1_light,asymp_y2_light
0,1,0,1,0,1,0.151975683890579,1.01927536231884,0.151975683890579,1.01927536231884,0.151975683890579,1.01927536231884,0,0,0,0,0,0,0,0,0,0,0,0
0.00759878419452908,0.998985507246377,0.0151975683890582,0.999082125603865,0.0227963525835873,0.99927536231884,0.151975683890579,1.0151690821256,0.151975683890579,1.0151690821256,0.151975683890579,1.0151690821256,0.000240288346015219,0.000300866734842642,0.00038446135362435,0.000403126120364937,0.00038446135362435,0.000403126120364937,0.00038446135362435,0.000403126120364937,0.00038446135362435,0.000403126120364937,0.00038446135362435,0.000403126120364937
0.0151975683890582,0.996376811594203,0.0531914893617027,0.99719806763285,0.113981762917934,0.998164251207729,0.151975683890579,1.0104347826087,0.151975683890579,1.0104347826087,0.151975683890579,1.0104347826087,0.00132959551461754,0.0013582312442357,0.00139367240688827,0.00135812177346301,0.000849018822587104,0.000880692366146893,0.00116940328394073,0.00115349353164571,0.00116940328394073,0.00115349353164571,0.00116940328394073,0.00115349353164571
0.037993920972645,0.993671497584541,0.0911854103343468,0.995169082125604,0.227963525835867,0.997246376811594,0.151975683890578,1.0063768115942,0.151975683890578,1.0063768115942,0.151975683890578,1.0063768115942,0.00254705646776131,0.00248371394192393,0.00241890268321986,0.00238142718870846,0.00131357629154986,0.00132409004700858,0.00193832599118942,0.00190388831061968,0.00193832599118942,0.00190388831061968,0.00193832599118942,0.00190388831061968
0.0455927051671736,0.991304347826087,0.13677811550152,0.993333333333333,0.478723404255319,0.997101449275362,0.151975683890579,1.00338164251208,0.151975683890579,1.00338164251208,0.151975683890579,1.00338164251208,0.00446936323588306,0.00442803801919936,0.00344413295955146,0.00337056403903362,0.00177813376051262,0.00180165629279055,0.00273928714457349,0.00268839691912757,0.00273928714457349,0.00268839691912757,0.00273928714457349,0.00268839691912757
0.0683890577507604,0.988599033816425,0.182370820668693,0.992415458937198,0.81306990881459,0.997053140096618,0.151975683890578,0.998212560386473,0.151975683890578,0.998212560386473,0.159574468085107,1.00125603864734,0.00616740088105727,0.00603105959497639,0.00434120945134161,0.00422324557122306,0.00222667200640769,0.00217674421150484,0.00347617140568682,0.00340467786856757,0.00347617140568682,0.00340467786856757,0.00313976772126552,0.00313190407076191
0.0759878419452891,0.986086956521739,0.326747720364742,0.991787439613526,1.23860182370821,0.997004830917874,0.151975683890578,0.992898550724637,0.174772036474165,0.995555555555555,0.159574468085107,0.999710144927536,0.00783340008009611,0.00759996734121948,0.00530236283540248,0.00517832332740063,0.00261113336003204,0.00227859308162963,0.00421305566680016,0.00412095881800759,0.00421305566680016,0.00412095881800759,0.00338005606728074,0.00337067350980631
0.106382978723405,0.983381642512077,0.516717325227964,0.991352657004831,1.75531914893617,0.996908212560386,0.159574468085107,0.988115942028985,0.220364741641338,0.993719806763285,0.189969604863222,0.998164251207729,0.0092110532639167,0.0089301877514977,0.00607128554265118,0.00586038097653403,0.0028994793752503,0.00186807768410931,0.0049499399279135,0.00487140833236787,0.0049499399279135,0.00487140833236787,0.00339607529034842,0.00285811766830903
0.113981762917934,0.980772946859903,0.752279635258359,0.991159420289855,2.27203647416413,0.996908212560386,0.167173252279636,0.983285024154589,0.258358662613982,0.992512077294686,0.296352583586626,0.997053140096618,0.0107809371245495,0.0103625854442187,0.00661593912695234,0.00620113612416906,0.00302763315979175,0.00115031887923824,0.00571886263516219,0.00569014024118236,0.00571886263516219,0.00569014024118236,0.00341209451341609,0.00200387617760903
0.129179331306991,0.977971014492753,1.00303951367781,0.991062801932367,3.03191489361702,0.996908212560386,0.212765957446809,0.978937198067633,0.349544072948329,0.991111111111111,0.54711246200608,0.996521739130435,0.0127032438926712,0.0122727409565739,0.00703243892671205,0.00647377308350888,0.00307569082899479,0.000261854088231643,0.0069042851421706,0.00681567767425694,0.0069042851421706,0.00681567767425694,0.0034120945134161,0.00108132492476165
0.144376899696049,0.974975845410628,1.36018237082067,0.990917874396135,3.76139817629179,0.996859903381642,0.227963525835867,0.97536231884058,0.524316109422492,0.99,0.797872340425533,0.996328502415459,0.0145614737685222,0.0140463316800206,0.00749699639567481,0.00664382224500837,,,0.00786543852623148,0.00777075543043452,0.00786543852623148,0.00777075543043452,0.0034120945134161,0.00019294223683454
0.167173252279636,0.973623188405797,1.74012158054711,0.990821256038647,4.53647416413374,0.996811594202898,0.265957446808511,0.971980676328502,0.782674772036474,0.989661835748792,1.0258358662614,0.996231884057971,0.0167561073287946,0.0161952018960338,0.0079295154185022,0.00654057762253201,,,0.00940328394072887,0.0093057135533027,0.00882659191029235,0.00865749605677155,,
0.227963525835867,0.972173913043478,2.22644376899696,0.990676328502415,5.37993920972644,0.996763285024155,0.281155015197569,0.96975845410628,1.06382978723404,0.98951690821256,1.40577507598784,0.996231884057971,0.0177492991589908,0.0171160563519047,0.00821786143372046,0.00626673648469279,,,0.0107809371245495,0.0106359339635809,0.00951541850220264,0.00927135341453025,,
