t,x,z,xdot,zdot
0.27,-0.27053348464675053,-0.05526012082107859,-1.0019758690620386,-0.3192011921666697
0.275,-0.27554336399206075,-0.056861393054480715,-1.0019758690620386,-0.321297943381508
0.28,-0.28055324333737097,-0.05847297809081612,-1.0019758690620386,-0.3233266300969867
0.28500000000000003,-0.2855631226826812,-0.060094541157049416,-1.0019758690620386,-0.3252894618151393
0.29,-0.2905730020279914,-0.0617257583475094,-1.0019758690620386,-0.32718857631339576
0.295,-0.29558288137330163,-0.0633663162711139,-1.0019758690620386,-0.3290260419728984
0.3,-0.30059276071861185,-0.0650159117100464,-1.0019758690620386,-0.33080386003123624
0.305,-0.30560264006392207,-0.06667425128951267,-1.0019758690620386,-0.33252396676205126
0.31,-0.3106125194092323,-0.06834105115821762,-1.0019758690620386,-0.33418823558389094
0.315,-0.3156223987545425,-0.07001603667921465,-1.0019758690620386,-0.33579847910060295
0.32,-0.32063227809985273,-0.07169894213079042,-1.0019758690620386,-0.33735645107549517
0.325,-0.32564215744516295,-0.07338951041705967,-1.0019758690620386,-0.3388638483414105
0.33,-0.33065203679047317,-0.07508749278795447,-1.0019758690620386,-0.34032231264879714
0.335,-0.3356619161357834,-0.07679264856830333,-1.0019758690620386,-0.3417334324537871
0.34,-0.3406717954810936,-0.07850474489570475,-1.0019758690620386,-0.34309874464823015
0.34500000000000003,-0.34568167482640383,-0.08022355646691004,-1.0019758690620386,-0.34441973623356764
0.35000000000000003,-0.35069155417171405,-0.08194886529243892,-1.0019758690620386,-0.3456978459403694
0.355,-0.35570143351702427,-0.08368046045916082,-1.0019758690620386,-0.34693446579529724
0.36,-0.3607113128623345,-0.08541813790058322,-1.0019758690620386,-0.3481309426372018
0.365,-0.3657211922076447,-0.08716170017459686,-1.0019758690620386,-0.34928857958400417
0.37,-0.3707310715529549,-0.08891095624843576,-1.0019758690620386,-0.3504086374519598
0.375,-0.37574095089826515,-0.09066572129061785,-1.0019758690620386,-0.3514923361288504
0.38,-0.38075083024357537,-0.09242581646963961,-1.0019758690620386,-0.35254085590259915
0.385,-0.3857607095888856,-0.09419106875920544,-1.0019758690620386,-0.3535553387467571
0.39,-0.3907705889341958,-0.09596131074977964,-1.0019758690620386,-0.35453688956425977
0.395,-0.395780468279506,-0.09773638046625582,-1.0019758690620386,-0.3554865773908093
0.4,-0.40079034762481625,-0.0995161211915451,-1.0019758690620386,-0.3564054365591925
0.405,-0.40580022697012647,-0.10130038129589083,-1.0019758690620386,-0.357294467825803
0.41000000000000003,-0.4108101063154367,-0.10308901407172436,-1.0019758690620386,-0.35815463946059417
0.41500000000000004,-0.4158199856607469,-0.10488187757388134,-1.0019758690620386,-0.3589868883016504
0.42,-0.4208298650060571,-0.10667883446500528,-1.0019758690620386,-0.35979212077552475
0.425,-0.42583974435136734,-0.1084797518659693,-1.0019758690620386,-0.3605712138844546
0.43,-0.43084962369667756,-0.11028450121115359,-1.0019758690620386,-0.3613250161615306
0.435,-0.4358595030419878,-0.1120929581084209,-1.0019758690620386,-0.36205434859485874
0.44,-0.440869382387298,-0.11390500220363738,-1.0019758690620386,-0.3627600055217224
0.445,-0.4458792617326082,-0.11572051704959134,-1.0019758690620386,-0.3634427554937186
0.45,-0.45088914107791844,-0.11753938997916728,-1.0019758690620386,-0.36410334211380974
0.455,-0.45589902042322866,-0.11936151198263675,-1.0019758690620386,-0.3647424848462036
0.46,-0.4609088997685389,-0.12118677758893272,-1.0019758690620386,-0.3653608797999426
0.465,-0.4659187791138491,-0.12301508475077791,-1.0019758690620386,-0.36595920048705666
0.47000000000000003,-0.4709286584591593,-0.12484633473354217,-1.0019758690620386,-0.36653809855610486
0.47500000000000003,-0.47593853780446954,-0.12668043200770768,-1.0019758690620386,-0.3670982045019049
0.48,-0.48094841714977976,-0.12851728414482494,-1.0019758690620386,-0.36764012835222337
0.485,-0.48595829649509,-0.13035680171684627,-1.0019758690620386,-0.368164460332175
0.49,-0.4909681758404002,-0.1321988981987271,-1.0019758690620386,-0.36867177150705394
0.495,-0.4959780551857104,-0.134043489874189,-1.0019758690620386,-0.36916261440429776
0.5,-0.5009879345310206,-0.13589049574454184,-1.0019758690620386,-0.36963752361526125
0.505,-0.5059978138763308,-0.1377398374404658,-1.0019758690620386,-0.37009701637745546
0.51,-0.511007693221641,-0.13959143913665698,-1.0019758690620386,-0.3705415931378862
0.515,-0.5160175725669511,-0.14144522746924382,-1.0019758690620386,-0.37097173809810546
0.52,-0.5210274519122613,-0.14330113145588444,-1.0019758690620386,-0.37138791974156965
0.525,-0.5260373312575715,-0.1451590824184577,-1.0019758690620386,-0.37179059134387843
0.53,-0.5310472106028816,-0.1470190139082638,-1.0019758690620386,-0.3721801914664506
0.535,-0.5360570899481918,-0.14888086163365302,-1.0019758690620386,-0.37255714443417404
0.54,-0.541066969293502,-0.15074456339000394,-1.0019758690620386,-0.3729218607975504
0.545,-0.5460768486388121,-0.1526100589919744,-1.0019758690620386,-0.37327473777983766
