force,A,delta,phi,offset,R^2,St,method
inertial_force,0.9371913334218972,-0.14173129386257963,4.855072097053245,0.0007614696307378636,0.9882556042582372,0.009,curve_fit
stokes_drag,0.6057520269503152,-0.14350254721510775,1.3361975286437378,-0.0025576381840814754,0.9826175945389101,0.009,curve_fit
history_force,0.3696796474699728,-0.13740304919614252,2.1030864186594225,0.0016445867261339422,0.983891249846817,0.009,curve_fit
xdot,0.9318459039741763,-0.1423793096754343,6.2804461649988585,0.015890782012456754,0.981948262450057,0.009,curve_fit
inertial_force,0.9408244543380404,-0.15644083183391055,4.870771894058121,0.0007518655719921001,0.9910571149824556,0.01,curve_fit
stokes_drag,0.5947316003816443,-0.15862244972940576,1.3360624327985533,-0.0026145472680864407,0.9852356796826841,0.01,curve_fit
history_force,0.38136618641859105,-0.1515308344664673,2.1012250960001273,0.0016959017161864564,0.9860450099920938,0.01,curve_fit
xdot,0.9341282757661911,-0.15732210710358227,0.0,0.014462078472284132,0.9843181424548935,0.01,curve_fit
inertial_force,0.9443967850122273,-0.1709137058095818,4.880507879010931,0.000737546518605694,0.9930888062518686,0.011,curve_fit
stokes_drag,0.5846259889550887,-0.1735594839750396,1.331928464393533,-0.002661484814533775,0.9871069920612876,0.011,curve_fit
history_force,0.39192375475577124,-0.16538677663309545,2.0946012711442297,0.0017424426205897199,0.9874619542518532,0.011,curve_fit
xdot,0.9363372407471515,-0.17208164217034572,6.281189866172447,0.01328336396811744,0.9860067345308381,0.011,curve_fit
inertial_force,0.9479061726611495,-0.18514473654647018,4.894509021791645,0.0007199034028737631,0.9945894560182529,0.012,curve_fit
stokes_drag,0.5752942963844156,-0.1883078462062612,1.3323669106286897,-0.002700632133469748,0.9884746153639056,0.012,curve_fit
history_force,0.40152885060660787,-0.17897089724807627,2.0932786586076055,0.001784946455972544,0.9883799002213838,0.012,curve_fit
xdot,0.9384714220549077,-0.18665687883935125,0.0,0.01229634352274258,0.9872453326164733,0.012,curve_fit
inertial_force,0.9513541071778268,-0.19913080087233856,4.9040672278603,0.0006998898487897401,0.995707592034236,0.013,curve_fit
stokes_drag,0.5666266825771235,-0.2028629747746878,1.3299498224740987,-0.0027335646254207143,0.9894908028915477,0.013,curve_fit
history_force,0.4103221256365194,-0.19228619234126834,2.0884163842097845,0.0018239999908602057,0.9889462314236576,0.013,curve_fit
xdot,0.9405336710295567,-0.201048377998497,6.281864579579932,0.011458845521168751,0.9881769812779515,0.013,curve_fit
inertial_force,0.9547437063778639,-0.21287040200980842,4.916508036030234,0.0006781676355771089,0.9965385206086494,0.014,curve_fit
stokes_drag,0.5585359861018399,-0.21722168702660974,1.330540301258727,-0.0027614479819843617,0.9902537036189409,0.014,curve_fit
history_force,0.41841621415161795,-0.20533654264781073,2.087232946231195,0.0018600582622466156,0.9892549248414317,0.014,curve_fit
xdot,0.9425287203487419,-0.21525782165537508,0.0,0.010739840773018188,0.9888930044429552,0.014,curve_fit
inertial_force,0.9580789061895632,-0.22636344113773813,4.925892125568702,0.0006552167850666184,0.9971452550409856,0.015,curve_fit
stokes_drag,0.5509507842801792,-0.23138122670931727,1.3293166845874358,-0.002785169230450318,0.9908282778522911,0.015,curve_fit
history_force,0.4259037515012834,-0.21812757436120883,2.0836998928258827,0.0018935027502960326,0.9893677496356921,0.015,curve_fit
xdot,0.9444618515036071,-0.2292876029603309,6.282400405790819,0.010116113285995924,0.9894533818117515,0.015,curve_fit
inertial_force,0.9613634409731777,-0.23961073496072183,4.936985136334363,0.0006313891808496174,0.9975706941987739,0.016,curve_fit
stokes_drag,0.5438123455739382,-0.245339759530459,1.3298951683018896,-0.0028054156244274996,0.99125869420776,0.016,curve_fit
history_force,0.4328604034125902,-0.23066467779850536,2.0825090900976972,0.0019246332167762786,0.9893263565465945,0.016,curve_fit
xdot,0.9463384397001814,-0.24314065401603768,0.0,0.009570012944750786,0.9898986543279135,0.016,curve_fit
inertial_force,0.9646003191147638,-0.25261363150482724,4.946130242106535,0.0006069492559032477,0.9978449065927917,0.017,curve_fit
stokes_drag,0.5370715853938285,-0.2590961235113208,1.3294915737023394,-0.0028227299413033586,0.9915757266958305,0.017,curve_fit
history_force,0.4393487886974836,-0.2429531004302199,2.0799400140179483,0.0019537046129699514,0.9891597036026344,0.017,curve_fit
xdot,0.9481633787783723,-0.25682013256272296,6.282803186835146,0.00908793612633659,0.9902569438014159,0.017,curve_fit
inertial_force,0.967792456193485,-0.26537418596665746,4.956081924393876,0.0005820929523659461,0.9979896111277514,0.018,curve_fit
stokes_drag,0.5306867458234082,-0.2726494730725893,1.3299994493461407,-0.002837548172947405,0.9918012585598881,0.018,curve_fit
history_force,0.4454234106193988,-0.2550004732557253,2.0786943675993976,0.0019809354729376522,0.9888883932921689,0.018,curve_fit
xdot,0.9499407460270632,-0.2703291497015624,0.0,0.00865923976649806,0.9905482042627572,0.018,curve_fit
inertial_force,0.970941813345832,-0.27789458536837175,4.96492580979543,0.0005569732328175908,0.9980209519031779,0.019,curve_fit
stokes_drag,0.5246223088428448,-0.2859995698126743,1.33015376853055,-0.0028502247927794495,0.9919512953210133,0.019,curve_fit
history_force,0.451127039652552,-0.2668103328517903,2.0768104730781607,0.0020065040180638153,0.9885275786650439,0.019,curve_fit
xdot,0.9516748232849853,-0.2836712679194445,6.283098073712811,0.008275499749613354,0.9907869135713923,0.019,curve_fit
inertial_force,0.9740500141857514,-0.2901773370107123,4.973911712716864,0.0005317050417149747,0.9979512902219544,0.02,curve_fit
stokes_drag,0.5188470176775306,-0.29914585594749504,1.3305746185068807,-0.0028610505877950895,0.9920376335124587,0.02,curve_fit
history_force,0.4564985930987613,-0.2783892918768468,2.0754984186963137,0.0020305692589022576,0.9880886426796862,0.02,curve_fit
xdot,0.9533680085937788,-0.2968492218551472,0.0,0.007929963579916294,0.990983808822958,0.02,curve_fit
inertial_force,0.9771184748859385,-0.30222526450816245,4.982411554554851,0.0005063744436181409,0.9977903542543638,0.021,curve_fit
stokes_drag,0.5133340696100948,-0.3120884478225689,1.3311067810533141,-0.002870269828655544,0.9920693122115966,0.021,curve_fit
history_force,0.46157040809496336,-0.289742497040454,2.0740947070156888,0.002053269827661184,0.9875804025270764,0.021,curve_fit
xdot,0.9550227039799556,-0.30986589827649735,0.00012681305828765588,0.007617161085268082,0.9911469898979255,0.021,curve_fit
inertial_force,0.9801478088276414,-0.3140410321874834,4.990574571956966,0.00048105095917081245,0.9975460271566015,0.022,curve_fit
stokes_drag,0.5080602328793042,-0.32482797880389247,1.331440554800802,-0.0028780824017053865,0.9920533409877036,0.022,curve_fit
history_force,0.4663702350701996,-0.30087477050325784,2.072717479874018,0.00207472475893289,0.9870098603839284,0.022,curve_fit
xdot,0.956641022439989,-0.3227241442428525,0.0,0.007332620376239236,0.9912826797518671,0.022,curve_fit
inertial_force,0.9831392417243338,-0.3256279785011484,4.998707977567659,0.000455780012413003,0.9972248451462477,0.023,curve_fit
stokes_drag,0.5030045865076552,-0.3373646873828289,1.332225039152463,-0.0028846605953368,0.9919952517027741,0.023,curve_fit
history_force,0.47092145480148834,-0.3117898889590066,2.0716476622508835,0.0020950375509989454,0.986382719259729,0.023,curve_fit
xdot,0.9582246336124021,-0.3354266204516591,0.00028198552031866164,0.0070726404538140235,0.9913957250792816,0.023,curve_fit
inertial_force,0.9860930019422169,-0.3369890212039814,5.0061623093928045,0.0004306053005577802,0.996832360853082,0.024,curve_fit
stokes_drag,0.4981488934307839,-0.34969934477160386,1.332476981764861,-0.002890150127736886,0.9918994878710609,0.024,curve_fit
history_force,0.4752456114920821,-0.32249309556664474,2.0702105308804715,0.0021143002590408183,0.9857037211987634,0.024,curve_fit
xdot,0.9597747527264594,-0.3479757394614361,0.0,0.006834144403452461,0.991489955072801,0.024,curve_fit
inertial_force,0.9890093644541167,-0.34812726408523664,5.013922548711831,0.0004055539721834712,0.9963733848928782,0.025,curve_fit
stokes_drag,0.4934770178391397,-0.3618329737835523,1.333427929571008,-0.002894675011578335,0.9917697234679962,0.025,curve_fit
history_force,0.4793616947631366,-0.3329896590277914,2.069370148467599,0.002132605701782377,0.984976908763222,0.025,curve_fit
xdot,0.9612931254794489,-0.36037435567250087,0.0003945674609027172,0.0066145468383816694,0.9915684307912976,0.025,curve_fit
inertial_force,0.9918900186254075,-0.35904699931892087,5.0207605129296,0.0003806406921477514,0.99585218137689,0.026,curve_fit
stokes_drag,0.48897464524392925,-0.3737668646535683,1.3336048317994011,-0.002898341142380382,0.9916090298069856,0.026,curve_fit
history_force,0.48328558430582,-0.3432834697046082,2.067878361593537,0.0021500204940723576,0.9842057887061862,0.026,curve_fit
xdot,0.9627798186350105,-0.3726241022779197,0.0,0.006411668161322131,0.991633621831081,0.026,curve_fit
inertial_force,0.9947343534622954,-0.3697509824125713,5.028152658703055,0.0003558910395094384,0.9952725587356639,0.027,curve_fit
stokes_drag,0.48462896230517516,-0.3855024526309741,1.334662147263376,-0.0029012389907787984,0.9914200130110906,0.027,curve_fit
history_force,0.48703166519036917,-0.3533788136425092,2.0671947736426177,0.0021666141639647197,0.983393457465318,0.027,curve_fit
xdot,0.9642370900149969,-0.3847283172233506,0.00047642932715419306,0.00622364024870142,0.991687554242446,0.027,curve_fit
inertial_force,0.9975433553191176,-0.3802432207965401,5.03444901210934,0.0003313086582941078,0.9946379780958238,0.028,curve_fit
stokes_drag,0.48042853738440305,-0.3970414216378385,1.3347710206213934,-0.002903451782597364,0.9912049288913459,0.028,curve_fit
