force,A,delta,phi,offset,R^2,St,method
inertial_force,0.13594515252922076,-0.025993439940877962,4.8826229339048215,0.0004144068383001886,0.9135721871062505,0.009,curve_fit
stokes_drag,0.08034445530969557,-0.02666578234760899,1.3076083662969318,-0.0006822988141418893,0.909273871236598,0.009,curve_fit
history_force,0.05995453417166684,-0.02466504004136851,2.08093106406674,0.00024274768528365843,0.9122734271168024,0.009,curve_fit
xdot,0.942191540612192,-0.026504392351189333,0.0022139800138887278,0.04468051765316412,0.905157241824607,0.009,curve_fit
inertial_force,0.13643947132230874,-0.028717956869752672,4.897370657178839,0.00045757291262286747,0.921302859226491,0.01,curve_fit
stokes_drag,0.0784429522548016,-0.029441170265968736,1.3037177463382037,-0.0007317680027591033,0.916978462463152,0.01,curve_fit
history_force,0.06168977465277658,-0.027396292331074747,2.076819001180465,0.0002466508841779012,0.9199651342937302,0.01,curve_fit
xdot,0.9428432361670869,-0.02935205453717379,0.0,0.04328896778069428,0.9121558705175526,0.01,curve_fit
inertial_force,0.1369691922229411,-0.031411514450568896,4.91620833482949,0.0004983220891547571,0.9283639883424615,0.011,curve_fit
stokes_drag,0.0767192389006727,-0.03218553415499589,1.3048382302797539,-0.000777835755971661,0.9240486239926615,0.011,curve_fit
history_force,0.06326682902716678,-0.030096714689764763,2.07815305813853,0.0002496970377907129,0.926984247966758,0.011,curve_fit
xdot,0.9435235824810235,-0.03218476455331958,0.0018176639705387299,0.04196952912296397,0.9185143877295698,0.011,curve_fit
inertial_force,0.1375324840733519,-0.03407424076442022,4.930681994224225,0.0005366398390613948,0.9348132436957796,0.012,curve_fit
stokes_drag,0.07514772902625083,-0.034899062506506005,1.3031228884989987,-0.0008206721603540425,0.9305377998013511,0.012,curve_fit
history_force,0.064714188156044,-0.03276639424468054,2.076288554654212,0.0002520652354370721,0.9333901757576926,0.012,curve_fit
xdot,0.9442298026407915,-0.035003046879419256,0.0,0.04071731233108603,0.9242982591178215,0.012,curve_fit
inertial_force,0.13812761515919342,-0.03670627615198572,4.948463858141295,0.0005725522168798381,0.940702604383925,0.013,curve_fit
stokes_drag,0.07370803237993347,-0.03758192534587947,1.3053717662133233,-0.0008604504166756522,0.9364942841002548,0.013,curve_fit
history_force,0.06605386630233555,-0.035405437121019935,2.078746215087173,0.0002538959281880293,0.9392362162359328,0.013,curve_fit
