force,A,delta,phi,offset,R^2,St,method
inertial_force,0.10309684447074292,-0.015925299735356207,4.848093492056976,0.000312266300614193,0.7468722656334097,0.009,curve_fit
stokes_drag,0.0647775170418723,-0.01637913447456373,1.316836905089128,-0.0005054113938267868,0.7410678421455318,0.009,curve_fit
history_force,0.04261606813302773,-0.014881400296190127,2.0895092280781755,0.00017721147649972863,0.7451719524432957,0.009,curve_fit
xdot,0.9256235681417628,-0.016223150423318365,0.0033338760157304304,0.05922047189350596,0.7364185656790941,0.009,curve_fit
inertial_force,0.10334230200763285,-0.01761686928600129,4.85856702056087,0.0003486978088249172,0.7625353828854722,0.01,curve_fit
stokes_drag,0.06335433582009914,-0.018101095967240483,1.3099956121861442,-0.0005471254889431007,0.7565599097904174,0.01,curve_fit
history_force,0.043928497622161874,-0.016577015724066002,2.0823678182381435,0.00018081909725637163,0.7608503920673827,0.01,curve_fit
xdot,0.9260276041117043,-0.017971296323967788,0.0,0.05770142832295831,0.7512806453798175,0.01,curve_fit
inertial_force,0.10360648118836997,-0.019294038480305573,4.875490232432269,0.00038392031960761126,0.7772413689418026,0.011,curve_fit
stokes_drag,0.06205357036403402,-0.019808250641196394,1.3103058462477934,-0.0005868297933337175,0.7711316465548917,0.011,curve_fit
history_force,0.04512088467796374,-0.01825833675614413,2.08289355662338,0.0001836954553613685,0.7755645666866967,0.011,curve_fit
xdot,0.9264533429829656,-0.019711257942328125,0.0028529759638431518,0.0562475420063021,0.7651695790763015,0.011,curve_fit
inertial_force,0.10388860315991759,-0.02095683848715992,4.886011965783173,0.0004178443863619706,0.7910460630161945,0.012,curve_fit
stokes_drag,0.06085813089039051,-0.02150076058508979,1.3057142324098863,-0.0006245637772395419,0.7848348348382389,0.012,curve_fit
history_force,0.04621359418709161,-0.019925342050251156,2.078066892574527,0.0001859690808006956,0.7893716385286684,0.012,curve_fit
xdot,0.9268993987849359,-0.02144339990084,0.0,0.054854992446499995,0.7781497984462583,0.012,curve_fit
inertial_force,0.10418791331218936,-0.022605268613599697,4.902028120951851,0.00045041488959321886,0.8040024635049844,0.013,curve_fit
stokes_drag,0.05975438937980002,-0.023178740242460524,1.3070920451818306,-0.000660377468596942,0.7977192327967825,0.013,curve_fit
history_force,0.047222506948752636,-0.021578012612364167,2.079649525196417,0.00018774376444989494,0.8023259297758909,0.013,curve_fit
xdot,0.9273644518013876,-0.023168026895142114,0.002439838529171512,0.053520281539875286,0.790282041557894,0.013,curve_fit
inertial_force,0.10450370193675024,-0.02423933649374581,4.912542760394251,0.00048160273565852864,0.8161609051738397,0.014,curve_fit
stokes_drag,0.05873126745888601,-0.02484227272272231,1.3041637470721041,-0.000694328540183095,0.8098324525349968,0.014,curve_fit
history_force,0.04816023667938353,-0.02321633248819892,2.0765369428419227,0.00018910428512441965,0.8144787317791498,0.014,curve_fit
xdot,0.9278472957026281,-0.024885403529569458,0.0,0.0522401913870495,0.801623530409035,0.014,curve_fit
inertial_force,0.10483528656607001,-0.025859045678215956,4.927730954852195,0.0005113984038752149,0.8275689848522707,0.015,curve_fit
stokes_drag,0.05777961290414228,-0.026491421412594456,1.3062481638974766,-0.0007264799088928458,0.8212194849186909,0.015,curve_fit
history_force,0.04903695837742884,-0.02484029405828018,2.078814979650975,0.00019012050347420002,0.8258783382766354,0.015,curve_fit
xdot,0.9283468104492394,-0.026595760156022302,0.002083517074295438,0.05101175124203077,0.8122279120998921,0.015,curve_fit
inertial_force,0.10518201324153902,-0.02746440468706091,4.938192053227392,0.0005398073178258186,0.8382716989799277,0.016,curve_fit
stokes_drag,0.056891760551705965,-0.028126238656632902,1.3045847482807127,-0.00075689799140914,0.831923117580672,0.016,curve_fit
history_force,0.049860986109130624,-0.02644989532494527,2.077008234821882,0.00019085080527201937,0.836570493234632,0.016,curve_fit
xdot,0.9288620324487961,-0.028299311079257036,0.0,0.049832210156584365,0.8221454490215123,0.016,curve_fit
inertial_force,0.105543254395355,-0.029055429920914044,4.9526191299440985,0.0005668463004545168,0.8483114726370968,0.017,curve_fit
stokes_drag,0.05606121268194637,-0.029746767004011136,1.3071409323204937,-0.0007856512007080168,0.841983918703909,0.017,curve_fit
history_force,0.05063919292940275,-0.02804515190071693,2.0797467914838776,0.00019134391009048877,0.8465981600258546,0.017,curve_fit
xdot,0.9293918611927295,-0.029996216459947385,0.0017756451039836474,0.04869901150221313,0.8314233441742084,0.017,curve_fit
inertial_force,0.10591840745686065,-0.030632148047371275,4.962988238981531,0.0005925405801422872,0.8577282937395971,0.018,curve_fit
stokes_drag,0.05528240759961244,-0.031353052281384734,1.3064562783117029,-0.0008128088248496044,0.8514400757958988,0.018,curve_fit
history_force,0.051377315366662034,-0.029626094445159432,2.0789529394372233,0.00019164112674135698,0.8560017866996779,0.018,curve_fit
xdot,0.9299354272522559,-0.03168664193200163,0.0,0.04760977722724228,0.8401054821952734,0.018,curve_fit
inertial_force,0.10630689333804674,-0.032194597211607924,4.976712258795967,0.000616921744284639,0.8665598042646385,0.019,curve_fit
stokes_drag,0.054550550661958394,-0.03294516877618184,1.3093235575687108,-0.0008384400261891215,0.8603276594769487,0.019,curve_fit
history_force,0.052080173484515574,-0.03119274510508996,2.0819931627965698,0.0001917769052415192,0.864819442924803,0.019,curve_fit
xdot,0.930491858186949,-0.03337072752020473,0.001508472594797361,0.04656228772600447,0.8482329111048325,0.019,curve_fit
inertial_force,0.10670815522159527,-0.0337428278180066,4.986957852274893,0.0006400260353525778,0.8748414225559868,0.02,curve_fit
stokes_drag,0.053861448402861646,-0.03452314379060404,1.309404636220489,-0.0008626134578944429,0.8686806247454121,0.02,curve_fit
history_force,0.05275185930755678,-0.032745157001332396,2.0819938050125653,0.00019178101858451264,0.8730869362963345,0.02,curve_fit
xdot,0.9310601672474736,-0.035048572530986775,0.0,0.04555447120621046,0.8558436780605971,0.02,curve_fit
inertial_force,0.10712165730592677,-0.03527690268312769,5.000029325737052,0.000661892930356972,0.8826064175417886,0.021,curve_fit
stokes_drag,0.05321143630332322,-0.0360870459644455,1.3124711681543806,-0.000885396302402508,0.8765308392054318,0.021,curve_fit
history_force,0.05339586274415841,-0.03428339029508207,2.0852240093868164,0.00019167817746647392,0.8808378052104064,0.021,curve_fit
xdot,0.9316399429816694,-0.03672034736616284,0.0012770924144205331,0.0445843784755691,0.8629738848093566,0.021,curve_fit
inertial_force,0.10754688391484798,-0.03679689711985635,5.010125904249166,0.0006825642372050745,0.8898860621179417,0.022,curve_fit
stokes_drag,0.052597279871041965,-0.03763694715701475,1.3131550212298184,-0.000906854309891338,0.88390833449439,0.022,curve_fit
history_force,0.05401517873426643,-0.035807516690579445,2.0858520422320126,0.00019149002643542083,0.8881035517430771,0.022,curve_fit
xdot,0.9322301409421657,-0.03838610436187506,0.0,0.04365019456061641,0.8696562313909473,0.022,curve_fit
inertial_force,0.10798333845151732,-0.03830289850746462,5.022589992173591,0.0007020830169589061,0.8967097121842352,0.023,curve_fit
stokes_drag,0.052016107171457604,-0.03917292081503395,1.316339237573167,-0.0009270513300695918,0.8908412325710402,0.023,curve_fit
history_force,0.05461239084651595,-0.037317619278601825,2.0891928198686456,0.00019123463267313145,0.8949137598612108,0.023,curve_fit
xdot,0.9328301319690335,-0.040045945668570164,0.0010756319947640147,0.04275020771270684,0.8759216269514513,0.023,curve_fit
inertial_force,0.10843054255826409,-0.039795005800916466,5.032517193728982,0.0007204930748499681,0.9031049355115398,0.024,curve_fit
stokes_drag,0.051465361420212394,-0.04069506083114623,1.3174986344083468,-0.0009460490438467906,0.8973560125204425,0.024,curve_fit
history_force,0.0551897384125711,-0.03881379268441862,2.090317393077279,0.0001909273272801939,0.9012962237057173,0.024,curve_fit
xdot,0.9334392674937707,-0.04169995609181574,0.0,0.0418828103112406,0.8817987101912046,0.024,curve_fit
inertial_force,0.108888035223638,-0.041273328771162084,5.044414064954757,0.0007378386695386382,0.909097606489694,0.025,curve_fit
stokes_drag,0.05094274558070603,-0.04220344896628681,1.3207417301187359,-0.0009639070206160781,0.9034775093642637,0.025,curve_fit
history_force,0.05574916571713664,-0.040296129314250015,2.0937105231672177,0.000190581460610073,0.9072769149316855,0.025,curve_fit
xdot,0.9340568757070022,-0.0433482034604914,0.0009002383234641975,0.04104648736521441,0.8873140931077136,0.025,curve_fit
inertial_force,0.10935537214105312,-0.04273798740406261,5.054155884503482,0.0007541634900308771,0.9147120027994071,0.026,curve_fit
stokes_drag,0.050446199717752487,-0.04369819459606905,1.3222758410114308,-0.0009806824976730977,0.9092289058511804,0.026,curve_fit
history_force,0.05629238504367682,-0.04176477018136532,2.095227850983969,0.000190208044259632,0.9128802267160312,0.026,curve_fit
xdot,0.9346823576707688,-0.0449907553097327,0.0,0.040239815436241166,0.892492399215663,0.026,curve_fit
inertial_force,0.10983213825305078,-0.0441891298286959,5.065521621568035,0.000769510874833891,0.9199709291997502,0.027,curve_fit
stokes_drag,0.049973861830491254,-0.04517940787374445,1.3255342616421377,-0.0009964304221269146,0.9146322334445137,0.027,curve_fit
history_force,0.056820882645742865,-0.043219821730612173,2.0986307988206607,0.0001898166772041757,0.9181289551546853,0.027,curve_fit
xdot,0.9353150968457312,-0.04662766526560249,0.0007474183653715105,0.03946144878163662,0.8973565967540508,0.027,curve_fit
inertial_force,0.11031789627788478,-0.0456268597475978,5.075065804515155,0.0007839235598624867,0.9248957039860155,0.028,curve_fit
stokes_drag,0.04952404532152678,-0.04664720794402252,1.3273618731139158,-0.0010112033657146732,0.9197078559298091,0.028,curve_fit
history_force,0.05733597068395551,-0.0446614145286047,2.100457551590099,0.00018941555733083644,0.9230446206432126,0.028,curve_fit
xdot,0.9359545900460977,-0.04825899573846281,0.0,0.03871011584321957,0.9019279564448269,0.028,curve_fit
inertial_force,0.11081225878824451,-0.047051338000761195,5.085933554011518,0.000797443159439412,0.9295064064079382,0.029,curve_fit
stokes_drag,0.049095216926996345,-0.04810171951523759,1.3306035727973693,-0.001025051551109902,0.9244750523515415,0.029,curve_fit
history_force,0.05783880599781567,-0.04608968576641808,2.103838703981153,0.0001890114927103277,0.9276473057973855,0.029,curve_fit
xdot,0.9366002778534803,-0.04988479031603558,0.0006141365563334666,0.0379846172088806,0.906226257175602,0.029,curve_fit
inertial_force,0.11131484129459825,-0.048462716474997454,5.095270968931761,0.0008101101057191027,0.9338218559737139,0.03,curve_fit
stokes_drag,0.04868597969248039,-0.04954307582036816,1.3326590769218651,-0.0010380229129757564,0.9289519264264829,0.03,curve_fit
history_force,0.05833041137698559,-0.04750477922549798,2.1059072334844844,0.00018860990805354415,0.9319557791452269,0.03,curve_fit
xdot,0.9372515835872333,-0.051505080401635574,0.0,0.0372838200331923,0.9102697722336714,0.03,curve_fit
