t,u_d,w_d,settling_velocity
0.0,0.12535395767431842,-0.1288824707000466,-0.12493663032713782
0.001,0.12532263898519283,-0.12888148486321885,-0.12493663032713782
0.002,0.12529132812079263,-0.1288804992726946,-0.12493663032713782
0.003,0.12526002507916278,-0.1288795139284123,-0.12493663032713782
0.004,0.1252287298583489,-0.1288785288303104,-0.12493663032713782
0.005,0.12519744245639694,-0.12887754397832749,-0.12493663032713782
0.006,0.1251661628713535,-0.12887655937240197,-0.12493663032713782
0.007,0.12513489110126552,-0.12887557501247243,-0.12493663032713782
0.008,0.12510362714418055,-0.1288745908984774,-0.12493663032713782
0.009,0.12507237099814655,-0.12887360703035536,-0.12493663032713782
0.01,0.12504112266121198,-0.128872623408045,-0.12493663032713782
0.011000000000000001,0.12500988213142586,-0.12887164003148482,-0.12493663032713782
0.012,0.12497864940683752,-0.12887065690061345,-0.12493663032713782
0.013000000000000001,0.12494742448549699,-0.12886967401536953,-0.12493663032713782
0.014,0.12491620736545464,-0.12886869137569165,-0.12493663032713782
0.015000000000000001,0.12488499804476144,-0.1288677089815185,-0.12493663032713782
0.016,0.1248537965214687,-0.1288667268327887,-0.12493663032713782
0.017,0.12482260279362835,-0.12886574492944095,-0.12493663032713782
0.018,0.12479141685929279,-0.12886476327141394,-0.12493663032713782
0.019,0.1247602387165148,-0.1288637818586464,-0.12493663032713782
0.02,0.12472906836334777,-0.128862800691077,-0.12493663032713782
0.020999999999999998,0.12469790579784554,-0.12886181976864453,-0.12493663032713782
0.022000000000000002,0.12466675101806236,-0.1288608390912877,-0.12493663032713782
0.023000000000000003,0.12463560402205308,-0.12885985865894534,-0.12493663032713782
0.024,0.12460446480787299,-0.1288588784715562,-0.12493663032713782
0.025,0.12457333337357784,-0.12885789852905905,-0.12493663032713782
0.026000000000000002,0.12454220971722389,-0.12885691883139277,-0.12493663032713782
0.027000000000000003,0.1245110938368679,-0.12885593937849615,-0.12493663032713782
0.028,0.12447998573056708,-0.12885496017030804,-0.12493663032713782
0.029,0.12444888539637916,-0.1288539812067673,-0.12493663032713782
0.030000000000000002,0.12441779283236233,-0.1288530024878128,-0.12493663032713782
0.031000000000000003,0.1243867080365753,-0.1288520240133835,-0.12493663032713782
0.032,0.12435563100707717,-0.12885104578341822,-0.12493663032713782
0.033,0.12432456174192767,-0.1288500677978559,-0.12493663032713782
0.034,0.12429350023918688,-0.1288490900566355,-0.12493663032713782
0.035,0.12426244649691548,-0.12884811255969597,-0.12493663032713782
0.036,0.12423140051317455,-0.12884713530697628,-0.12493663032713782
0.037000000000000005,0.1242003622860257,-0.12884615829841542,-0.12493663032713782
0.038,0.12416933181353094,-0.12884518153395236,-0.12493663032713782
0.039,0.12413830909375292,-0.12884420501352614,-0.12493663032713782
0.04,0.12410729412475466,-0.12884322873707577,-0.12493663032713782
0.041,0.12407628690459965,-0.1288422527045403,-0.12493663032713782
0.041999999999999996,0.12404528743135194,-0.12884127691585878,-0.12493663032713782
0.043000000000000003,0.12401429570307602,-0.1288403013709703,-0.12493663032713782
0.044000000000000004,0.12398331171783689,-0.12883932606981402,-0.12493663032713782
0.045,0.12395233547369996,-0.1288383510123289,-0.12493663032713782
0.046000000000000006,0.12392136696873123,-0.12883737619845417,-0.12493663032713782
0.047,0.12389040620099709,-0.12883640162812893,-0.12493663032713782
0.048,0.12385945316856449,-0.1288354273012923,-0.12493663032713782
0.049,0.12382850786950082,-0.12883445321788353,-0.12493663032713782
0.05,0.12379757030187392,-0.1288334793778417,-0.12493663032713782
0.051000000000000004,0.12376664046375219,-0.1288325057811061,-0.12493663032713782
0.052000000000000005,0.12373571835320447,-0.12883153242761589,-0.12493663032713782
0.053,0.12370480396830007,-0.1288305593173103,-0.12493663032713782
0.054000000000000006,0.12367389730710887,-0.1288295864501286,-0.12493663032713782
0.055,0.12364299836770105,-0.12882861382601,-0.12493663032713782
0.056,0.12361210714814744,-0.12882764144489378,-0.12493663032713782
0.057,0.1235812236465193,-0.12882666930671927,-0.12493663032713782
0.058,0.12355034786088835,-0.12882569741142577,-0.12493663032713782
0.059000000000000004,0.12351947978932686,-0.12882472575895254,-0.12493663032713782
0.060000000000000005,0.12348861942990745,-0.12882375434923898,-0.12493663032713782
0.061000000000000006,0.12345776678070336,-0.12882278318222437,-0.12493663032713782
0.062000000000000006,0.12342692183978823,-0.12882181225784817,-0.12493663032713782
0.063,0.12339608460523624,-0.12882084157604964,-0.12493663032713782
0.064,0.12336525507512199,-0.1288198711367683,-0.12493663032713782
0.065,0.12333443324752054,-0.12881890093994344,-0.12493663032713782
0.066,0.12330361912050757,-0.12881793098551458,-0.12493663032713782
0.067,0.12327281269215912,-0.1288169612734211,-0.12493663032713782
0.068,0.12324201396055168,-0.12881599180360248,-0.12493663032713782
0.06899999999999999,0.12321122292376234,-0.12881502257599817,-0.12493663032713782
0.07,0.12318043957986861,-0.12881405359054768,-0.12493663032713782
0.07100000000000001,0.12314966392694845,-0.12881308484719045,-0.12493663032713782
0.072,0.12311889596308036,-0.1288121163458661,-0.12493663032713782
0.07300000000000001,0.12308813568634328,-0.12881114808651406,-0.12493663032713782
0.07400000000000001,0.12305738309481663,-0.12881018006907394,-0.12493663032713782
0.075,0.12302663818658036,-0.12880921229348527,-0.12493663032713782
0.076,0.12299590095971484,-0.12880824475968763,-0.12493663032713782
0.07700000000000001,0.12296517141230089,-0.12880727746762063,-0.12493663032713782
0.078,0.12293444954241994,-0.12880631041722385,-0.12493663032713782
0.079,0.12290373534815377,-0.12880534360843693,-0.12493663032713782
0.08,0.12287302882758473,-0.12880437704119946,-0.12493663032713782
0.081,0.12284232997879557,-0.12880341071545115,-0.12493663032713782
0.082,0.12281163879986956,-0.1288024446311316,-0.12493663032713782
0.083,0.12278095528889046,-0.12880147878818057,-0.12493663032713782
0.08399999999999999,0.12275027944394248,-0.1288005131865377,-0.12493663032713782
0.085,0.12271961126311035,-0.12879954782614278,-0.12493663032713782
0.08600000000000001,0.12268895074447922,-0.12879858270693542,-0.12493663032713782
0.087,0.12265829788613478,-0.1287976178288554,-0.12493663032713782
0.08800000000000001,0.12262765268616312,-0.12879665319184253,-0.12493663032713782
0.08900000000000001,0.1225970151426509,-0.12879568879583653,-0.12493663032713782
0.09,0.12256638525368521,-0.1287947246407772,-0.12493663032713782
0.091,0.12253576301735361,-0.12879376072660434,-0.12493663032713782
0.09200000000000001,0.12250514843174416,-0.12879279705325777,-0.12493663032713782
0.093,0.12247454149494538,-0.12879183362067734,-0.12493663032713782
0.094,0.12244394220504629,-0.12879087042880286,-0.12493663032713782
0.095,0.12241335056013636,-0.1287899074775742,-0.12493663032713782
0.096,0.12238276655830554,-0.12878894476693126,-0.12493663032713782
0.097,0.12235219019764429,-0.12878798229681387,-0.12493663032713782
0.098,0.1223216214762435,-0.12878702006716206,-0.12493663032713782
0.099,0.12229106039219459,-0.12878605807791563,-0.12493663032713782
0.1,0.12226050694358938,-0.12878509632901453,-0.12493663032713782
0.101,0.12222996112852029,-0.12878413482039877,-0.12493663032713782
0.10200000000000001,0.12219942294508009,-0.12878317355200827,-0.12493663032713782
0.10300000000000001,0.12216889239136208,-0.12878221252378305,-0.12493663032713782
0.10400000000000001,0.12213836946546006,-0.12878125173566313,-0.12493663032713782
0.10500000000000001,0.12210785416546825,-0.1287802911875884,-0.12493663032713782
0.106,0.1220773464894814,-0.12877933087949905,-0.12493663032713782
0.10700000000000001,0.12204684643559471,-0.12877837081133495,-0.12493663032713782
0.10800000000000001,0.12201635400190386,-0.12877741098303633,-0.12493663032713782
0.109,0.12198586918650496,-0.1287764513945431,-0.12493663032713782
0.11,0.12195539198749472,-0.12877549204579544,-0.12493663032713782
0.11100000000000002,0.12192492240297018,-0.12877453293673344,-0.12493663032713782
0.112,0.12189446043102896,-0.12877357406729723,-0.12493663032713782
0.113,0.12186400606976909,-0.1287726154374269,-0.12493663032713782
0.114,0.12183355931728909,-0.12877165704706264,-0.12493663032713782
0.115,0.12180312017168805,-0.12877069889614454,-0.12493663032713782
0.116,0.12177268863106537,-0.12876974098461286,-0.12493663032713782
0.117,0.12174226469352101,-0.12876878331240776,-0.12493663032713782
0.11800000000000001,0.12171184835715544,-0.12876782587946944,-0.12493663032713782
0.11900000000000001,0.12168143962006951,-0.1287668686857381,-0.12493663032713782
0.12000000000000001,0.1216510384803647,-0.12876591173115404,-0.12493663032713782
0.121,0.12162064493614277,-0.1287649550156574,-0.12493663032713782
0.12200000000000001,0.12159025898550609,-0.12876399853918857,-0.12493663032713782
0.12300000000000001,0.12155988062655743,-0.12876304230168778,-0.12493663032713782
0.12400000000000001,0.12152950985740012,-0.1287620863030953,-0.12493663032713782
0.125,0.12149914667613786,-0.12876113054335148,-0.12493663032713782
0.126,0.12146879108087491,-0.12876017502239662,-0.12493663032713782
0.127,0.12143844306971596,-0.12875921974017107,-0.12493663032713782
0.128,0.12140810264076617,-0.1287582646966152,-0.12493663032713782
0.129,0.12137776979213119,-0.12875730989166934,-0.12493663032713782
0.13,0.12134744452191713,-0.1287563553252739,-0.12493663032713782
0.131,0.12131712682823059,-0.1287554009973693,-0.12493663032713782
0.132,0.12128681670917867,-0.12875444690789592,-0.12493663032713782
0.133,0.12125651416286887,-0.12875349305679423,-0.12493663032713782
0.134,0.12122621918740922,-0.1287525394440046,-0.12493663032713782
0.135,0.12119593178090814,-0.12875158606946757,-0.12493663032713782
0.136,0.12116565194147466,-0.1287506329331236,-0.12493663032713782
0.137,0.12113537966721821,-0.12874968003491316,-0.12493663032713782
0.13799999999999998,0.12110511495624864,-0.12874872737477674,-0.12493663032713782
0.139,0.12107485780667637,-0.12874777495265485,-0.12493663032713782
0.14,0.12104460821661218,-0.1287468227684881,-0.12493663032713782
0.141,0.12101436618416746,-0.128745870822217,-0.12493663032713782
0.14200000000000002,0.12098413170745395,-0.12874491911378205,-0.12493663032713782
