"heavy_x","heavy_z","light_x","light_z"
1.56887151344504,-3.80977068214928,1.78170551076904,-1.61383228303467
1.56876412266123,-3.81010387786173,1.78079628770734,-1.61393060743194
1.56865636264652,-3.81043540695664,1.77988068867813,-1.61401410089362
1.56854825905289,-3.81076526449855,1.77895893950772,-1.61408266313613
1.56843983759706,-3.81109344594698,1.77803126760024,-1.61413619728338
1.56833112405423,-3.81141994715623,1.77709790188621,-1.61417460989242
1.56822214425221,-3.8117447643771,1.77615907276975,-1.61419781097611
1.56811292406515,-3.81206789425659,1.77521501207595,-1.61420571402627
1.56800348940762,-3.8123893338393,1.77426595299848,-1.61419823603706
1.5678938662284,-3.81270908056717,1.77331213004557,-1.61417529752521
1.56778408050445,-3.81302713228033,1.77235377898646,-1.6141368225507
1.56767415823476,-3.81334348721712,1.77139113679781,-1.61408273873775
1.56756412543427,-3.81365814401422,1.77042444160892,-1.61401297729266
1.5674540081278,-3.81397110170708,1.7694539326471,-1.61392747302194
1.56734383234389,-3.81428235972921,1.76847985018328,-1.61382616435111
1.56723362410873,-3.81459191791306,1.76750243547623,-1.61370899333965
1.56712340944009,-3.81489977648867,1.76652193071722,-1.61357590569684
1.56701321434118,-3.8152059360845,1.76553857897476,-1.61342685079812
1.56690306479464,-3.81551039772602,1.76455262413811,-1.61326178169726
1.56679298675638,-3.81581316283611,1.76356431086124,-1.61308065513992
1.5666830061496,-3.81611423323376,1.76257388450678,-1.61288343157717
1.56657314885868,-3.81641361113393,1.76158159108907,-1.61267007517542
1.56646344072318,-3.8167112991465,1.76058767721746,-1.61244055382736
1.56635390753181,-3.81700730027543,1.75959239003985,-1.61219483916361
1.56624457501638,-3.8173016179181,1.75859597718465,-1.61193290655751
1.56613546884591,-3.81759425586367,1.75759868670462,-1.61165473513799
1.5660266146205,-3.81788521829286,1.75660076701854,-1.61136030779228
1.56591803786555,-3.81817450977565,1.75560246685425,-1.61104961117447
1.56580976402567,-3.81846213527107,1.75460403519105,-1.61072263571148
1.56570181845893,-3.81874810012476,1.75360572120167,-1.61037937560454
1.56559422643081,-3.81903241006842,1.75260777419496,-1.61001982883706
1.56548701310848,-3.81931507121745,1.75161044355762,-1.60964399717324
1.56538020355487,-3.81959609006986,1.75061397869662,-1.60925188616287
1.56527382272292,-3.8198754735042,1.74961862898113,-1.60884350514166
1.5651678954498,-3.8201532287777,1.7486246436845,-1.60841886722859
1.56506244645107,-3.82042936352471,1.74763227192648,-1.6079779893311
1.5649575003152,-3.82070388575398,1.74664176261504,-1.60752089213575
1.56485308149754,-3.82097680384752,1.74565336438856,-1.60704760011299
1.56474921431506,-3.82124812655732,1.74466732555783,-1.6065581415078
1.56464592294038,-3.82151786300415,1.74368389404825,-1.60605254833931
1.56454323139653,-3.8217860226742,1.74270331734185,-1.60553085639436
1.5644411635511,-3.82205261541752,1.74172584241983,-1.60499310521916
1.56433974311102,-3.82231765144474,1.74075171570439,-1.60443933811805
1.56423899361691,-3.82258114132505,1.73978118300177,-1.60386960213804
1.56413893843778,-3.82284309598313,1.73881448944414,-1.60328394806754
1.56403960076563,-3.82310352669648,1.73785187943281,-1.60268243042051
1.56394100361005,-3.82336244509275,1.73689359658063,-1.60206510743033
1.56384316979321,-3.82361986314629,1.735939883655,-1.60143204103677
1.56374612194415,-3.82387579317596,1.7349909825214,-1.60078329687187
1.56364988249418,-3.82413024784104,1.73404713408569,-1.60011894425239
1.56355447367119,-3.82438324013906,1.73310857823888,-1.59943905615834
1.56345991749509,-3.82463478340161,1.73217555379943,-1.59874370922563
1.56336623577226,-3.82488489129186,1.73124829845838,-1.59803298372404
1.56327345009108,-3.8251335778004,1.73032704872257,-1.59730696354508
1.56318158181658,-3.82538085724242,1.72941203985929,-1.59656573618288
1.56309065208588,-3.82562674425367,1.72850350584147,-1.5958093927143
1.5630006818032,-3.8258712537871,1.72760167929106,-1.59503802778482
1.56291169163514,-3.82611440110915,1.72670679142621,-1.59425173958193
1.56282370200616,-3.82635620179572,1.72581907200473,-1.59345062982079
1.56273673309353,-3.82659667172886,1.7249387492715,-1.59263480371753
1.56265080482335,-3.82683582709216,1.72406604990357,-1.59180436996985
1.56256593686535,-3.82707368436757,1.72320119895661,-1.59095944073339
1.56248214862918,-3.82731026033053,1.72234441981276,-1.59010013159513
1.56239945925926,-3.82754557204667,1.7214959341257,-1.58922656155347
1.5623178876312,-3.82777963686689,1.72065596177062,-1.58833885298654
1.56223745234688,-3.82801247242377,1.7198247207899,-1.587437131631
1.56215817173083,-3.82824409662674,1.7190024273428,-1.58652152655128
1.56208006382564,-3.8284745276581,1.71818929565392,-1.58559217011234
1.56200314638822,-3.82870378396839,1.71738553796115,-1.58464919795288
1.56192743688574,-3.82893188427192,1.7165913644674,-1.58369274895141
1.56185295249152,-3.8291588475424,1.71580698328792,-1.58272296520104
1.56177971008166,-3.82938469300796,1.71503260040327,-1.58173999197336
1.56170772623054,-3.82960944014707,1.71426841960841,-1.58074397769003
1.56163701720803,-3.82983310868312,1.71351464246469,-1.57973507388871
1.5615675989749,-3.8300557185804,1.71277146825273,-1.5787134351883
1.56149948718022,-3.83027729003851,1.71203909392226,-1.57767921925854
1.56143269715699,-3.83049784348825,1.71131771404821,-1.5766325867803
1.56136724391956,-3.83071739958599,1.7106075207813,-1.57557370141414
1.56130314215959,-3.83093597920927,1.70990870380372,-1.57450272976145
1.56124040624342,-3.83115360345136,1.7092214502837,-1.57341984132741
1.56117905020842,-3.83137029361647,1.70854594482845,-1.57232520848598
1.56111908776022,-3.83158607121444,1.70788236944319,-1.57121900643705
1.56106053226959,-3.83180095795569,1.70723090348383,-1.57010141317192
1.56100339676939,-3.832014975746,1.70659172361657,-1.56897260942985
1.56094769395211,-3.83222814668114,1.70596500377401,-1.56783277865941
1.56089343616646,-3.83244049304186,1.70535091511252,-1.5666821069779
1.56084063541558,-3.83265203728812,1.70474962597322,-1.56552078312716
1.56078930335336,-3.83286280205428,1.70416130183788,-1.56434899843476
1.56073945128307,-3.83307281014308,1.70358610529215,-1.56316694676746
1.56069109015383,-3.83328208452078,1.70302419598396,-1.56197482448992
1.56064423055929,-3.83349064831118,1.70247573058503,-1.56077283042007
1.56059888273439,-3.83369852479054,1.70194086275451,-1.55956116578268
1.56055505655412,-3.83390573738163,1.70141974309813,-1.55834003416715
