x_0,z_0,z_star,u_d,w_d,St,h,A,wavelength,k,omega,Fr,delta_t
0,0.0,-0.03134959092610767,0.9429825107436529,0.0013968993068214307,0.01,10,0.01,2,3.141592653589793,5.550540477856759,0.03141592653589793,0.0008718768594343785
0,-2.5,-2.502574277713092,0.006712192658026421,9.960186583544135e-06,0.01,10,0.01,2,3.141592653589793,5.550540477856759,0.03141592653589793,0.0008718768594343785
0,-5.0,-5.000211316552452,4.594357843341147e-05,6.66803527111686e-08,0.01,10,0.01,2,3.141592653589793,5.550540477856759,0.03141592653589793,0.0008718768594343785
0,-7.5,-7.500017345966204,3.5079825155310367e-07,3.8836070162854606e-10,0.01,10,0.01,2,3.141592653589793,5.550540477856759,0.03141592653589793,0.0008718768594343785
0,0.0,-0.03134959092610767,0.9429825107436529,0.0013968993068214307,0.1,10,0.01,2,3.141592653589793,5.550540477856759,0.03141592653589793,0.0008718768594343785
0,-2.5,-2.502574277713092,0.006712192658026421,9.960186583544135e-06,0.1,10,0.01,2,3.141592653589793,5.550540477856759,0.03141592653589793,0.0008718768594343785
0,-5.0,-5.000211316552452,4.594357843341147e-05,6.66803527111686e-08,0.1,10,0.01,2,3.141592653589793,5.550540477856759,0.03141592653589793,0.0008718768594343785
0,-7.5,-7.500017345966204,3.5079825155310367e-07,3.8836070162854606e-10,0.1,10,0.01,2,3.141592653589793,5.550540477856759,0.03141592653589793,0.0008718768594343785
0,0.0,-0.03134959092610767,0.9429825107436529,0.0013968993068214307,1.0,10,0.01,2,3.141592653589793,5.550540477856759,0.03141592653589793,0.0008718768594343785
0,-2.5,-2.502574277713092,0.006712192658026421,9.960186583544135e-06,1.0,10,0.01,2,3.141592653589793,5.550540477856759,0.03141592653589793,0.0008718768594343785
0,-5.0,-5.000211316552452,4.594357843341147e-05,6.66803527111686e-08,1.0,10,0.01,2,3.141592653589793,5.550540477856759,0.03141592653589793,0.0008718768594343785
0,-7.5,-7.500017345966204,3.5079825155310367e-07,3.8836070162854606e-10,1.0,10,0.01,2,3.141592653589793,5.550540477856759,0.03141592653589793,0.0008718768594343785
0,0.0,-0.03134959092610767,0.9429825107436529,0.0013968993068214307,10.0,10,0.01,2,3.141592653589793,5.550540477856759,0.03141592653589793,0.0008718768594343785
0,-2.5,-2.502574277713092,0.006712192658026421,9.960186583544135e-06,10.0,10,0.01,2,3.141592653589793,5.550540477856759,0.03141592653589793,0.0008718768594343785
0,-5.0,-5.000211316552452,4.594357843341147e-05,6.66803527111686e-08,10.0,10,0.01,2,3.141592653589793,5.550540477856759,0.03141592653589793,0.0008718768594343785
0,-7.5,-7.500017345966204,3.5079825155310367e-07,3.8836070162854606e-10,10.0,10,0.01,2,3.141592653589793,5.550540477856759,0.03141592653589793,0.0008718768594343785
