global_error,delta_t,order
0.0036937201328612525,0.001,1
4.432920868948501e-06,0.001,2
3.534815482433808e-07,0.001,3
0.039458552582128485,0.0109,1
0.0005039633899172478,0.0109,2
3.0774558443659175e-05,0.0109,3
0.07386044390271448,0.020800000000000003,1
0.0017547041990379003,0.020800000000000003,2
0.00021919211087070988,0.020800000000000003,3
0.10701367036769356,0.030700000000000005,1
0.003680332691338871,0.030700000000000005,2
0.0007736835095626248,0.030700000000000005,3
0.13904054294554288,0.040600000000000004,1
0.0061094864268906625,0.040600000000000004,2
0.0017057436819040883,0.040600000000000004,3
0.16997808184053123,0.0505,1
0.009148502107567695,0.0505,2
0.003586676472593261,0.0505,3
0.19994658538346635,0.06040000000000001,1
0.012555596849461599,0.06040000000000001,2
0.006263907493526572,0.06040000000000001,3
0.22913570866280913,0.0703,1
0.016332673736775164,0.0703,2
0.010052595872272906,0.0703,3
0.25735751731005185,0.08020000000000001,1
0.020023102447119797,0.08020000000000001,2
0.01425538542788703,0.08020000000000001,3
0.28487119992501425,0.09010000000000001,1
0.024278537571779942,0.09010000000000001,2
0.020628745500261805,0.09010000000000001,3
