u_d,z/h
1.0,0.0
0.8337529180751806,-0.00909090909090909
0.6951439283988787,-0.01818181818181818
0.5795782787848095,-0.02727272727272727
0.48322508118982543,-0.03636363636363636
0.402890321529133,-0.045454545454545456
0.3359109812391624,-0.05454545454545454
0.2800667608216489,-0.06363636363636363
0.23350647909091338,-0.07272727272727272
0.19468670833151014,-0.08181818181818182
0.16232061118184818,-0.09090909090909091
0.1353352832366127,-0.1
0.11283618731705691,-0.10909090909090909
0.09407750044007386,-0.1181818181818182
0.07843739051713067,-0.12727272727272726
0.06539740322986018,-0.13636363636363638
0.05452527577743516,-0.14545454545454545
0.04546060778829053,-0.15454545454545454
0.037902914400958505,-0.16363636363636364
0.03160166548535295,-0.1727272727272727
0.026347980814448734,-0.18181818181818182
0.02196770588943549,-0.19090909090909094
0.01831563888873418,-0.2
0.015270717369893383,-0.20909090909090908
0.012732005168249957,-0.21818181818181817
0.010615346461976672,-0.2272727272727273
0.008850576089052096,-0.2363636363636364
0.007379193640893606,-0.24545454545454545
0.00615242423113686,-0.2545454545454545
0.005129601655946807,-0.2636363636363636
0.004276820349208926,-0.27272727272727276
0.0035658114462362553,-0.28181818181818186
0.002973005698605358,-0.2909090909090909
0.0024787521766663585,-0.3
0.002066666860480782,-0.3090909090909091
0.001723089525615123,-0.31818181818181823
0.0014366309200863877,-0.32727272727272727
0.0011977952218190572,-0.33636363636363636
0.0009986652614481482,-0.3454545454545454
0.0008326400759127053,-0.3545454545454546
0.0006942160929985587,-0.36363636363636365
0.0005788046933122993,-0.3727272727272727
0.0004825801020447387,-0.3818181818181819
0.00040235256828481973,-0.39090909090909093
0.00033546262790251185,-0.4
0.00027969294491888777,-0.40909090909090906
0.00023319480899116346,-0.41818181818181815
0.00019442685247636688,-0.42727272727272725
0.0001621039556043436,-0.43636363636363634
0.00013515464601665078,-0.4454545454545455
0.00011268558050780067,-0.4545454545454546
9.395193157337451e-05,-0.4636363636363637
7.83326971081007e-05,-0.4727272727272728
6.531011479457823e-05,-0.4818181818181818
5.445249878980463e-05,-0.4909090909090909
4.5399929762484854e-05,-0.5
3.785232391987999e-05,-0.509090909090909
3.1559485524126905e-05,-0.5181818181818182
2.6312813148692228e-05,-0.5272727272727272
2.193838474548909e-05,-0.5363636363636364
1.829119229940756e-05,-0.5454545454545455
1.5250334954705328e-05,-0.5545454545454546
1.2715011270109494e-05,-0.5636363636363637
1.0601177749812601e-05,-0.5727272727272728
8.838762883939933e-06,-0.5818181818181818
7.369344346659519e-06,-0.5909090909090909
6.144212353328211e-06,-0.6
5.122754978860968e-06,-0.6090909090909091
4.271111912209493e-06,-0.6181818181818182
3.5610520202303295e-06,-0.6272727272727272
2.969037513284549e-06,-0.6363636363636365
2.475443690575671e-06,-0.6454545454545455
2.06390840054826e-06,-0.6545454545454545
1.7207896515969909e-06,-0.6636363636363637
1.4347133934125647e-06,-0.6727272727272727
1.1961964783592726e-06,-0.6818181818181818
9.973323044232982e-07,-0.6909090909090908
8.315287191035664e-07,-0.7000000000000001
6.932894960159158e-07,-0.7090909090909092
5.78032140374141e-07,-0.7181818181818183
4.819359837781834e-07,-0.7272727272727273
4.018155328004934e-07,-0.7363636363636363
3.350148730003449e-07,-0.7454545454545454
2.7931962796262257e-07,-0.7545454545454546
2.328835548895104e-07,-0.7636363636363638
1.941673434608508e-07,-0.7727272727272728
1.6188758920539053e-07,-0.7818181818181819
1.3497424990015047e-07,-0.7909090909090909
1.1253517471925912e-07,-0.8
9.382653030828242e-08,-0.8090909090909092
7.822814343739999e-08,-0.8181818181818181
6.522294286653592e-08,-0.8272727272727274
5.4379818940425215e-08,-0.8363636363636363
4.533933272597942e-08,-0.8454545454545455
3.780180096386695e-08,-0.8545454545454545
3.151736186212119e-08,-0.8636363636363636
2.6277692422574993e-08,-0.8727272727272727
2.190910273760393e-08,-0.8818181818181818
1.8266778339886174e-08,-0.890909090909091
1.522997974471263e-08,-0.9
