z/h,u_d
0.0,1.0
-0.0101010101010101,0.2810197394150965
-0.0202020202020202,0.07897209394092874
-0.030303030303030304,0.022192717260344313
-0.0404040404040404,0.006236591621414874
-0.050505050505050504,0.0017526053522883825
-0.06060606060606061,0.0004925166993975844
-0.0707070707070707,0.00013840691452229274
-0.0808080808080808,3.889507505230221e-05
-0.09090909090909091,1.093028385572858e-05
-0.10101010101010101,3.0716255208698857e-06
-0.11111111111111112,8.631874034556147e-07
-0.12121212121212122,2.4257269918549045e-07
-0.1313131313131313,6.81677167143232e-08
-0.1414141414141414,1.9156473987581245e-08
-0.15151515151515152,5.383347328102143e-09
-0.1616161616161616,1.5128268633242219e-09
-0.1717171717171717,4.251342109115311e-10
-0.18181818181818182,1.1947110516680085e-10
-0.19191919191919193,3.3573738841608006e-11
-0.20202020202020202,9.434883340459195e-12
-0.21212121212121213,2.6513884577476717e-12
-0.22222222222222224,7.450924934844462e-13
-0.23232323232323232,2.093856983591438e-13
-0.24242424242424243,5.884151439013444e-14
-0.25252525252525254,1.653562704070525e-14
-0.2626262626262626,4.646837602044218e-15
-0.27272727272727276,1.3058530920307348e-15
-0.2828282828282828,3.6697049563687683e-16
-0.29292929292929293,1.0312595305690369e-16
-0.30303030303030304,2.898042845498448e-17
-0.3131313131313131,8.144072452557623e-18
-0.3232323232323232,2.288645118395404e-18
-0.33333333333333337,6.431544547851075e-19
-0.3434343434343434,1.807390972873702e-19
-0.35353535353535354,5.079125402181643e-20
-0.36363636363636365,1.427334496977679e-20
-0.3737373737373737,4.011091683988471e-21
-0.38383838383838387,1.127195939804498e-21
-0.393939393939394,3.16764309273614e-22
-0.40404040404040403,8.901702364807447e-23
-0.41414141414141414,2.501554078908931e-23
-0.42424242424242425,7.029860753877578e-24
-0.4343434343434343,1.9755296371791e-24
-0.4444444444444445,5.551628238468694e-25
-0.4545454545454546,1.56011712090396e-25
-0.46464646464646464,4.384237067734635e-26
-0.47474747474747475,1.2320571583087908e-26
-0.48484848484848486,3.462323815724399e-27
-0.4949494949494949,9.729813364655576e-28
-0.5050505050505051,2.734269616293027e-28
-0.5151515151515151,7.683837350612859e-29
-0.5252525252525252,2.1593099699772057e-29
-0.5353535353535354,6.0680872507941276e-30
-0.5454545454545455,1.705252297966231e-30
-0.5555555555555556,4.7920955641146355e-31
-0.5656565656565656,1.3466734466797504e-31
-0.5757575757575757,3.784418210631724e-32
-0.5858585858585859,1.0634962193894703e-32
-0.595959595959596,2.988634304417685e-33
-0.6060606060606061,8.39865233434474e-34
-0.6161616161616162,2.3601870904355454e-34
-0.6262626262626262,6.632591611250795e-35
-0.6363636363636364,1.863889166240449e-35
-0.6464646464646464,5.2378964779551115e-36
-0.6565656565656566,1.4719523033181937e-36
-0.6666666666666667,4.136476527099289e-37
-0.6767676767676767,1.1624315557421191e-37
-0.6868686868686869,3.2666621288253475e-38
-0.6969696969696969,9.179965401996613e-39
-0.7070707070707071,2.5797514851086835e-39
-0.7171717171717172,7.249610901009487e-40
-0.7272727272727273,2.037283766262524e-40
-0.7373737373737373,5.725169531097076e-41
-0.7474747474747474,1.6088856497361465e-41
-0.7575757575757576,4.5212862603753905e-42
-0.7676767676767677,1.2705706867117453e-42
-0.7777777777777778,3.5705544328819398e-43
-0.787878787878788,1.003396276295898e-43
-0.7979797979797979,2.8197416009475476e-44
-0.8080808080808081,7.924030499161849e-45
-0.8181818181818181,2.2268089859917344e-45
-0.8282828282828283,6.257772809705909e-46
-0.8383838383838385,1.7585576843024264e-46
-0.8484848484848485,4.941894221890823e-47
-0.8585858585858586,1.3887698264527465e-47
-0.8686868686868686,3.902717347372987e-48
-0.8787878787878788,1.0967406119695306e-48
-0.888888888888889,3.0820576098163022e-49
-0.898989898989899,8.661190263728903e-50
-0.9090909090909092,2.433965430937661e-50
-0.9191919191919191,6.839923311474626e-51
-0.9292929292929293,1.922153466609839e-51
-0.9393939393939393,5.4016306630252e-52
-0.9494949494949495,1.517964841339933e-52
-0.9595959595959597,4.265780841546252e-53
-0.9696969696969697,1.198768620493236e-53
-0.9797979797979798,3.368776453500079e-54
-0.9898989898989898,9.466926811103027e-55
-1.0,2.6603933055179567e-55
