,x_daitche,z_daitche,x_haller,z_haller,x_santamaria,z_santamaria,x0_haller,z0_haller,x0_santamaria,z0_santamaria,x1_haller,z1_haller,x1_santamaria,z1_santamaria,x2_haller,z2_haller,x2_santamaria,z2_santamaria
475,0.5851054062779912,-0.12942264697401878,0.5851052233595441,-0.12942314840820482,0.58510522322582,-0.12942314857061585,0.6255049647404354,-0.030037943233172767,0.6255049661997583,-0.030037948138981453,0.5830785820357228,-0.13348583153912624,0.5830785839584876,-0.13348583666565625,0.5834051220917121,-0.1335705071588599,0.5795337627368329,-0.1337186657169713
476,0.5891558234335713,-0.1312836173165422,0.589155640131788,-0.1312841154386673,0.5891556399971256,-0.13128411560103767,0.6300320733856407,-0.031771951480742175,0.6300320747544658,-0.03177195658257449,0.5871074599692933,-0.13534745119852548,0.5871074618512049,-0.13534745635845108,0.5874358490223129,-0.13543278375297904,0.5835355512554186,-0.13558687781837092
477,0.5931793152588587,-0.13318682757432357,0.5931791316399245,-0.13318732238674338,0.5931791315047159,-0.13318732254837595,0.6345322964358675,-0.033551574192594906,0.6345322977347627,-0.033551579426090904,0.5911093947835399,-0.13725111678521398,0.5911093966979417,-0.1372511218224595,0.5914396321013571,-0.13733714602091057,0.5875103167848688,-0.1374969460166911
478,0.5971752423007826,-0.13513192578632297,0.5971750584322321,-0.13513241728939726,0.5971750582958748,-0.1351324174514264,0.63900493837882,-0.03537647794526113,0.639004939616701,-0.03537648327691294,0.5950837497314169,-0.13919647578892183,0.595083751573868,-0.13919648091851636,0.5954158343005632,-0.13928324063491476,0.5914574257104743,-0.13944851575810893
479,0.6011429706487069,-0.13711855163682746,0.6011427865968526,-0.13711903983379783,0.6011427864602079,-0.1371190399946264,0.6434493088506563,-0.037246320578979815,0.6434493099906322,-0.03724632610529601,0.5990298936072389,-0.1411831674033915,0.5990298953344765,-0.14118317271375333,0.5993638241177222,-0.14127070601857827,0.5953762502168701,-0.1414412237490712
480,0.6050818720609773,-0.13914633651191086,0.6050816878931801,-0.1391468214046198,0.6050816877550601,-0.13914682156641495,0.6478647228270532,-0.03916075109460237,0.6478647238694186,-0.039160756807732594,0.6029472007429891,-0.14321082284246128,0.6029472024527505,-0.14321082813976896,0.6032829756941692,-0.14329917241314108,0.5992661681568041,-0.14347469853933492
481,0.6089913240905722,-0.14121490355745442,0.608991139873946,-0.14121538514879137,0.6089911397345276,-0.1412153853112059,0.6522505007048428,-0.041119409828783066,0.6522505016739709,-0.04111941566031338,0.6068350514534722,-0.1452790647547338,0.6068350531984859,-0.14527906993544723,0.6071726689304499,-0.14536826195561428,0.603126563226656,-0.1455485604784468
482,0.6128707102098364,-0.14332386773873837,0.6128705260107616,-0.14332434603340752,0.6128705258701064,-0.14332434619635112,0.6566059684251099,-0.043121928521617524,0.6566059693472175,-0.043121934399862095,0.6106928319369027,-0.14738750773446863,0.6106928335971831,-0.1473875130269135,0.6110322897985225,-0.14747758837414968,0.6069568248621681,-0.14766242220884912
483,0.6167194199342707,-0.14547283590161406,0.616719235819772,-0.14547331090376217,0.6167192356773242,-0.1454733110681533,0.6609304576798235,-0.0451679301840223,0.660930458505349,-0.045167936224045836,0.6145199344049084,-0.14953575836029465,0.6145199359587146,-0.14953576380535233,0.614861230302119,-0.1496267573686173,0.6107563488450801,-0.1498158878114943
484,0.6205368489453559,-0.1476614068352661,0.6205366649819619,-0.1476618785504457,0.6205366648381254,-0.14766187871556852,0.665223305988076,-0.047257029279558244,0.6652233067050719,-0.04725703550352098,0.618315757160641,-0.15172341533932934,0.6183157587041648,-0.1517234207623933,0.6186588885239148,-0.15181536679935026,0.6145245370893864,-0.15200855350754247
485,0.6243223992123846,-0.14988917133657342,0.6243222154659808,-0.14988963977189984,0.6243222153205389,-0.14988963993807763,0.6694838567682247,-0.049388831907047376,0.6694838574428357,-0.04938883815938871,0.6220797049542901,-0.15395006914378118,0.6220797065293358,-0.15395007446757228,0.6224246689020656,-0.1540430064781036,0.6182607978390167,-0.15424000757734643
486,0.6280754791132785,-0.15215571227607774,0.6280752956506096,-0.15215617743777457,0.6280752955036477,-0.152156177604816,0.6737114596143864,-0.0515629355166621,0.6737114602380097,-0.051562941810738665,0.6258111889141661,-0.1562153024240611,0.6258111903805049,-0.15621530789096685,0.6261579823706817,-0.15630925819989577,0.6219645455617739,-0.15650983082026126
487,0.6317955035543652,-0.15446060466556757,0.6317953204413309,-0.15446106656172476,0.6317953202929575,-0.1544610667294304,0.677905470332582,-0.05377892917677461,0.6779054708374367,-0.05377893565875646,0.6295096266061436,-0.15851869016907488,0.6295096279793374,-0.15851869575263233,0.6298582463963454,-0.15861369595887462,0.625635201566242,-0.15881759575962073
488,0.6354818940890903,-0.15680341572728543,0.6354817113917,-0.1568038743662781,0.6354817112416246,-0.15680387453507283,0.6820652510252968,-0.05603639372025582,0.6820652514350408,-0.05603640033701633,0.6331744422690505,-0.16085979957904165,0.6331744436361437,-0.1608598051332174,0.6335248849193705,-0.16095588630149535,0.6292721937668305,-0.16116286732626459
489,0.6391340790356409,-0.15918370496476517,0.639133896820161,-0.15918416035509467,0.6391338966685871,-0.15918416052464388,0.6861901703132678,-0.05833490159776546,0.6861901706837321,-0.0583349082284003,0.6368050670045979,-0.1632381900146205,0.6368050683936125,-0.163238195489948,0.6371573288711998,-0.1633353877476728,0.632874956868254,-0.16354520280976723
490,0.6427514935934543,-0.16160102423530592,0.6427513119251395,-0.16160147638748487,0.6427513117717688,-0.16160147655821142,0.6902796034479708,-0.06067401696689175,0.6902796037370083,-0.06067402369477386,0.6404009387799979,-0.16565341326051,0.6404009400257945,-0.1656534189198221,0.6407550160440545,-0.16575175126504985,0.6364429322672606,-0.16596415227251823
491,0.646333579958588,-0.16405491782408907,0.6463333989032587,-0.16405536674826757,0.6463333987483897,-0.16405536691969627,0.6943329323753853,-0.06305329588011632,0.694332932530603,-0.06305330281159202,0.6439615023802809,-0.1681050138507455,0.6439615035572388,-0.1681050195766678,0.6443173912225648,-0.16820452031358543,0.6399755686814054,-0.16841925780721748
