x,z,beta,method
0.0,0.0,0.96,Santamaria
0.009998989551130141,-0.00011734779740084026,0.96,Santamaria
0.019991906929526175,-0.0004681769830862046,0.96,Santamaria
0.029972657431846895,-0.0010506301243005517,0.96,Santamaria
0.03993512889225198,-0.001862796003978913,0.96,Santamaria
0.049873199268303775,-0.002902703202367215,0.96,Santamaria
0.05978074401862754,-0.0041683142067814845,0.96,Santamaria
0.06965164325872719,-0.005657520045691689,0.96,Santamaria
0.07947978871560318,-0.007368135409235037,0.96,Santamaria
0.08925909048801088,-0.009297894221361253,0.96,Santamaria
0.09898348361927302,-0.01144444564377084,0.96,Santamaria
0.10864693449214459,-0.013805350484779867,0.96,Santamaria
0.118243447052796,-0.0163780779898545,0.96,Santamaria
0.12776706887003708,-0.019160002995897644,0.96,Santamaria
0.13721189703671224,-0.022148403428700406,0.96,Santamaria
0.14657208392071233,-0.02534045812301473,0.96,Santamaria
0.1558418427684043,-0.02873324495514604,0.96,Santamaria
0.16501545316634422,-0.03232373927140902,0.96,Santamaria
0.17408726636656677,-0.03610881259741147,0.96,Santamaria
0.18305171047918606,-0.04008523161683321,0.96,Santamaria
0.19190329553460145,-0.04424965741125291,0.96,Santamaria
0.20063661841858713,-0.04859864495043535,0.96,Santamaria
0.2092463676850439,-0.05312864281985553,0.96,Santamaria
0.21772732824884067,-0.057835993177247795,0.96,Santamaria
0.2260743859529338,-0.06271693194497484,0.96,Santamaria
0.23428253202468577,-0.06776758920580958,0.96,Santamaria
0.24234686740994996,-0.07298398981949782,0.96,Santamaria
0.25026260699700936,-0.07836205423371706,0.96,Santamaria
0.2580250837172175,-0.08389759950826932,0.96,Santamaria
0.2656297525371614,-0.08958634052144623,0.96,Santamaria
0.27307219433407465,-0.09542389136856505,0.96,Santamaria
0.28034811965411444,-0.10140576694794567,0.96,Santamaria
0.2874533723583837,-0.10752738472132171,0.96,Santamaria
0.2943839331473856,-0.11378406665780638,0.96,Santamaria
0.30113592297197017,-0.12017104134320143,0.96,Santamaria
0.30770560632817084,-0.12668344625385514,0.96,Santamaria
0.31408939442590184,-0.1333163302032901,0.96,Santamaria
0.32028384823992156,-0.14006465594321382,0.96,Santamaria
0.3262856814412623,-0.1469233029160865,0.96,Santamaria
0.3320917632001751,-0.153887070164813,0.96,Santamaria
0.3376991208638379,-0.16095067938854998,0.96,Santamaria
0.3431049425114418,-0.16810877813590153,0.96,Santamaria
0.34830657937342574,-0.1753559431442396,0.96,Santamaria
0.35330154812166376,-0.18268668381030304,0.96,Santamaria
0.35808753302970175,-0.19009544578752005,0.96,Santamaria
0.3626623879956356,-0.19757661471101698,0.96,Santamaria
0.36702413842671056,-0.2051245200440439,0.96,Santamaria
0.37117098298512996,-0.2127334390393946,0.96,Santamaria
0.3751012951996001,-0.2203976008061849,0.96,Santamaria
0.37881362492605464,-0.22811119048879938,0.96,Santamaria
0.3823066996670114,-0.23586835354298033,0.96,Santamaria
0.38557942574792764,-0.2436632001045103,0.96,Santamaria
0.3886308893445675,-0.2514898094481031,0.96,Santamaria
0.39146035735877255,-0.2593422345309729,0.96,Santamaria
